N	4gram	Tiupa_Vved	Psycholo
1	одной и той же	1	12
2	одно и то же	1	7
3	не что иное как	1	6
4	один и тот же	1	5
5	так же как и	1	5
6	в том что у	1	4
7	одного и того же	1	4
8	то же самое и	1	4
9	состоит в том что	1	4
10	одна и та же	1	4
11	никогда не может быть	1	3
12	в то же время	4	3
13	в том смысле что	1	3
14	мысль о том что	1	3
15	дело в том что	1	3
16	состоит в том чтобы	1	3
17	в том или ином	1	3
18	может быть сведена к	1	2
19	отнюдь не означает что	1	2
20	во всяком случае в	1	2
21	в конечном счете к	1	2
22	с одной стороны и	3	2
23	и не может быть	1	2
24	же самое и в	1	2
25	ни одна из них	1	2
26	в мире в этом	1	2
27	в том что на	1	2
28	не в том что	2	2
29	той мере в какой	2	1
30	в той мере в	2	1
31	в той же мере	1	1
32	именно то что он	1	1
33	случае это означало бы	1	1
34	сомневаться в том что	1	1
35	той степени в какой	1	1
36	с другой стороны в	1	1
37	все же не может	1	1
38	в одном и в	1	1
39	как мы увидим ниже	1	1
40	и герой и героиня	1	1
41	не само по себе	1	1
42	из них не может	1	1
43	если бы не было	1	1
44	в той степени в	1	1
45	может быть определена как	1	1
46	а в том как	1	1
47	что это не так	1	1
48	на то что и	1	1
49	одной стороны и в	1	1
50	и то же слово	1	1
51	при этом предполагается что	1	1
52	одном и в другом	1	1
53	те же самые слова	1	1
54	это означало бы что	1	1
55	к тому или иному	1	1
56	в том числе и	1	1
57	в первом случае мы	1	1
58	свидетельствует о том что	1	1
59	одна из них не	1	1
60	мы никак не можем	1	1
61	которая состоит в том	1	1
62	мы имеем дело с	4	1
