N	2gram	Kanaev_Sov	Poddanst
1	не только	4	17
2	и в	7	14
3	и не	6	12
4	в области	3	11
5	в этом	7	10
6	в том	4	9
7	то же	3	9
8	но в	3	9
9	в о	1	7
10	только в	1	7
11	же время	1	7
12	в то	1	7
13	в ней	1	6
14	xix века	1	6
15	было бы	3	6
16	и пр	2	5
17	может быть	12	5
18	с другой	1	5
19	не в	3	5
20	и к	3	4
21	что в	2	4
22	по себе	1	4
23	и если	1	4
24	и потому	3	4
25	мы должны	4	4
26	не может	17	4
27	а в	4	4
28	как бы	4	4
29	если бы	1	4
30	в своем	1	4
31	же в	1	4
32	том что	1	4
33	в себе	3	3
34	с одной	2	3
35	мы не	9	3
36	это не	4	3
37	одной стороны	1	3
38	с точки	5	3
39	хотя и	1	3
40	прежде всего	5	3
41	сами по	1	3
42	но не	1	3
43	могут быть	2	3
44	в нем	3	3
45	тот же	2	3
46	точки зрения	12	3
47	с этим	2	2
48	во всех	1	2
49	к началу	1	2
50	и это	1	2
51	осуществляется в	1	2
52	и мы	3	2
53	если в	1	2
54	не будем	2	2
55	еще более	2	2
56	в его	2	2
57	а не	3	2
58	для нас	3	2
59	все это	3	2
60	в которую	2	2
61	говорить о	2	2
62	для них	1	2
63	заключает в	1	2
64	и есть	2	2
65	стороны и	1	2
66	в виде	2	2
67	не было	1	2
68	к чему	2	2
69	в начале	1	2
70	может ли	1	2
71	именно в	1	2
72	должно быть	1	2
73	во всей	1	2
74	одна из	3	2
75	в мире	1	2
76	не менее	2	2
77	отнюдь не	3	2
78	в эту	1	2
79	из них	4	2
80	есть не	1	2
81	образом на	1	2
82	этих двух	2	1
83	и некоторой	1	1
84	поскольку она	1	1
85	во всяком	2	1
86	у каждого	3	1
87	но как	1	1
88	мы можем	6	1
89	на этой	3	1
90	мы видим	2	1
91	в данном	1	1
92	не хотим	1	1
93	только к	1	1
94	с его	1	1
95	и более	1	1
96	можно говорить	1	1
97	те же	1	1
98	вместе с	4	1
99	отличие от	2	1
100	в самом	2	1
101	вопрос о	4	1
102	два направления	1	1
103	они не	1	1
104	может не	3	1
105	этой области	1	1
106	которой расположены	1	1
107	с двух	1	1
108	и первое	1	1
109	с и	1	1
110	она не	1	1
111	уже в	3	1
112	единства в	1	1
113	мы знаем	2	1
114	она всегда	1	1
115	в древней	1	1
116	и всегда	1	1
117	как известно	2	1
118	из всех	1	1
119	мира но	1	1
120	что это	2	1
121	не более	1	1
122	под ногами	1	1
123	подчеркнуть что	1	1
124	что при	2	1
125	два основных	1	1
126	какой бы	1	1
127	науке и	1	1
128	из этих	2	1
129	что с	1	1
130	только один	2	1
131	что дело	1	1
132	а затем	1	1
133	и вся	1	1
134	что уже	1	1
135	в каждом	8	1
136	в стадии	5	1
137	только на	1	1
138	что эта	1	1
139	всего мы	1	1
140	может оказаться	1	1
141	xix в	1	1
142	и при	1	1
143	и что	2	1
144	к действию	3	1
145	еще в	1	1
146	мире можно	1	1
147	этом смысле	1	1
148	весь мир	1	1
149	что все	2	1
150	различия между	1	1
151	в ином	1	1
152	так же	1	1
153	его в	1	1
154	знаем что	2	1
155	в большинстве	1	1
156	все же	3	1
157	почва под	1	1
158	в настоящее	2	1
159	что его	1	1
160	в результате	6	1
161	в которой	2	1
162	должен быть	1	1
163	в этой	3	1
164	его строить	1	1
165	промежуток времени	1	1
166	в наших	3	1
167	и еще	1	1
168	тот или	2	1
169	в отличие	2	1
170	по преимуществу	1	1
171	из двух	3	1
172	известном смысле	1	1
173	настоящее время	2	1
174	на две	3	1
175	же как	1	1
176	она может	2	1
177	развития в	2	1
178	если мы	4	1
179	тем же	2	1
180	но для	1	1
181	когда и	1	1
182	происходящего в	1	1
183	в живом	2	1
184	в какой	1	1
185	работы в	1	1
186	ясно что	3	1
187	как и	6	1
188	и само	1	1
189	или иной	2	1
190	и именно	2	1
191	для каждого	1	1
192	говорить об	2	1
193	всеми его	1	1
194	дело идет	1	1
195	бы эти	1	1
196	и по	2	1
197	и критика	1	1
198	в природе	1	1
199	бы ее	1	1
200	там где	1	1
201	и только	1	1
202	друг с	2	1
203	в и	2	1
204	всяком случае	2	1
205	в условиях	5	1
206	когда в	1	1
207	с ее	1	1
208	в известном	1	1
209	более как	1	1
210	с другом	2	1
211	пример такого	1	1
212	не имеет	1	1
213	xviii и	1	1
214	и особенно	1	1
215	выработанные в	1	1
216	в развитии	4	1
217	которая и	1	1
218	xviii века	1	1
219	никогда не	1	1
220	еще не	3	1
