N	2gram	Losev_Dial	BTomashe
1	все это	14	2
2	в ней	4	2
3	можно было	5	2
4	не то	9	2
5	больше чем	1	2
6	и не	51	2
7	для которой	1	1
8	вопрос о	3	1
9	говорить о	9	1
10	начинает говорить	1	1
11	творчества и	1	1
12	и о	4	1
13	о них	1	1
14	было и	1	1
15	со всем	2	1
16	как первый	1	1
17	и нет	2	1
18	не только	26	1
19	остановиться на	1	1
20	а о	2	1
21	всего в	1	1
22	нас еще	1	1
23	таким образом	5	1
24	не было	7	1
25	в эпоху	2	1
26	прежде всего	14	1
27	бы только	2	1
28	и в	35	1
29	на самом	5	1
30	так и	18	1
31	по теории	1	1
32	и меньше	1	1
33	в своей	9	1
34	иначе не	3	1
35	во всяком	5	1
36	и потому	6	1
37	и во	1	1
38	также что	2	1
39	за пределы	4	1
40	говорить об	1	1
41	же не	4	1
42	по крайней	11	1
43	с другой	10	1
44	об этом	7	1
45	как будто	7	1
46	совершенно не	13	1
47	не о	5	1
48	другой стороны	7	1
49	крайней мере	11	1
50	всяком случае	3	1
51	кроме того	2	1
52	было бы	14	1
53	и ее	1	1
54	в данном	5	1
55	должна быть	5	1
56	в области	2	1
57	далеко не	2	1
58	тем более	2	1
59	говорить не	1	1
60	он свою	1	1
61	то как	3	1
62	короче говоря	1	1
63	и более	7	1
64	что все	2	1
65	не все	1	1
66	никак не	6	1
67	чтобы можно	1	1
68	его не	7	1
69	будто бы	3	1
70	также не	2	1
71	а не	24	1
72	отнюдь не	13	1
73	между ними	1	1
74	еще не	4	1
75	целиком в	2	1
76	к ней	4	1
77	все же	9	1
78	что в	19	1
