N	4gram	Medvedev_F	Myslijsy
1	в то же время	13	13
2	но тем не менее	1	10
3	не в том что	1	7
4	в том смысле в	1	6
5	том смысле в каком	1	6
6	и в свою очередь	1	4
7	и в том что	1	4
8	в том смысле что	2	4
9	не что иное как	1	4
10	вместе с тем и	2	4
11	все более и более	3	4
12	и то и другое	1	3
13	с этой точки зрения	1	3
14	и в этом случае	1	3
15	с одной стороны и	4	3
16	не говоря уже о	1	3
17	тем не менее в	1	3
18	и до сих пор	2	2
19	и как бы ни	1	2
20	не могут быть названы	1	2
21	и т п мы	1	2
22	в том случае если	1	2
23	от одного к другому	1	2
24	бы то ни было	1	2
25	не в том смысле	2	2
26	то же время и	2	2
27	той мере в какой	1	1
28	в этом смысле мы	1	1
29	имеет место и в	1	1
30	в той мере в	1	1
31	не для того чтобы	1	1
32	в более или менее	1	1
33	языка не может быть	1	1
34	же в таком случае	1	1
35	только в том случае	1	1
36	смысле этого слова а	1	1
37	что бы то ни	3	1
38	нет и не может	2	1
39	как бы ни было	1	1
40	как бы ни были	2	1
41	и в общем не	1	1
42	и в истории литературы	1	1
43	ему в то же	1	1
44	во что бы то	3	1
45	собственном смысле этого слова	1	1
46	и потому не могут	1	1
47	это не так то	1	1
48	чтобы убедиться в этом	2	1
49	смысле этого слова но	1	1
50	в их отношении к	1	1
51	на нее как на	1	1
52	сам по себе а	2	1
53	что как бы ни	1	1
54	в собственном смысле этого	1	1
55	бы то ни стало	3	1
56	прежде всего должны быть	1	1
57	строгом смысле этого слова	1	1
58	не сам по себе	1	1
59	в противном случае мы	1	1
60	в большей или меньшей	1	1
61	и не может быть	4	1
62	смысле можно говорить о	1	1
63	как и во всех	1	1
64	так и в каждом	1	1
65	иметь в виду что	1	1
66	в том числе и	1	1
67	бы она ни была	3	1
68	в строгом смысле этого	1	1
69	лишь в том случае	1	1
70	то же время не	2	1
71	но вместе с тем	1	1
72	друг другу и не	1	1
73	что и там где	1	1
74	именно в том и	1	1
75	и в этом отношении	1	1
76	тем что в нем	1	1
77	есть не что иное	1	1
