N	3gram	Bakhtin_Pr	EvropaiE
1	с точки зрения	21	16
2	в то же	13	15
3	то же время	13	14
4	в отношении к	3	12
5	и в то	2	8
6	с одной стороны	1	8
7	в том что	6	6
8	одной стороны и	1	6
9	так же как	1	5
10	как нам кажется	3	5
11	этой точки зрения	2	5
12	для того чтобы	1	5
13	того или иного	1	4
14	той или иной	1	4
15	само по себе	4	4
16	не только в	2	4
17	то ни было	2	4
18	бы то ни	3	4
19	и в этом	5	4
20	друг с другом	3	3
21	в той или	1	3
22	можно было бы	3	3
23	в известной степени	1	3
24	в этом смысле	12	3
25	же как и	2	3
26	как бы ни	1	3
27	хотя бы и	3	3
28	во всяком случае	4	3
29	можно сказать что	2	3
30	в известном смысле	1	3
31	в этом отношении	3	3
32	так и в	2	2
33	но не только	1	2
34	между ними и	1	2
35	дело идет о	4	2
36	обстоит дело в	1	2
37	в одном из	2	2
38	каких бы то	1	2
39	рано или поздно	1	2
40	и в частности	1	2
41	как мы видели	1	2
42	нам кажется что	3	2
43	но в то	7	2
44	и только в	1	2
45	не может быть	8	2
46	на то что	2	2
47	в большинстве случаев	10	2
48	в данном случае	2	2
49	прежде всего в	1	2
50	по себе не	1	2
51	по сравнению с	1	2
52	заключается в том	1	2
53	иначе обстоит дело	1	2
54	друг от друга	1	2
55	то что в	1	2
56	в свою очередь	1	2
57	с другой стороны	6	2
58	и т д	4	1
59	или меньшей степени	2	1
60	хотя и не	3	1
61	кажется что в	1	1
62	в противном случае	1	1
63	то что может	1	1
64	именно потому что	2	1
65	именно к этой	1	1
66	но и эта	1	1
67	т е не	2	1
68	в которых может	2	1
69	дело в том	1	1
70	смысле этого слова	1	1
71	же время не	3	1
72	ни на минуту	1	1
73	большей или меньшей	2	1
74	или в отношении	1	1
75	в лучшем случае	2	1
76	которая как мы	2	1
77	вместо того чтобы	1	1
78	к тому что	1	1
79	но и в	1	1
80	том числе и	1	1
81	и в этих	1	1
82	что в самом	1	1
83	в полной мере	1	1
84	в этом мире	1	1
85	тех или иных	1	1
86	почти никогда не	1	1
87	то время как	2	1
88	есть то что	1	1
89	и ту же	1	1
90	в отличие от	4	1
91	в себе в	1	1
92	к сожалению не	1	1
93	до настоящего времени	2	1
94	и в характере	1	1
95	как и его	1	1
96	но не в	1	1
97	о которых мы	1	1
98	себе не только	1	1
99	не могут быть	1	1
100	то и другое	1	1
101	не может не	1	1
102	мы увидим что	1	1
103	ней в ее	1	1
104	одну и ту	1	1
105	что же касается	1	1
106	но если и	1	1
107	выходит за пределы	1	1
108	в связи с	1	1
109	и не в	1	1
110	в том же	1	1
111	от того в	1	1
112	в пределах одного	6	1
113	та или иная	1	1
114	в том числе	1	1
115	он сам и	1	1
116	в нем и	1	1
117	в своей совокупности	1	1
118	в этой концепции	1	1
119	в то время	2	1
120	слова т е	2	1
121	более или менее	4	1
122	также и в	1	1
123	независимо от того	1	1
124	в значительной степени	1	1
125	и до настоящего	1	1
126	чтобы войти в	1	1
127	на этот вопрос	2	1
128	дают для понимания	1	1
129	в большей или	2	1
130	к тому же	2	1
131	может быть и	2	1
132	друг к другу	1	1
