N	2gram	Vygotskiy_	VelikijI
1	и не	19	20
2	и в	55	16
3	так как	20	9
4	то что	69	9
5	в истории	1	8
6	еще не	6	8
7	и потому	8	7
8	что они	11	7
9	а не	16	7
10	на земле	1	7
11	не есть	4	6
12	что есть	3	5
13	хотя и	1	5
14	того что	12	5
15	все это	8	5
16	как бы	33	5
17	но и	16	5
18	все что	1	4
19	в котором	5	4
20	в этом	30	4
21	что мы	12	4
22	потому что	48	4
23	в его	8	4
24	во мне	1	4
25	в ней	5	4
26	так и	6	4
27	это еще	1	4
28	говорить о	1	4
29	мы хотим	4	4
30	и есть	7	4
31	и все	15	4
32	что не	5	4
33	что все	12	4
34	как и	9	4
35	что он	30	4
36	в нем	13	4
37	во всех	6	3
38	что в	43	3
39	нет ничего	1	3
40	бы и	1	3
41	и мы	28	3
42	за ним	3	3
43	не нужна	1	3
44	то это	6	3
45	в конце	10	3
46	должно быть	6	3
47	нас и	2	3
48	в первый	1	3
49	если не	2	3
50	хотя бы	5	3
51	в том	50	3
52	первый раз	1	3
53	любовь к	1	3
54	тому что	11	3
55	личности и	1	3
56	этих трех	1	3
57	не в	12	3
58	и что	45	3
59	что и	11	3
60	ни в	5	3
61	превращается в	2	3
62	в этих	3	3
63	в них	7	3
64	оно не	2	3
65	в вопросе	1	3
66	не было	2	3
67	что во	1	3
68	в жизни	2	3
69	по этому	5	3
70	и они	1	3
71	как не	1	3
72	их в	4	3
73	в своей	8	3
74	должна быть	2	3
75	с его	6	3
76	от этого	1	3
77	не имеет	2	3
78	но это	2	3
79	и для	13	3
80	жизни и	8	3
81	в чем	1	3
82	все эти	5	3
83	тот же	5	3
84	но в	7	3
85	к тому	12	3
86	за то	3	3
87	никогда не	15	3
88	чтобы сделать	2	2
89	что было	1	2
90	всего в	1	2
91	под конец	1	2
92	во всяком	2	2
93	от него	5	2
94	его и	2	2
95	материалом для	1	2
96	уже на	1	2
97	ее и	1	2
98	с пути	1	2
99	что от	2	2
100	один из	9	2
101	мы и	2	2
102	не могли	4	2
103	которые не	2	2
104	на том	4	2
105	свою и	1	2
106	его не	2	2
107	не так	4	2
108	того чтобы	43	2
109	это не	9	2
110	вместо того	1	2
111	между тем	4	2
112	не только	24	2
113	для него	5	2
114	человека как	1	2
115	с ним	4	2
116	является в	2	2
117	не будет	3	2
118	ее в	2	2
119	для нас	9	2
120	и то	12	2
121	и за	4	2
122	не с	2	2
123	на нас	1	2
124	прежде всего	6	2
125	для них	1	2
126	который тоже	1	2
127	можно было	6	2
128	никогда еще	3	2
129	в форме	2	2
130	людей и	1	2
131	а между	1	2
132	вслед за	3	2
133	и это	13	2
134	от этих	3	2
135	мы не	8	2
136	конечно не	3	2
137	тогда уже	1	2
138	и теперь	2	2
139	только в	12	2
140	все равно	3	2
141	а с	7	2
142	под этим	1	2
143	те которые	1	2
144	а в	7	2
145	не хотел	2	2
146	истории и	1	2
147	и сам	1	2
148	не погибнет	1	2
149	нет и	2	2
150	это мы	2	2
151	но не	9	2
152	и никогда	1	2
153	тем что	8	2
154	тот кто	1	2
155	по которым	1	2
156	и во	2	2
157	могут быть	8	2
158	с тем	10	2
159	давно уже	2	2
160	и т	12	2
161	одна из	6	2
162	для людей	1	2
163	мы слышим	1	2
164	не могут	4	2
165	т д	6	2
166	да и	4	2
167	том что	46	2
168	когда в	2	2
169	для человека	1	2
170	но мы	4	2
171	в себя	2	2
172	нем нет	3	2
173	что их	2	2
174	уже не	1	2
175	вопросе о	1	2
176	не к	1	2
177	застывшее в	1	1
178	я был	1	1
179	жизни но	3	1
180	с которыми	1	1
181	в самом	18	1
182	который он	3	1
183	во всем	3	1
184	бы то	1	1
185	в образах	2	1
186	от труда	1	1
187	конечно это	1	1
188	могли бы	6	1
189	и другие	3	1
190	то есть	16	1
191	гораздо шире	1	1
192	а потому	1	1
193	и пусть	1	1
194	человека в	3	1
195	но как	3	1
196	в окончательном	1	1
197	людского племени	1	1
198	мы видим	13	1
199	и самое	1	1
200	не хотим	1	1
201	если оно	1	1
202	что оно	12	1
203	на котором	1	1
204	для нашего	1	1
205	человек был	1	1
206	любви и	3	1
207	речь идет	1	1
208	если за	2	1
209	он говорит	5	1
210	будто бы	3	1
211	и на	12	1
212	ничем не	1	1
213	она и	1	1
214	вопрос о	6	1
215	от любви	1	1
216	с тремя	1	1
217	на этом	11	1
218	может быть	34	1
219	чтобы заставить	2	1
220	они не	3	1
221	на что-нибудь	1	1
222	видим что	5	1
223	что нет	3	1
224	после того	1	1
225	между собою	1	1
226	важный для	1	1
227	и было	2	1
228	и свою	1	1
229	богом и	1	1
230	свое место	1	1
231	человека не	1	1
232	если в	1	1
233	тот последний	1	1
234	теперь его	1	1
235	не хорошо	1	1
236	и нам	2	1
237	иногда может	1	1
238	ее на	1	1
239	и хлеб	1	1
240	указать на	1	1
241	того как	4	1
242	это как	2	1
243	которая в	1	1
244	где есть	1	1
245	слово это	1	1
246	мы увидим	11	1
247	и вообще	2	1
248	и который	1	1
249	он делает	2	1
250	общественной жизни	1	1
251	человечество и	1	1
252	в руки	3	1
253	и вот	7	1
254	его с	2	1
255	только до	1	1
256	она не	1	1
257	но она	3	1
258	уже в	7	1
259	задача которая	1	1
260	ненависть к	1	1
261	нас как	1	1
262	в состоянии	3	1
263	и два	2	1
264	у них	1	1
265	с этой	5	1
266	то же	16	1
267	и если	13	1
268	для всякого	1	1
269	есть знак	1	1
270	главах мы	1	1
271	только мы	1	1
272	по сравнению	4	1
273	то ни	1	1
274	для того	45	1
275	это только	5	1
276	не по	1	1
277	нельзя не	1	1
278	не быть	1	1
279	не для	4	1
280	и должна	1	1
281	и высшего	1	1
282	что всякий	2	1
283	но от	1	1
284	утверждают что	1	1
285	что это	15	1
286	это значит	2	1
287	в разных	1	1
288	него в	1	1
289	все чего	1	1
290	в глазах	2	1
291	о чем	4	1
292	своей сущности	1	1
293	с такой	5	1
294	в ее	3	1
295	и тем	6	1
296	и уже	4	1
297	души и	1	1
298	сознании и	1	1
299	говорит о	5	1
300	как это	16	1
301	но может	2	1
302	не понимает	1	1
303	чем у	3	1
304	есть еще	1	1
