N	2gram	Nazirov_Vr	Narrotol
1	не только	9	62
2	и не	5	50
3	при этом	4	47
4	но и	7	45
5	в качестве	1	35
6	в частности	1	31
7	может быть	4	30
8	и в	8	30
9	в том	3	29
10	в этом	8	28
11	тогда как	2	28
12	своего рода	1	28
13	том что	3	28
14	а в	2	27
15	как и	6	24
16	то что	7	23
17	не может	2	20
18	в рассказе	1	18
19	в себе	2	17
20	так и	1	17
21	а также	2	17
22	у чехова	1	16
23	в его	3	16
24	и т.п	2	15
25	но в	6	15
26	в жизни	1	14
27	и его	3	14
28	то же	5	13
29	в своей	2	13
30	уже не	2	13
31	о том	4	13
32	в своем	3	13
33	у него	5	13
34	все же	6	12
35	как в	1	12
36	как бы	4	12
37	прежде всего	1	12
38	об этом	5	11
39	к себе	2	11
40	хотя и	1	11
41	в мире	2	11
42	в этой	2	11
43	в нем	6	11
44	героя в	1	11
45	тем самым	1	11
46	один из	1	10
47	как правило	1	10
48	никогда не	2	10
49	тому же	1	10
50	точки зрения	2	10
51	между тем	5	10
52	в то	5	10
53	и все	7	10
54	жизни и	1	10
55	с его	3	10
56	ничего не	1	10
57	того что	1	10
58	но не	1	10
59	и т.д	1	10
60	в соответствии	1	9
61	как раз	2	9
62	тем не	1	9
63	столь же	2	9
64	отнюдь не	2	9
65	что в	7	9
66	с ним	4	9
67	что он	4	9
68	еще не	2	9
69	потому что	1	9
70	для него	2	9
71	далеко не	3	9
72	в той	2	8
73	в самом	1	8
74	в таком	1	8
75	о чем	2	8
76	не менее	2	8
77	матери и	3	8
78	не мог	2	8
79	одна из	2	8
80	он не	3	8
81	и он	2	8
82	же время	5	8
83	соответствии с	1	8
84	этом отношении	1	8
85	в литературе	1	8
86	но при	1	8
87	в котором	6	7
88	с другой	1	7
89	едва ли	1	7
90	в ее	1	7
91	в конце	3	7
92	в чем	3	7
93	в силу	1	7
94	в форме	1	7
95	же в	2	7
96	в свою	2	7
97	это не	4	7
98	вслед за	1	7
99	в глазах	2	7
100	также и	1	7
101	в ней	4	7
102	в целом	1	7
103	все что	1	6
104	то в	1	6
105	что у	3	6
106	не могла	1	6
107	известном смысле	1	6
108	однако в	1	6
109	таким образом	2	6
110	в известном	2	6
111	ответ на	2	6
112	они не	1	6
113	уже говорилось	1	6
114	о нем	6	6
115	на то	3	6
116	вплоть до	1	6
117	только что	1	5
118	в своих	4	5
119	и даже	6	5
120	и сам	1	5
121	именно в	1	5
122	свою очередь	1	5
123	не всегда	1	5
124	в одном	1	5
125	он сам	2	5
126	себя в	1	5
127	из них	2	5
128	к нему	1	5
129	не было	5	5
130	но для	1	5
131	я не	3	5
132	человек в	1	5
133	его жизни	1	5
134	в русской	3	5
135	и от	1	5
136	с ее	1	5
137	что это	1	5
138	их в	2	5
139	и у	3	5
140	да и	1	5
141	о котором	1	5
142	том как	1	5
143	было бы	1	5
144	и уже	3	5
145	и то	2	5
146	тем более	2	5
147	в начале	6	5
148	еще в	1	5
149	и о	3	5
150	говорилось выше	1	5
151	место в	2	5
152	в душе	1	4
153	еще раз	1	4
154	не являются	1	4
155	в виду	4	4
156	в них	2	4
157	и с	6	4
158	роль в	1	4
159	которой он	1	4
160	но они	1	4
161	в эпизоде	1	4
162	к этому	3	4
163	обо мне	1	4
164	что они	1	4
165	несмотря на	4	4
166	встрече с	1	4
167	в ответ	1	4
168	не будет	1	4
169	но зато	1	4
170	по своей	1	4
171	и ее	2	4
172	о которой	2	4
173	за границей	2	4
174	о своей	1	4
175	вместе с	2	4
176	не имеет	1	4
177	во сне	1	4
178	в москве	1	4
179	в итоге	1	4
180	не могло	1	4
181	в обоих	1	4
182	начиная с	2	4
183	что я	2	4
184	всяком случае	1	4
185	друг друга	1	4
186	ему в	1	4
187	во всяком	1	4
188	для нас	4	4
189	раз в	3	4
190	и как	3	4
191	так в	2	4
192	ли не	1	4
193	по своему	1	4
194	это было	1	4
195	не все	1	4
196	человека в	3	4
197	быть и	1	4
198	не с	1	4
199	как он	1	4
200	как по	1	4
201	говорит о	1	3
202	в этих	1	3
203	о своем	1	3
204	каждый из	1	3
205	к своей	1	3
206	говорить о	1	3
207	точно так	1	3
208	так же	4	3
209	к ним	2	3
210	наряду с	3	3
211	ключ к	1	3
212	только не	1	3
213	ее и	1	3
214	об одном	1	3
215	с точки	2	3
216	связи с	3	3
217	но он	3	3
218	в связи	3	3
219	же как	2	3
220	и это	2	3
221	сих пор	1	3
222	о себе	3	3
223	но как	2	3
224	а с	2	3
225	и что	8	3
226	не просто	1	3
227	как известно	1	3
228	в первой	1	3
229	во время	2	3
230	в него	2	3
231	до сих	1	3
232	он уже	1	3
233	самим собой	1	3
234	за человек	1	3
235	в романе	6	3
236	как на	1	3
237	и лишь	1	3
238	речь идет	3	3
239	той же	1	3
240	до конца	1	3
241	на этот	1	3
242	но это	2	3
243	как к	1	3
244	и уж	1	3
245	от которого	1	3
246	которых он	1	3
247	он и	1	3
248	же не	2	3
249	все равно	1	3
250	а о	1	3
251	этого не	1	3
252	этот раз	1	3
253	по его	1	3
254	позволяет нам	1	3
255	во второй	1	3
256	это была	1	3
257	идет о	1	3
258	в е	1	3
259	в лицо	2	2
260	в момент	2	2
261	русской литературе	3	2
262	еще более	1	2
263	в году	18	2
264	нас в	1	2
265	другой стороны	1	2
266	быть может	1	2
267	людей и	1	2
268	к центральному	1	2
269	людей а	1	2
270	целый ряд	4	2
271	тем что	3	2
272	внимание к	1	2
273	достоевского и	7	2
274	в это	2	2
275	и стал	2	2
276	на первый	2	2
277	первый взгляд	1	2
278	было не	1	2
279	было в	1	2
280	раз и	1	2
281	в этот	3	2
282	больше не	1	2
283	с помощью	1	2
284	героини и	1	2
285	е годы	1	2
286	а между	1	2
287	у себя	1	2
288	не имел	1	2
289	к которому	1	2
290	тем это	1	2
291	тут же	1	2
292	бы в	1	2
293	того же	1	2
294	себе знать	1	2
295	не слишком	1	2
296	по мнению	2	2
297	искать в	1	2
