N	4gram	Tiupa_Anal	EvropaiE
1	в то же время	7	14
2	с этой точки зрения	2	5
3	бы то ни было	3	4
4	в той или иной	3	3
5	можно сказать что в	1	2
6	заключается в том что	1	2
7	но в то же	2	2
8	и в этом смысле	1	2
9	и та и другая	1	1
10	из того что в	2	1
11	не только в том	1	1
12	в том случае если	1	1
13	в том числе и	1	1
14	одна и та же	1	1
15	в большей или меньшей	1	1
16	в тех случаях когда	1	1
17	во всех этих случаях	1	1
18	может быть сведена к	1	1
19	несмотря на то что	1	1
20	не говоря уже о	1	1
21	большей или меньшей степени	1	1
22	одного и того же	2	1
23	один и тот же	1	1
24	в том смысле что	1	1
25	к тому или иному	1	1
