N	2gram	Tiupa_Hudo	TeoriaLi
1	в качестве	31	33
2	в мире	24	26
3	не только	20	24
4	и в	23	24
5	в частности	18	23
6	то есть	26	22
7	состоит в	20	22
8	может быть	19	22
9	при этом	19	20
10	в том	20	20
11	в тексте	13	19
12	тогда как	15	18
13	я в	13	18
14	художественной деятельности	17	17
15	и не	16	17
16	а в	13	15
17	но и	14	14
18	а не	13	14
19	так и	12	14
20	в себе	13	14
21	представляет собой	11	13
22	в рамках	13	13
23	такого рода	12	13
24	внутренней речи	14	13
25	но не	13	13
26	в этом	12	12
27	сводится к	11	12
28	произведение искусства	12	12
29	но в	10	12
30	от лат	19	12
31	в его	11	12
32	эстетического отношения	11	12
33	то же	12	12
34	своего рода	9	11
35	эстетического завершения	9	11
36	художественного текста	13	11
37	литературного произведения	13	11
38	том что	9	11
39	точки зрения	11	11
40	внутреннего зрения	7	11
41	и его	12	11
42	что в	7	10
43	эстетическое отношение	10	10
44	по отношению	10	10
45	объектной организации	6	10
46	как это	7	10
47	лишь в	7	10
48	отношению к	10	10
49	коммуникативного события	9	10
50	в душе	9	9
51	только в	7	9
52	в данном	4	9
53	с другой	9	9
54	художественной культуры	9	9
55	субъектной организации	5	9
56	не сводится	9	9
57	в искусстве	9	9
58	не в	9	9
59	в то	8	9
60	в миропорядке	8	8
61	в своей	7	8
62	же время	7	8
63	как бы	11	8
64	присутствия в	9	8
65	эмоциональной рефлексии	8	8
66	всего лишь	6	8
67	по своей	7	8
68	не может	9	8
69	художественного языка	8	8
70	в самом	7	7
71	в принципе	8	7
72	не столько	7	7
73	на смену	4	7
74	или иной	9	7
75	особого рода	8	7
76	и т.п	7	7
77	в отличие	7	7
78	в своем	4	7
79	кадров внутреннего	3	7
80	себя в	8	7
81	художественного письма	9	7
82	присутствия я	6	7
83	мы имеем	6	7
84	а также	6	7
85	художественной реальности	5	7
86	отличие от	7	7
87	парадигмы художественности	8	7
88	отношение к	7	7
89	однако в	4	7
90	место в	5	7
91	в области	8	7
92	в нем	6	7
93	другой стороны	6	6
94	в состав	6	6
95	эстетическая деятельность	5	6
96	организации художественного	4	6
97	более или	6	6
98	конечном счете	5	6
99	как и	3	6
100	не менее	5	6
101	приводит к	6	6
102	еще не	4	6
103	в основе	7	6
104	то что	5	6
105	со стороны	5	6
106	художественного впечатления	4	6
107	знаковой системы	8	6
108	уже не	6	6
109	с его	6	6
110	модуса художественности	13	6
111	внутреннего я	6	6
112	в ее	6	6
113	картина мира	5	6
114	с другими	5	6
115	в конечном	5	6
116	или иначе	5	6
117	между ними	5	6
118	или менее	6	6
119	героя и	5	6
120	модус художественности	6	6
121	в русской	3	6
122	того или	4	6
123	тем самым	5	6
124	или иного	4	6
125	кто говорит	5	5
126	художественного сознания	5	5
127	художественного творчества	6	5
128	ни в	5	5
129	в виду	5	5
130	мыслится как	5	5
131	так или	4	5
132	и одновременно	5	5
133	не предполагает	5	5
134	как в	2	5
135	в художественном	5	5
136	роли в	4	5
137	воспринимающего сознания	4	5
138	можно сказать	6	5
139	не является	5	5
140	того чтобы	5	5
141	для того	5	5
142	литературных произведений	3	5
143	я с	5	5
144	жизни как	4	5
145	как правило	3	5
146	за пределами	3	5
147	художественности в	6	5
148	речевая маска	5	5
149	иначе говоря	5	5
150	на почве	4	5
151	как к	5	5
152	по преимуществу	3	5
153	для него	5	5
154	композиционных форм	3	5
155	а и	1	5
156	того что	5	5
157	деятельности в	4	5
158	знака к	5	5
159	я есть	5	5
160	лирическая героиня	1	5
161	в себя	4	5
162	между тем	4	5
163	он не	4	5
164	и тем	4	5
165	высказывания в	5	5
166	в пределах	3	5
167	по сути	6	5
168	эмоциональная рефлексия	8	5
169	и о	4	5
170	в ходе	5	5
171	могут быть	5	5
172	художественного произведения	4	5
173	вторичной знаковой	6	5
174	не случайно	3	5
175	искусства в	6	5
176	текст в	3	4
177	порядка в	4	4
178	без исключения	4	4
179	хх века	5	4
180	рефлективный традиционализм	3	4
181	в отношении	4	4
182	уединенного сознания	4	4
183	не на	5	4
184	по пути	4	4
185	не следует	4	4
186	и сам	3	4
187	в этих	4	4
188	лирического героя	2	4
189	значении этого	4	4
190	отношения к	4	4
191	что он	5	4
192	в слове	4	4
193	творческого акта	4	4
194	для читателя	4	4
195	художественного восприятия	4	4
196	с позиций	4	4
197	художественного целого	3	4
198	языка в	4	4
199	совпадает с	2	4
200	входит в	4	4
201	в другом	4	4
202	говорить о	4	4
203	отношении к	3	4
204	телячья головка	3	4
205	и т.д	4	4
206	сказать что	4	4
207	в нашем	2	4
208	в текстах	2	4
209	к тому	4	4
210	естественного языка	5	4
211	этого слова	2	4
212	от гр	5	4
213	текста как	3	4
214	во времени	4	4
215	никогда не	2	4
216	или иным	4	4
217	искусства но	4	4
218	и того	3	4
219	аналогичным образом	4	4
220	это не	4	4
221	как эстетической	4	4
222	хотя и	4	4
223	эстетических отношений	4	4
224	факторов художественного	4	4
225	в литературе	2	4
226	слова в	3	4
227	говоря словами	5	4
228	в их	5	4
229	его в	4	4
230	читателя в	3	4
231	эстетический объект	4	4
232	но он	3	4
233	не знает	4	4
234	личностного присутствия	4	4
235	или даже	3	4
236	так в	4	4
237	мира и	2	4
238	по своему	3	4
239	со своей	4	4
240	в воображении	4	4
241	а только	4	4
242	художественности и	4	4
243	знакового материала	4	4
244	креативная компетенция	4	4
245	личности в	4	4
246	произведения искусства	4	4
247	личности и	3	4
248	субъекта и	3	4
249	речи и	4	4
250	в свою	3	4
251	и что	4	4
252	самим собой	5	4
253	в форме	4	4
254	далеко не	4	4
255	того же	3	4
256	художественного мира	2	4
257	художественный текст	4	4
258	одного и	3	4
259	силу своей	4	4
260	в силу	4	4
261	в стихотворении	3	4
262	с ее	6	4
263	в целом	3	4
264	и ее	3	4
265	ритмического ряда	3	3
266	текста в	3	3
267	рамках которого	3	3
268	и к	3	3
269	к действительности	3	3
270	и составляет	3	3
271	во втором	4	3
272	в таком	3	3
273	в момент	3	3
274	рассматриваться в	2	3
275	системе ценностей	3	3
276	для себя	4	3
277	с этой	3	3
278	искусства это	3	3
279	литературы как	3	3
280	даже в	3	3
281	была бы	3	3
282	в финале	2	3
283	эстетического объекта	4	3
284	говорит и	3	3
285	своем составе	1	3
286	для возникновения	2	3
287	о чем	3	3
288	только не	1	3
289	внутреннего слуха	2	3
290	работа с	3	3
291	подобно тому	3	3
292	однако при	3	3
293	я героя	3	3
294	данного текста	3	3
295	если бы	3	3
296	оказывается в	3	3
297	может выступать	2	3
298	между которыми	2	3
299	художественном языке	2	3
300	все эти	2	3
301	а именно	3	3
302	в романе	3	3
303	именно в	2	3
304	по мысли	2	3
305	и адресата	3	3
306	критерием художественности	3	3
307	например в	4	3
308	в жизни	3	3
309	в порядке	2	3
310	сути дела	3	3
311	это позиция	3	3
312	общения людей	3	3
313	имеет место	3	3
314	к его	3	3
315	в соответствии	1	3
316	их в	3	3
317	субъект художественной	3	3
318	никто не	3	3
319	законе искусства	3	3
320	художественного мышления	3	3
321	роль в	2	3
322	хронотоп в	2	3
323	коммуникативных стратегий	3	3
324	в иной	3	3
325	в итоге	2	3
326	из которого	4	3
327	тем не	3	3
328	культуры в	3	3
329	люди но	3	3
330	следует подчеркнуть	3	3
331	перед нами	1	3
332	области искусства	3	3
333	игре с	3	3
334	но их	3	3
335	свою очередь	2	3
336	виду не	3	3
337	порядок в	3	3
338	между собой	2	3
339	своей природе	2	3
340	сводятся к	3	3
341	в роли	3	3
342	в противоположность	3	3
343	потому что	3	3
344	духовного общения	2	3
345	одной стороны	3	3
346	художественной целостности	3	3
347	причастности к	2	3
348	искусства и	3	3
349	в знаковом	3	3
350	ритмических рядов	1	3
351	между двумя	2	3
352	или иных	2	3
353	направленной на	3	3
354	в одном	3	3
355	вслед за	2	3
356	не обязательно	3	3
357	такой деятельности	3	3
358	о литературе	3	3
359	всех без	3	3
360	граница личности	3	3
361	искусства слова	2	3
362	специфическом значении	3	3
363	имеем в	3	3
364	известной степени	3	3
365	читателя зрителя	3	3
366	текст как	3	3
367	художественное произведение	3	3
368	первичного языка	3	3
369	первичной знаковой	3	3
370	мог бы	3	3
371	структуре текста	2	3
372	элегическое я	3	3
373	это отношение	3	3
374	во всей	3	3
375	парадигма художественности	3	3
376	не все	2	3
377	с читателем	2	3
378	от себя	3	3
379	и внешней	3	3
380	м.м бахтина	3	3
381	рефлективного традиционализма	2	3
382	из этих	3	3
383	и для	3	3
384	в притче	3	3
385	человеческого я	3	3
386	о ней	1	3
387	к содержанию	3	3
388	таким образом	3	3
389	и то	4	3
390	своей эстетической	3	3
391	на языке	3	3
392	качестве текста	2	3
393	человека к	3	3
394	и автора	2	3
395	мышления и	2	3
396	миропорядка и	3	3
397	в эпизоде	1	3
398	художественного высказывания	2	3
399	в единое	3	3
400	с одной	3	3
401	том числе	3	3
402	в произведении	3	3
403	авторской позиции	3	3
404	в художественной	3	3
405	и потому	2	3
406	бенвенист ритм	3	3
407	литературных текстов	2	3
408	с точки	3	3
409	ни к	2	3
410	эстетического созерцания	3	3
411	к которому	4	3
412	знаковом материале	3	3
413	как раз	3	3
414	не слияние	3	3
415	есть в	3	3
416	прежде всего	5	3
417	природа литературы	12	3
418	несет в	3	3
419	смешивать с	3	3
420	иного рода	1	3
421	все прочие	3	3
422	другими знаками	3	3
423	а на	5	3
424	и притом	3	3
425	связи с	3	3
426	или в	2	3
427	без остатка	2	3
428	и позволяет	3	3
429	в организации	2	3
430	первичной реальности	3	3
431	одним из	2	3
432	объекта и	3	3
433	новой парадигмы	3	3
434	в эстетический	3	3
435	в контексте	3	3
436	в равной	2	3
437	как говорит	3	3
438	сказания или	3	3
439	в связи	3	3
440	и как	4	3
441	анна каренина	3	3
442	с художественной	3	3
443	художественное впечатление	3	3
444	вдохновения в	1	3
445	природы искусства	3	3
446	его текст	2	3
447	а всего	1	3
448	в сторону	2	3
449	конструктивному принципу	3	3
450	вовсе не	2	3
451	текст и	3	3
452	той или	5	3
453	его эстетической	3	3
454	во всех	3	3
455	я на	2	3
456	деятельность по	3	3
457	а с	2	3
458	тот или	3	3
459	картины мира	3	3
460	воображаемой реальности	3	3
461	классического реализма	2	3
462	сближение но	3	3
463	ценностного центра	3	3
464	следует смешивать	3	3
465	однако если	3	3
466	тому как	3	3
467	в акте	3	3
468	принадлежит к	3	3
469	с языком	3	3
470	в которой	3	3
471	не будет	3	3
472	иного жанра	3	3
473	он должен	3	3
474	не с	2	3
475	отношение знака	3	3
476	нового времени	2	3
477	к области	3	3
478	личности со	1	3
479	определяющим отношением	3	3
480	говоря о	3	3
481	отношение автор	3	3
482	этом смысле	3	3
483	лирического я	1	3
484	человека с	3	3
485	его организации	3	3
486	равной степени	2	3
487	жизни однако	2	3
488	в этой	2	3
489	что можно	3	3
490	одного сознания	3	3
491	и др	2	3
492	человеческой жизни	3	3
493	художественности состоит	3	3
494	в узком	3	3
495	столь же	2	3
496	эстетическая ситуация	3	3
497	творческого воображения	3	3
498	являет собой	3	3
499	литературного текста	3	3
500	лирический герой	5	3
501	и по	2	3
502	слова как	5	3
503	тех или	2	3
504	отнюдь не	2	3
505	зрителя слушателя	3	3
506	в точке	3	3
507	как совокупность	3	3
508	воспринимающее сознание	3	3
509	в культуре	3	3
510	герой не	3	3
511	живописного полотна	3	3
512	мира в	2	3
513	в той	3	2
514	поскольку не	2	2
515	романтической субпарадигмы	2	2
516	о жизни	2	2
517	модусов художественности	1	2
518	диалога согласия	2	2
519	литература как	1	2
520	ведет к	2	2
521	текста характеризующийся	2	2
522	более не	2	2
523	притча не	2	2
524	мире и	2	2
525	обладают не	1	2
526	и другие	2	2
527	на деле	3	2
528	на папоротник	2	2
529	совокупность факторов	2	2
530	обращены к	2	2
531	личностного самоопределения	2	2
532	модусу художественности	2	2
533	художественную значимость	1	2
534	образом и	2	2
535	художественная реальность	2	2
536	для всех	1	2
537	однако с	2	2
538	в сочетании	1	2
539	один из	2	2
540	и здесь	1	2
541	с иными	2	2
542	и мира	1	2
543	речевой деятельности	2	2
544	таковы например	2	2
545	автором и	1	2
546	и на	3	2
547	легкой руки	2	2
548	ткань текста	1	2
549	способ духовного	1	2
550	и любые	2	2
551	русской литературе	2	2
552	ценностной позиции	1	2
553	если в	1	2
554	всех и	3	2
555	рассказ о	2	2
556	от имени	2	2
557	жизни а	2	2
558	художественно значимым	1	2
559	которая в	1	2
560	и который	2	2
561	и читателем	2	2
562	художественного содержания	2	2
563	воображенного мира	2	2
564	в литературной	1	2
565	быть названо	2	2
566	судьбы а	2	2
567	языкового знака	2	2
568	своей является	2	2
569	переживание переживания	1	2
570	об искусстве	2	2
571	говорилось ранее	2	2
572	знаковой деятельности	2	2
573	художественный язык	2	2
574	к числу	1	2
575	для самоактуализации	2	2
576	художественному языку	2	2
577	статус художественного	2	2
578	на второй	1	2
579	выступать как	2	2
580	помимо системы	2	2
581	все расположилось	2	2
582	культуры новейшего	2	2
583	оказывается уже	2	2
584	легко догадываемся	2	2
585	художественности героика	2	2
586	слуха и	2	2
587	ролевую границу	2	2
588	строго говоря	2	2
589	вторичное переживание	2	2
590	жизнь человеческого	2	2
591	классицизма в	2	2
592	создает эффект	2	2
593	мира представляет	2	2
594	по слову	1	2
595	жить и	2	2
596	на этом	2	2
597	из которых	2	2
598	а затем	2	2
599	природе суть	1	2
600	окружающей его	2	2
601	и неизбыточность	2	2
602	как элемента	2	2
603	в году	2	2
604	существующее в	2	2
605	субъекта жизни	2	2
606	знаков в	2	2
607	отношении обратного	2	2
608	не признает	2	2
609	внутреннюю свободу	2	2
610	но чтобы	2	2
611	усматривая в	2	2
612	как такой	1	2
613	к субъективной	2	2
614	начинает восприниматься	2	2
615	предпосылки двоякого	2	2
616	конфигурации знаков	2	2
617	он тем	2	2
618	по себе	2	2
619	не могут	1	2
620	есть высшая	2	2
621	трагической художественностью	2	2
622	обратного параллелизма	2	2
623	вещами и	2	2
624	в них	2	2
625	оно не	2	2
626	принципу иносказательности	2	2
627	и даже	1	2
628	а напротив	1	2
629	между автором	2	2
630	вымышленного мира	2	2
631	как знаками	2	2
632	этой точки	2	2
633	текста по	2	2
634	эстетической деятельности	2	2
635	способ существования	2	2
636	здесь мы	1	2
637	общения между	1	2
638	художественное целое	2	2
639	самом деле	2	2
640	ангел гармонии	2	2
641	героя как	2	2
642	речевого замысла	2	2
643	может оказаться	2	2
644	на мир	2	2
645	заключается в	2	2
646	на свою	2	2
647	последнее означает	2	2
648	эмоциональную рефлексию	2	2
649	произведений искусства	3	2
650	одно слово	3	2
651	порядке образующем	2	2
652	имеет дело	2	2
653	обращается к	1	2
654	к более	2	2
655	гоголя или	1	2
656	воображаемого мира	2	2
657	читательского восприятия	2	2
658	или анекдота	2	2
659	во множестве	2	2
660	значения и	2	2
661	рамках художественного	2	2
662	ясно говорит	2	2
663	лично для	2	2
664	каждый такой	2	2
665	литературных жанров	1	2
666	знаковой системе	2	2
667	из тех	2	2
668	либо в	2	2
669	взаимодействия людей	2	2
670	и соответственно	2	2
671	в одноименной	2	2
672	жизнь на	2	2
673	необходимо выбрать	2	2
674	отношение представляет	2	2
675	в одно	2	2
676	продолжением и	2	2
677	с ними	2	2
678	к нам	1	2
679	художественно значимой	2	2
