N	3gram	Savitsky_P	VrazhdaK
1	то же время	7	4
2	в то же	7	4
3	в том что	4	2
4	не может быть	1	2
5	но в то	1	2
6	с точки зрения	3	2
7	не было бы	1	1
8	далеко не все	1	1
9	так же как	1	1
10	что уже в	1	1
11	и в то	2	1
12	в этом смысле	1	1
13	заключается в том	2	1
14	и то что	1	1
15	но в этом	1	1
16	во всяком случае	1	1
17	гоголя и достоевского	1	1
18	с другой стороны	1	1
19	в известном смысле	1	1
20	что из всех	1	1
21	тем более что	1	1
22	не только как	1	1
23	в – годах	1	1
24	и не может	1	1
25	и в этом	1	1
