N	2gram	Nazirov_Vr	Istorich
1	и в	8	181
2	т е	3	133
3	может быть	4	115
4	не только	9	114
5	что он	4	111
6	что в	7	90
7	но и	7	85
8	в этом	8	81
9	то что	7	73
10	таким образом	2	72
11	вместе с	2	71
12	и не	5	67
13	все же	6	65
14	в этих	1	64
15	еще не	2	63
16	не может	2	61
17	так же	4	57
18	то же	5	56
19	никогда не	2	56
20	в том	3	53
21	том что	3	53
22	а в	2	52
23	с другой	1	52
24	потому что	1	52
25	и что	8	51
26	о том	4	48
27	его в	3	47
28	другой стороны	1	46
29	но в	6	44
30	это не	4	43
31	и его	3	43
32	мы знаем	2	42
33	в нем	6	42
34	как в	1	42
35	представление о	1	41
36	тем что	3	38
37	в его	3	38
38	для нас	4	38
39	как и	6	37
40	уже не	2	37
41	он не	3	37
42	так и	1	37
43	что они	1	35
44	не всегда	1	34
45	связи с	3	34
46	но не	1	34
47	у него	5	34
48	во время	2	34
49	что это	1	34
50	же как	2	33
51	об этом	5	33
52	сих пор	1	32
53	попадает в	1	32
54	в качестве	1	32
55	один из	1	31
56	прежде всего	1	31
57	так в	2	31
58	ничего не	1	31
59	с этим	1	30
60	в русской	3	30
61	до сих	1	30
62	к нему	1	30
63	этот мотив	1	30
64	при помощи	2	30
65	но это	2	29
66	и с	6	28
67	героя в	1	27
68	могут быть	1	27
69	того что	1	27
70	как он	1	27
71	предположить что	1	26
72	в ней	4	26
73	и он	2	25
74	не менее	2	24
75	к этому	3	24
76	было бы	1	24
77	того как	1	24
78	их в	2	23
79	как бы	4	23
80	точно так	1	23
81	и это	2	23
82	тем не	1	23
83	в этой	2	23
84	не будем	1	23
85	все это	4	23
86	в частности	1	23
87	с ним	4	22
88	при этом	4	22
89	в одном	1	21
90	о смерти	1	21
91	в связи	3	21
92	связан с	1	21
93	они не	1	21
94	из них	2	20
95	наряду с	3	20
96	одна из	2	20
97	в свете	1	20
98	в силу	1	20
99	что у	3	19
100	но он	3	19
101	в другой	1	19
102	не совсем	1	19
103	на то	3	19
104	и как	3	19
105	живет в	1	19
106	после этого	2	18
107	в то	5	18
108	что этот	1	18
109	не все	1	18
110	в них	2	17
111	можно найти	1	17
112	том как	1	17
113	во всех	1	16
114	всех этих	1	16
115	в котором	6	16
116	и все	7	16
117	в особенности	1	15
118	и то	2	15
119	в своей	2	15
120	его и	2	15
121	нет необходимости	1	15
122	и даже	6	15
123	друг друга	1	15
124	тот кто	1	15
125	в целом	1	15
126	но мы	1	14
127	в него	2	14
128	и ее	2	14
129	его на	2	14
130	но они	1	14
131	и есть	1	14
132	из которых	1	14
133	такое же	1	14
134	а также	2	14
135	отношение к	2	14
136	и наконец	1	14
137	в своем	3	13
138	то время	1	13
139	после смерти	2	13
140	тогда как	2	13
141	в себе	2	13
142	все что	1	13
143	своего рода	1	13
144	не просто	1	13
145	и у	3	13
146	в форме	1	13
147	и от	1	13
148	не имеет	1	13
149	во всем	1	12
150	к себе	2	12
151	в основном	1	12
152	ответ на	2	12
153	о нем	6	12
154	в их	1	12
155	к этой	1	12
156	одним из	3	12
157	между прочим	1	12
158	в русских	2	12
159	не знаю	1	12
160	и их	1	12
161	в этот	3	11
162	некоторое время	1	11
163	к которому	1	11
164	точки зрения	2	11
165	ясно что	1	11
166	я не	3	11
167	никто не	1	11
168	уже в	4	11
169	на нее	1	11
170	же в	2	11
171	имеется в	1	11
172	хотя и	1	11
173	дает нам	1	11
174	этого не	1	11
175	такой же	1	11
176	человека в	3	11
177	далеко не	3	11
178	к ним	2	10
179	от них	1	10
180	не было	5	10
181	а с	2	10
182	как указывает	1	10
183	на основе	2	10
184	вслед за	1	10
185	еще один	1	10
186	что же	1	10
187	он и	1	10
188	пока не	1	10
189	о чем	2	10
190	говорит о	1	10
191	там же	2	10
192	начинается с	1	10
193	в это	2	10
194	как правило	1	10
195	не мог	2	10
196	себя в	1	10
197	в ее	1	10
198	но как	2	10
199	ли он	1	10
200	что эта	1	10
201	на первый	2	9
202	но для	1	9
203	в чем	3	9
204	не будет	1	9
205	это и	1	9
206	в свою	2	9
207	целый ряд	4	9
208	на этот	1	9
209	из этого	1	9
210	которой он	1	9
211	за него	1	9
212	что за	1	9
213	если это	1	9
214	в истории	4	9
215	с его	3	9
216	из него	1	9
217	ему в	1	9
218	же не	2	9
219	говорилось выше	1	9
220	жизни и	1	9
221	этот материал	1	8
222	только что	1	8
223	и сам	1	8
224	именно в	1	8
225	меня в	1	8
226	во всяком	1	8
227	он был	3	8
228	из своего	1	8
229	восходят к	1	8
230	есть еще	1	8
231	доказывает что	1	8
232	также что	1	8
233	независимо от	1	8
234	что им	1	8
235	не с	1	8
236	тем самым	1	8
237	или по	1	8
238	роль в	1	8
239	и стал	2	8
240	тут же	1	8
241	можно бы	1	8
242	можно проследить	1	8
243	его с	2	8
244	и из	1	8
245	за это	1	8
246	во сне	1	8
247	предположение что	1	8
248	но с	1	8
249	в жизни	1	8
250	от того	1	8
251	на это	2	8
252	пор мы	1	7
253	первый взгляд	1	7
254	ключ к	1	7
255	этот момент	2	7
256	не есть	1	7
257	в эту	2	7
258	под влиянием	1	7
259	между тем	5	7
260	если в	1	7
261	и и	1	7
262	что ни	1	7
263	на них	1	7
264	в начале	6	7
265	еще в	1	7
266	вплоть до	1	7
267	во многих	1	7
268	как на	1	7
269	ее и	1	7
270	в конце	3	7
271	также в	1	7
272	уже давно	1	7
273	ли это	1	7
274	того же	1	7
275	однако в	1	7
276	не знал	1	7
277	то он	1	7
278	что я	2	7
279	всяком случае	1	7
280	ко мне	2	7
281	для него	2	7
282	по его	1	7
283	по которому	1	7
284	и о	3	7
285	об этой	2	7
286	с героем	1	6
287	той же	1	6
288	в могиле	1	6
289	как говорит	1	6
290	что как	1	6
291	чтобы он	3	6
292	он стал	1	6
293	не могла	1	6
294	доходит до	1	6
295	только о	1	6
296	равно как	1	6
297	на место	2	6
298	в одну	2	6
299	уже на	1	6
300	к сожалению	1	6
301	как показал	1	6
302	не ясно	1	6
303	каким-то образом	1	6
304	нет ничего	1	6
305	это за	1	6
306	от которого	1	6
307	довольно много	2	6
308	это конечно	1	6
309	также и	1	6
310	одну из	1	6
311	в плен	1	6
312	что ее	1	6
313	до того	1	6
314	то в	1	6
315	тому же	1	6
316	себе не	1	6
317	пришел к	2	6
318	быть и	1	6
319	отношения к	2	6
320	же он	1	6
321	близок к	1	6
322	из которого	1	6
323	на той	1	6
324	только по	1	6
325	и уже	3	6
326	не хочет	1	5
327	в виду	4	5
328	в своих	4	5
329	бы в	1	5
330	во все	1	5
331	только как	1	5
332	к своей	1	5
333	пока только	1	5
334	в сторону	1	5
335	эти слова	3	5
336	никого не	1	5
337	проникнуть в	1	5
338	по своей	1	5
339	это же	1	5
340	с ее	1	5
341	их и	1	5
342	это время	1	5
343	да и	1	5
344	о котором	1	5
345	в каком	1	5
346	на три	1	5
347	он как	1	5
348	и раньше	1	5
349	в свое	1	5
350	со мной	1	5
351	этом он	1	5
352	по своему	1	5
353	но при	1	5
354	д в	1	5
355	это можно	1	5
356	еще более	1	5
357	несмотря на	4	5
358	в таком	1	5
359	хотя в	1	5
360	за что	1	5
361	в нашей	2	5
362	одним словом	1	5
363	как о	1	5
364	этому же	1	5
365	не могло	1	5
366	через него	1	5
367	соответствии с	1	5
368	ее не	1	5
369	отличается от	1	5
370	это было	1	5
371	это в	2	5
372	что образ	1	5
373	что из	1	5
374	в самом	1	4
375	рассказы о	1	4
376	на свою	1	4
377	в числе	1	4
378	каждый из	1	4
379	знаем о	1	4
380	на крыльцо	1	4
381	людей и	1	4
382	во всей	1	4
383	он сам	2	4
384	и во	3	4
385	что уже	1	4
386	одном из	1	4
387	но вот	1	4
388	что есть	3	4
389	отнюдь не	2	4
390	в ответ	1	4
391	он уже	1	4
