N	2gram	Nazirov_Vr	slovoVRo
1	и в	8	92
2	в романе	6	89
3	может быть	4	59
4	и его	3	59
5	в нем	6	59
6	и не	5	51
7	не только	9	44
8	не может	2	41
9	но и	7	39
10	до конца	1	37
11	в этом	8	36
12	во всех	1	32
13	точки зрения	2	30
14	так и	1	30
15	могут быть	1	29
16	в его	3	27
17	в роман	2	27
18	все это	4	25
19	как бы	4	24
20	то же	5	23
21	как в	1	21
22	в процессе	1	20
23	в то	5	20
24	прежде всего	1	19
25	с ним	4	18
26	как и	6	18
27	же время	5	18
28	себя в	1	18
29	таким образом	2	17
30	и даже	6	17
31	все же	6	17
32	в истории	4	17
33	при этом	4	16
34	в них	2	16
35	но в	6	16
36	в той	2	15
37	и с	6	15
38	человек и	1	15
39	с точки	2	15
40	романа и	1	14
41	в особенности	1	13
42	отношении к	1	13
43	это не	4	13
44	с другой	1	13
45	с его	3	13
46	рядом с	2	13
47	еще не	2	12
48	во всяком	1	12
49	никогда не	2	12
50	а в	2	12
51	отношение к	2	12
52	и наконец	1	12
53	один из	1	11
54	в этих	1	11
55	для него	2	11
56	в плане	1	11
57	и их	1	10
58	и все	7	10
59	уже не	2	10
60	в своем	3	10
61	в том	3	10
62	в себе	2	10
63	далеко не	3	10
64	в него	2	10
65	всех этих	1	10
66	в основном	1	9
67	романа в	1	9
68	в своей	2	9
69	его в	3	9
70	одна из	2	9
71	в их	1	9
72	он не	3	9
73	быть и	1	9
74	одним из	3	9
75	и от	1	9
76	но не	1	9
77	с ее	1	9
78	к нему	1	9
79	более того	1	9
80	в самом	1	8
81	для нас	4	8
82	с этим	1	8
83	человека в	3	8
84	всяком случае	1	8
85	п в	2	8
86	человека и	1	8
87	общего мнения	1	8
88	в ней	4	8
89	во всем	1	7
90	еще более	1	7
91	о нем	6	7
92	том что	3	7
93	друг друга	1	7
94	того же	1	7
95	по преимуществу	1	7
96	у него	5	7
97	не было	5	7
98	связи с	3	7
99	в таком	1	7
100	у тургенева	11	7
101	также и	1	7
102	с которым	2	7
103	жизни и	1	7
104	в целом	1	7
105	что в	7	6
106	нем в	1	6
107	в одном	1	6
108	другой стороны	1	6
109	именно в	1	6
110	роль в	1	6
111	в свою	2	6
112	говорить о	1	6
113	как к	1	6
114	связан с	1	6
115	в качестве	1	6
116	а также	2	6
117	человек в	1	6
118	между тем	5	6
119	с различными	1	6
120	ничего не	1	6
121	героя в	1	5
122	роман в	1	5
123	они не	1	5
124	вместе с	2	5
125	не менее	2	5
126	о том	4	5
127	его и	2	5
128	вне его	1	5
129	с помощью	1	5
130	той же	1	5
131	но он	3	5
132	роман не	1	5
133	уже в	4	5
134	хотя и	1	5
135	этом отношении	1	5
136	не с	1	5
137	и сам	1	5
138	до сих	1	4
139	в другой	1	4
140	в виду	4	4
141	для всех	1	4
142	отношения к	2	4
143	его на	2	4
144	что он	4	4
145	влияния на	1	4
146	ли он	1	4
147	так же	4	4
148	на первый	2	4
149	и образ	1	4
150	входя в	1	4
151	в речах	1	4
152	все свои	1	4
153	и уже	3	4
154	в чем	3	4
155	свою очередь	1	4
156	и во	3	4
157	в известной	1	4
158	и речи	1	4
159	однако в	1	4
160	но это	2	4
161	из них	2	4
162	того что	1	4
163	том же	2	4
164	о романе	2	4
165	момент его	1	4
166	о себе	3	4
167	как раз	2	4
168	в литературе	1	4
169	это слово	1	4
170	и как	3	4
171	же как	2	4
172	так в	2	4
173	следовательно и	1	4
174	в условиях	1	4
175	сих пор	1	4
176	выражение в	1	4
177	но как	2	4
178	первый план	1	4
179	эти слова	3	4
180	в частности	1	4
181	одним словом	1	4
182	одно и	1	4
183	из него	1	4
184	и о	3	4
185	не всегда	1	4
186	из этого	1	4
187	и ее	2	4
188	все что	1	3
189	еще раз	1	3
190	его с	2	3
191	от нас	1	3
192	в форме	1	3
193	от этой	1	3
194	и то	2	3
195	нас в	1	3
196	в связи	3	3
197	куда вы	1	3
198	в духе	1	3
199	тем что	3	3
200	в составе	1	3
201	этого типа	1	3
202	автора к	1	3
203	правда не	1	3
