N	2gram	Losev_Dial	FransuaR
1	и в	34	367
2	то есть	1	209
3	в этом	14	112
4	и не	50	101
5	таким образом	14	100
6	и его	8	99
7	в его	6	98
8	прежде всего	20	92
9	не только	35	87
10	мы уже	6	85
11	но и	14	84
12	как бы	19	82
13	все эти	4	79
14	вовсе не	18	77
15	в романе	1	77
16	как и	14	76
17	в нем	7	75
18	но в	3	75
19	и на	6	72
20	в том	17	71
21	как мы	4	71
22	то же	9	66
23	и все	17	66
24	в них	6	65
25	в этой	3	65
26	так и	11	65
27	и с	10	64
28	в сущности	10	64
29	в то	9	63
30	во время	1	63
31	во всех	2	62
32	все это	13	62
33	же время	5	55
34	что в	12	52
35	в своем	7	51
36	только в	10	48
37	так как	12	46
38	том что	18	45
39	то что	25	41
40	здесь в	1	41
41	у него	2	40
42	жизни и	8	40
43	в самом	9	38
44	точки зрения	43	37
45	в ней	4	37
46	с его	7	36
47	о том	11	35
48	он был	1	35
49	может быть	30	35
50	мы видим	4	35
51	сказать что	7	34
52	и даже	21	34
53	в себе	8	34
54	тела в	2	32
55	в конце	2	32
56	он не	8	32
57	для него	4	32
58	в своей	4	31
59	нового времени	2	31
60	так же	7	30
61	но он	3	30
62	потому что	21	30
63	той же	6	30
64	и потому	6	30
65	никогда не	9	30
66	тела и	3	30
67	в духе	1	29
68	в одном	3	29
69	еще не	7	29
70	связи с	3	29
71	в этих	3	29
72	что он	18	29
73	не может	29	29
74	в особенности	9	29
75	при этом	7	29
76	его в	2	29
77	не в	11	29
78	и к	5	28
79	из них	4	28
80	всех этих	3	28
81	также и	6	28
82	в основе	6	28
83	сих пор	1	27
84	до сих	1	27
85	все же	4	27
86	на части	2	27
87	по своему	2	27
88	и их	1	27
89	кроме того	8	26
90	в условиях	2	26
91	все они	1	26
92	на самом	2	25
93	но это	10	25
94	мира и	3	25
95	он и	3	24
96	но не	3	24
97	например в	3	24
98	в ее	5	24
99	и у	3	24
100	и от	4	24
101	как в	2	24
102	того чтобы	1	24
103	в частности	3	24
104	отношение к	1	24
105	и здесь	3	23
106	с ним	3	23
107	и для	5	23
108	в их	2	23
109	есть и	14	23
110	к нему	4	23
111	это не	13	23
