N	4gram	Losev_Prob	Mirosoze
1	в то время как	2	4
2	не что иное как	5	4
3	одной и той же	1	3
4	в записках из подполья	1	3
5	так же как и	1	3
6	есть не что иное	5	3
7	о том что в	1	2
8	мы имеем в виду	1	1
9	только одной впрочем моей	1	1
10	и в самом деле	1	1
11	в том случае если	1	1
12	впрочем моей стороны моих	1	1
13	воплощение меня самого только	1	1
14	стороны моих мыслей и	1	1
15	и должно быть в	1	1
16	и чувств только самых	1	1
17	только самых гадких и	1	1
18	не сам по себе	1	1
19	и во многих других	1	1
20	значит ли это что	1	1
21	моей стороны моих мыслей	1	1
22	можно ли сказать что	3	1
23	указывает на то что	3	1
24	одной впрочем моей стороны	1	1
25	и не может быть	1	1
26	не может не быть	1	1
27	чувств только самых гадких	1	1
28	в обычном смысле слова	1	1
29	может быть совсем не	1	1
30	а может быть и	2	1
31	это не значит что	1	1
32	самого только одной впрочем	1	1
33	есть знак того что	1	1
34	моих мыслей и чувств	1	1
35	настаивать на том что	1	1
36	с тем что в	1	1
37	не может быть никакого	1	1
38	мыслей и чувств только	1	1
39	а в конце концов	1	1
40	он не может быть	1	1
41	самых гадких и глупых	1	1
42	в том что все	1	1
43	когда мы говорим что	2	1
44	меня самого только одной	1	1
45	тем что в нем	1	1
