1	с этой точки зрения	2	3
2	и вместе с тем	3	2
3	но вместе с тем	2	2
4	похожи друг на друга	1	2
5	но тем не менее	1	2
6	ближайшем рассмотрении оказывается что	1	1
7	состоит в том что	1	1
8	точно так же как	2	1
9	один и тот же	1	1
10	бы то ни было	2	1
11	но при ближайшем рассмотрении	1	1
12	во всяком случае не	3	1
13	как бы то ни	2	1
14	вместе с тем и	1	1
15	при ближайшем рассмотрении оказывается	1	1
16	и даже там где	1	1
17	совершенно так же как	1	1
18	а в том что	1	1
19	все что связано с	1	1
20	во всяком случае в	1	1
