N	4gram	Vinokur_Vv	KulturaY
1	и в самом деле	3	10
2	той мере в какой	6	7
3	в той мере в	6	7
4	и тем не менее	3	7
5	до тех пор пока	1	7
6	в то же время	6	6
7	с этой точки зрения	2	5
8	не говоря уже о	1	5
9	состоит в том что	2	4
10	в зависимости от того	1	4
11	было бы сказать что	1	4
12	одного и того же	2	4
13	и т д и	1	4
14	заключается в том что	2	4
15	большей или меньшей степени	1	3
16	говоря уже о том	1	3
17	в большей или меньшей	1	3
18	в том что не	1	3
19	уже само по себе	1	3
20	уже о том что	1	3
21	в том что он	1	3
22	но с другой стороны	1	3
23	точно так же как	1	3
24	в том-то и дело	1	2
25	в том смысле что	1	2
26	том-то и дело что	1	2
27	только после того как	2	2
28	для того чтобы быть	1	2
29	но дело не в	1	2
30	в той или иной	1	2
31	но также и в	2	2
32	широком смысле этого термина	1	2
33	не что иное как	5	2
34	вовсе не в том	1	2
35	одной и той же	2	2
36	языка в отличие от	1	2
37	в собственном смысле слова	1	2
38	только в том чтобы	1	2
39	не только в том	1	2
40	в том чтобы выяснить	1	2
41	трудно видеть что это	1	1
42	если можно говорить о	1	1
43	в силу которых мы	1	1
44	исчерпывающего знания о языке	1	1
45	история литературы история искусств	1	1
46	сказывается и в том	1	1
47	в широком смысле слова	4	1
48	и в этом ее	1	1
49	в каждом данном случае	1	1
50	но в том-то и	1	1
51	язык можно и должно	1	1
52	не сам по себе	1	1
53	одно и то же	2	1
54	в том числе следовательно	1	1
55	на почву культурной истории	1	1
56	заключается вовсе не в	1	1
57	лишь как указание на	1	1
58	можно было бы в	1	1
59	и т д в	2	1
60	дело в том что	3	1
61	собственном смысле этого слова	1	1
62	того чтобы понять что	2	1
63	ответить на этот вопрос	1	1
64	и т д мы	1	1
65	заключается не только в	1	1
66	в том отношении что	3	1
67	уже не только как	1	1
68	так или иначе но	2	1
69	научное языковедение в свое	1	1
70	только потому что он	1	1
71	т е не только	1	1
72	обратить внимание на те	1	1
73	для того чтобы можно	1	1
74	в связи с этим	1	1
75	по отношению к собственно	1	1
76	без особых пояснений понятно	1	1
77	на этот вопрос мы	1	1
78	также и то что	1	1
79	во-вторых с точки зрения	1	1
80	мере в какой они	1	1
81	особых пояснений понятно что	1	1
82	того или иного автора	1	1
83	во всяком случае гораздо	1	1
84	его грамматическую систему и	1	1
85	только в том что	1	1
86	того чтобы можно было	1	1
87	но во всяком случае	1	1
88	то же самое что	2	1
89	хотя бы и не	1	1
90	ответа на этот вопрос	1	1
91	сама по себе не	1	1
92	одном и том же	1	1
93	той или иной степени	1	1
94	не существует потому что	1	1
95	и т д а	2	1
96	можно было бы назвать	1	1
97	для того чтобы определить	1	1
98	в том или ином	2	1
99	в широком смысле этого	2	1
100	мы имеем в виду	1	1
101	в одном и том	1	1
102	и т д словом	1	1
103	том числе следовательно и	1	1
104	только в применении к	2	1
105	а в том чтобы	1	1
106	из того что сказано	1	1
107	не трудно видеть что	5	1
108	в самом деле как	1	1
109	не теряет от этого	1	1
110	бы то ни было	1	1
111	лингвисту во всяком случае	1	1
112	в центр своего внимания	1	1
113	того что сказано было	1	1
114	ответ на этот вопрос	2	1
115	видеть что это есть	1	1
116	что история языка в	1	1
117	достаточно для того чтобы	1	1
118	и не потому что	1	1
119	на язык как на	1	1
120	языка по сравнению с	1	1
121	в тех или иных	1	1
122	и т д все	2	1
123	с прочими областями культуры	1	1
124	т д все это	1	1
125	какой бы то ни	1	1
126	даже и тогда когда	1	1
127	языковедение в свое время	1	1
128	было до сих пор	1	1
129	и в этом отношении	1	1
130	еще и потому что	1	1
131	сводится лишь к тому	1	1
132	и т д но	5	1
133	имеет дело лишь с	1	1
134	для того чтобы понять	3	1
135	есть не что иное	3	1
