N	2gram	Tiupa_Hudo	Myshleni
1	в том	24	195
2	в этом	22	167
3	то что	13	166
4	и в	34	162
5	том что	31	161
6	точки зрения	7	143
7	что в	8	119
8	мышления и	3	117
9	не только	22	116
10	того что	5	109
11	так же	3	100
12	потому что	7	95
13	того чтобы	6	91
14	может быть	12	89
15	с точки	5	89
16	что он	14	86
17	не может	10	81
18	как и	16	79
19	для того	3	78
20	так как	2	78
21	и не	15	78
22	только в	8	75
23	в целом	2	74
24	как мы	5	72
25	но и	13	70
26	заключается в	1	67
27	в его	17	67
28	сказать что	3	65
29	как бы	11	64
30	вместе с	2	62
31	представляет собой	1	60
32	и что	3	60
33	было бы	8	60
34	в качестве	13	60
35	то же	14	58
36	в основе	3	58
37	мышления в	1	56
38	в отношении	1	55
39	между собой	1	53
40	в силу	2	53
41	что мы	1	53
42	в самом	7	52
43	в сущности	2	51
44	мы должны	1	50
45	к тому	11	49
46	ребенка в	1	49
47	что они	4	48
48	тем что	6	48
49	понятий и	1	47
50	на основе	2	47
51	мы не	2	47
52	если бы	7	46
53	по отношению	15	45
54	но не	7	45
55	с другой	4	45
56	в мышлении	1	44
57	с тем	1	43
58	же как	4	43
59	тем самым	2	43
60	тому что	8	42
61	как это	8	42
62	отношению к	15	42
63	в ходе	4	41
64	не является	1	41
65	о том	21	40
66	по своей	5	40
67	одной стороны	4	40
68	никогда не	8	39
69	с одной	4	39
70	так и	19	39
71	в области	1	38
72	и к	6	37
73	вопрос о	2	37
74	не в	16	37
75	в этой	11	37
76	с самого	1	36
77	в своем	9	36
78	все эти	4	36
79	самого начала	1	36
80	как в	11	36
81	а не	23	36
82	и его	8	36
83	с другом	1	35
84	можно было	6	35
85	в себе	19	35
86	в которой	2	35
87	и т.д	3	35
88	друг с	1	35
89	он не	8	35
90	для себя	9	35
91	связи с	4	34
92	во внутренней	1	34
93	и как	1	34
94	приводит к	5	34
95	прежде всего	12	33
96	при этом	21	33
97	по себе	3	33
98	мысли к	1	33
99	именно в	9	32
100	и на	6	32
101	той же	3	32
102	что оно	1	32
103	нас к	2	32
104	по своему	3	32
105	же самое	4	32
106	что и	3	32
107	и тем	2	32
108	но в	6	32
109	слова и	1	32
110	все же	5	31
111	и то	2	31
112	мысли и	2	30
113	на то	4	30
114	этом отношении	4	30
115	между тем	14	29
116	как известно	1	29
117	могут быть	1	29
118	от того	1	29
119	с этим	3	28
120	самом деле	6	28
121	к слову	1	28
122	только что	4	27
123	с этой	3	27
124	в результате	2	27
125	другой стороны	1	27
126	этом случае	1	27
127	в то	12	27
128	и с	10	27
129	в своей	15	27
130	что все	3	27
131	перед нами	13	27
132	в их	2	26
133	нашего исследования	1	26
134	что это	2	26
135	для него	15	26
136	мысли в	2	26
137	в частности	10	26
138	в чем	1	25
139	что она	10	25
140	еще не	10	25
141	уже в	2	25
142	все это	2	25
143	можно сказать	9	25
144	только не	3	25
145	мы уже	7	25
146	это не	12	25
147	в смысле	1	24
148	мы знаем	4	24
149	тот же	1	24
150	в сфере	2	24
151	того как	1	24
152	в какой	1	24
153	мы пытались	1	24
154	так что	3	24
155	что эта	1	24
156	в нем	5	24
157	в слове	1	24
158	как уже	3	24
159	в высшей	1	24
160	друг друга	5	23
161	состоит в	8	23
162	бы в	2	23
163	ни в	5	23
164	как он	4	23
165	слова в	2	23
166	во всяком	1	22
167	не могут	1	22
168	к объекту	1	22
169	столь же	6	22
170	в известном	1	22
171	отношения между	2	22
172	высшей степени	2	22
173	между ними	2	21
174	к этому	1	21
175	и ее	3	21
176	с таким	1	21
177	в нашем	2	21
178	его в	5	21
179	все время	2	21
180	там где	2	21
181	и все	10	21
182	не имеет	2	21
183	и более	2	21
