N	4gram	Ircho_Kome	Mirosoze
1	и там и здесь	3	6
2	в то время как	3	4
3	ни в чем не	2	2
4	вместе с тем он	1	2
5	той мере в какой	1	1
6	мы имеем в виду	2	1
7	и в самом деле	7	1
8	с утра до вечера	1	1
9	о чем они будут	1	1
10	он не похож на	1	1
11	отрезает себе путь к	1	1
12	сомневаться в том что	1	1
13	в то же время	11	1
14	но подобно тому как	1	1
15	от одного к другому	1	1
16	к которой мы еще	1	1
17	в той мере в	1	1
18	с одной стороны он	1	1
19	в тех случаях когда	1	1
20	которой мы еще вернемся	1	1
21	до сих пор не	2	1
