N	3gram	Nazirov_Vr	PoTuStor
1	с точки зрения	2	6
2	до сих пор	1	3
3	не может быть	2	3
4	по крайней мере	1	3
5	в этом смысле	1	3
6	во всяком случае	1	3
7	так же как	1	2
8	о том что	1	2
9	и в этом	1	2
10	все же в	1	1
11	что в этой	1	1
12	во время сна	1	1
13	в том что	2	1
14	в нашей статье	1	1
15	но мы знаем	1	1
16	в этот момент	2	1
17	шаг за шагом	1	1
18	в высшей степени	1	1
19	на первый взгляд	1	1
20	его отношение к	1	1
21	в каком направлении	1	1
22	говорить об их	1	1
23	и что он	1	1
24	не лучше ли	1	1
25	а с другой	1	1
26	на первый план	1	1
27	то что я	1	1
28	в этом отношении	1	1
29	связи с этим	1	1
30	это и есть	1	1
31	в году в	2	1
32	в связи с	3	1
