N	2gram	Losev_Vesc	Stilisti
1	и в	44	42
2	как бы	19	30
3	не только	48	28
4	прежде всего	17	22
5	хотя бы	9	18
6	то же	12	16
7	но и	19	16
8	и не	57	14
9	может быть	37	13
10	не может	44	13
11	как и	15	12
12	что мы	17	11
13	мы уже	3	11
14	точки зрения	10	11
15	в этом	17	10
16	в себе	23	10
17	и как	12	10
18	мы должны	5	10
19	как мы	6	10
20	отнюдь не	8	10
21	мы не	8	9
22	при этом	1	9
23	все же	18	9
24	язык и	1	9
25	то что	47	9
26	для того	3	9
27	в то	11	9
28	таким образом	16	8
29	так как	17	8
30	с тем	8	8
31	и это	17	8
32	в ней	14	8
33	тем самым	2	8
34	что же	17	8
35	с его	2	8
36	ничего не	12	8
37	и на	2	7
38	так и	4	7
39	слов и	1	7
40	мы можем	4	7
41	только в	23	7
42	в которой	5	7
43	зависимости от	1	7
44	и его	4	7
45	потому что	25	7
46	того чтобы	4	7
47	другими словами	9	7
48	и тем	7	7
49	же время	4	7
50	было бы	24	7
51	той же	2	7
52	и от	4	7
53	в зависимости	1	7
54	а не	34	7
55	никогда не	5	7
56	во всех	5	6
57	в его	5	6
58	не в	14	6
59	в нем	6	6
60	в конце	3	6
61	но ведь	2	6
62	и так	2	6
63	бы в	9	6
64	в свою	5	6
65	одно и	6	6
66	или как	3	6
67	когда мы	6	6
68	в этой	4	6
69	слова в	2	6
70	мы будем	3	6
71	или иной	1	6
72	в той	6	5
73	в самом	13	5
74	то есть	2	5
75	уже в	2	5
76	и их	11	5
77	с точки	6	5
78	не является	3	5
79	в живом	1	5
80	все время	1	5
81	самом деле	7	5
82	но все	3	5
83	и с	11	5
84	но в	8	5
85	тому что	2	5
86	вместе с	4	5
87	того или	1	5
88	а с	3	5
89	мы увидим	1	5
90	и следовательно	20	5
91	слова и	7	5
92	как это	4	5
93	и является	1	5
94	а в	6	5
95	же самое	1	5
96	в сознании	1	5
97	и то	14	5
98	же мы	2	5
99	независимо от	5	5
100	и наконец	1	5
101	мы видели	3	5
102	одной и	1	4
103	и к	1	4
104	мы видим	5	4
105	один из	5	4
106	общения в	1	4
107	всех своих	1	4
108	что это	18	4
109	на него	3	4
110	что такое	20	4
111	все это	7	4
112	в качестве	4	4
113	или иную	3	4
114	в одном	6	4
115	его в	8	4
116	если бы	8	4
117	и все	6	4
118	с самого	1	4
119	в слове	2	4
120	у нас	9	4
121	да и	5	4
122	как только	6	4
123	уже не	15	4
124	к тому	3	4
125	о том	11	4
126	и без	4	4
127	вопроса о	3	4
128	той или	3	4
129	к данной	3	4
130	можно сказать	8	4
131	если мы	12	4
132	и пр	10	4
133	было в	3	4
134	не существует	4	4
135	зрения в	1	4
136	ту или	3	4
137	общения и	2	4
138	не что	12	4
139	можно было	6	4
140	свою очередь	5	4
141	или иное	1	4
142	на это	5	4
143	так же	4	4
144	лишь в	1	4
145	в целом	3	4
146	не забудем	1	4
147	себя в	11	4
148	в данной	2	4
149	тем же	2	4
150	не знаем	2	4
151	что именно	4	4
152	тех или	6	4
153	точка зрения	5	4
154	не просто	23	4
155	то или	5	4
156	которой мы	1	4
157	того что	16	4
158	не к	3	4
159	что было	1	3
160	внутренней жизни	1	3
161	представить себе	1	3
162	не так	2	3
163	этом случае	1	3
164	ответ на	1	3
165	видели что	3	3
166	социальной жизни	1	3
167	что оно	10	3
168	и здесь	5	3
169	та же	1	3
170	что у	5	3
171	зрения на	1	3
172	что эти	2	3
173	как таковой	1	3
174	совершенно не	11	3
175	если он	3	3
176	для нас	2	3
177	и вот	4	3
178	в том	15	3
179	или иных	2	3
180	отношения к	3	3
181	теперь в	1	3
182	несмотря на	6	3
183	для него	8	3
184	хотя и	5	3
185	в разных	6	3
186	ни на	7	3
187	внутренней и	1	3
188	в ее	8	3
189	и внешней	1	3
190	из которых	3	3
191	расстояние между	1	3
192	мы в	1	3
193	в социальной	1	3
194	то мы	3	3
195	на самом	1	3
196	и уже	2	3
197	что и	11	3
198	в виду	2	3
199	быть может	3	3
200	между ними	6	3
201	и само	3	3
202	но что	9	3
203	только он	1	3
204	связи с	1	3
205	и даже	12	3
206	здесь мы	1	3
207	в основе	4	3
208	сознания не	1	3
209	содержание и	1	3
210	допустим что	3	3
211	но для	2	3
212	и тому	1	3
213	может стать	1	3
214	все эти	5	3
215	как в	3	3
216	должно было	1	3
217	том что	13	3
218	бы мы	1	3
219	об этом	5	3
220	конце концов	2	3
221	общении в	1	3
222	перед нами	3	3
223	еще не	12	3
224	до того	1	3
225	только благодаря	1	3
226	его и	4	3
227	то он	2	3
228	нуждается в	2	3
229	выражение в	3	3
230	в котором	4	3
231	свое выражение	3	3
232	что всякое	1	3
233	если не	3	3
234	в частности	3	3
235	только на	3	3
236	не с	8	3
237	связь между	1	3
238	в начале	1	3
239	конечно не	2	3
240	от того	7	3
241	их в	6	3
242	нет и	4	3
243	не будет	13	3
244	сказать что	21	3
245	главным образом	3	3
246	будем говорить	1	3
247	необходимо чтобы	7	3
248	жизни и	6	3
249	слово и	4	3
250	этого слова	1	3
251	и эта	4	3
252	к той	1	3
