N	2gram	Savitsky_E	Retstnzi
1	не может	9	4
2	и в	37	3
3	если в	2	2
4	в центре	1	2
5	один из	1	2
6	несмотря на	4	1
7	может быть	6	1
8	не только	18	1
9	точки зрения	23	1
10	с точки	17	1
11	может не	1	1
12	для него	1	1
13	с теми	1	1
14	в ней	4	1
15	тех же	1	1
16	права и	1	1
17	связи с	1	1
18	не из	3	1
19	бы на	1	1
20	на месте	2	1
21	с другими	2	1
22	если бы	2	1
23	на примере	1	1
24	в его	2	1
25	не менее	1	1
26	именно с	1	1
27	но и	14	1
28	мы видим	2	1
29	к тому	8	1
30	во второй	3	1
31	можно назвать	1	1
32	тому что	1	1
33	и можно	2	1
34	в то	16	1
35	он в	1	1
36	же время	14	1
37	то же	15	1
38	по своим	3	1
39	а не	2	1
40	бы в	2	1
41	и не	14	1
42	и все	2	1
43	и на	6	1
44	вполне понятно	1	1
