N	2gram	Propp_Russ	VeschiIm
1	т е	41	81
2	и не	6	57
3	не только	28	48
4	то что	10	48
5	не может	6	46
6	и в	59	45
7	и есть	1	40
8	и т	13	39
9	может быть	14	39
10	т д	12	38
11	а не	3	37
12	значит что	2	32
13	что я	1	26
14	потому что	15	25
15	не просто	3	24
16	было бы	3	24
17	только в	4	23
18	что она	4	23
19	в себе	1	23
20	сказать что	1	22
21	и что	8	22
22	как бы	18	20
23	и следовательно	2	20
24	что это	4	19
25	с нею	1	19
26	но и	20	19
27	и ее	3	19
28	в этом	18	18
29	все же	7	18
30	так как	25	17
31	что мы	1	17
32	прежде всего	2	17
33	и это	2	17
34	таким образом	10	16
35	того что	6	16
36	как раз	1	16
37	как и	19	15
38	уже не	9	15
39	в том	33	15
40	в ней	3	15
41	но это	5	14
42	и то	2	14
43	не в	2	14
44	не будет	1	13
45	том что	33	13
46	есть и	2	13
47	и для	3	13
48	а и	7	13
49	это и	1	13
50	что в	35	12
51	и с	12	12
52	то же	6	12
53	и даже	1	12
54	о том	14	12
55	еще не	7	12
56	не что	3	12
57	точки зрения	3	12
58	но если	2	12
59	ничего не	4	12
60	что они	8	12
61	что иное	3	12
62	не значит	2	12
63	что и	8	12
64	и как	2	12
65	смысл и	1	12
66	иное как	3	12
67	и их	4	11
68	не менее	3	11
69	д и	1	11
70	и пр	4	11
71	еще и	1	11
72	тем не	3	11
73	ни в	1	11
74	что не	1	11
75	также и	1	11
76	в то	3	11
77	в чем	1	10
78	с ним	2	9
79	то и	4	9
80	говорить о	2	9
81	в своем	3	9
82	ни с	1	9
83	должно быть	2	9
84	это не	14	9
85	у нас	11	9
86	но что	2	9
87	она не	4	9
88	так что	4	9
89	но не	7	9
90	на то	2	9
91	и его	2	9
92	должна быть	1	8
93	если бы	1	8
94	смысла и	1	8
95	с тем	14	8
96	что он	2	8
97	себя и	2	8
98	в свете	5	8
99	но в	5	8
100	мы не	11	8
101	что значит	1	8
102	мы имеем	7	8
103	для него	1	8
104	все это	12	8
105	с другими	3	8
106	его в	9	8
107	и потому	3	8
108	не с	5	8
109	даже не	1	8
110	с другой	1	8
111	можно сказать	1	8
112	что есть	2	8
113	отнюдь не	3	8
114	с этой	2	7
115	оно не	2	7
116	самом деле	1	7
117	все эти	5	7
118	тем что	7	7
119	относится к	1	7
120	не потому	1	7
121	без всякого	1	7
122	никак не	1	7
123	или не	2	7
124	вообще не	1	7
125	и тем	1	7
126	е в	17	7
127	от того	1	7
128	а в	16	7
129	из них	12	7
130	необходимо чтобы	1	7
131	в той	1	6
132	с полной	1	6
133	для себя	1	6
134	в разных	3	6
135	их в	7	6
136	в своей	1	6
137	в данном	7	6
138	из себя	1	6
139	в одном	4	6
140	и до	3	6
141	как только	2	6
142	одна из	12	6
143	ее не	1	6
144	вопрос о	4	6
145	на почве	1	6
146	несмотря на	4	6
147	с точки	3	6
148	дело в	1	6
149	между ними	1	6
150	в нем	3	6
151	и вообще	1	6
152	должны быть	1	6
153	можно было	3	6
154	этот вопрос	4	6
155	когда мы	2	6
156	как мы	11	6
157	жизни и	1	6
158	независимо от	3	6
159	и все	4	6
160	никогда не	1	6
161	все что	2	5
162	как это	11	5
163	один из	10	5
164	и здесь	3	5
165	тогда когда	4	5
166	подобно тому	3	5
167	в жизни	2	5
168	как о	1	5
169	вместе с	16	5
170	себе в	1	5
171	в свою	3	5
