N	4gram	Medvedev_U	Psycholo
1	в том что она	1	7
2	то же самое что	1	4
3	никогда не может быть	1	3
4	в то же время	3	3
5	в точном смысле этого	1	2
6	бы то ни было	3	2
7	не в том что	1	2
8	идет не о методах	1	1
9	литературы а о принципах	1	1
10	о методах изучения литературы	1	1
11	том что она должна	1	1
12	с другой стороны в	1	1
13	если бы это было	1	1
14	не о методах изучения	1	1
15	не было бы ни	1	1
16	и в конце концов	1	1
17	таким образом художественное произведение	1	1
18	методах изучения литературы а	1	1
19	в искусстве нет содержания	2	1
20	изучения литературы а о	1	1
21	которое мы получаем от	1	1
22	о принципах построения литературной	1	1
23	принципах построения литературной науки	1	1
24	вопрос идет не о	1	1
25	это то же самое	1	1
26	а между тем в	1	1
27	больше чем то что	1	1
28	не все и не	1	1
29	а о принципах построения	1	1
