N	4gram	Berdyaev_M	Dialekti
1	не что иное как	4	18
2	есть не что иное	3	11
3	одна и та же	2	8
4	в то время как	2	8
5	одной и той же	2	5
6	это не значит что	1	4
7	в том смысле что	1	4
8	ни на что не	1	4
9	не сама по себе	1	3
10	не потому что она	1	3
11	и есть то что	1	3
12	есть та или иная	1	2
13	когда мы говорим что	1	2
14	ни в чем не	2	2
15	и по сравнению с	1	2
16	так же как и	1	2
17	никогда не может быть	2	1
18	не было бы и	1	1
19	ну и что же	1	1
20	только потому и возможно	1	1
21	и есть не что	1	1
22	все более и более	1	1
23	сомневаться в том что	1	1
24	о том что все	1	1
25	друг к другу как	1	1
26	но это не значит	1	1
27	и вместе с тем	4	1
28	в него как в	1	1
29	это – один из	1	1
30	в которой не только	1	1
31	быть выражена и выявлена	1	1
32	мы имеем в виду	1	1
33	и в этой тьме	1	1
34	но для этого необходимо	1	1
35	и вот оказывается что	1	1
36	до сих пор не	1	1
37	потому и возможно что	1	1
38	в том случае если	1	1
39	по образу и подобию	1	1
40	можно ли сказать что	1	1
41	и не может быть	1	1
42	в них нет ничего	1	1
43	и не могли быть	1	1
44	ни с чем не	1	1
45	это и есть настоящее	1	1
46	лежит и в основе	1	1
47	о том что в	1	1
48	и никто не может	1	1
49	в том что он	1	1
50	он не может быть	1	1
51	не может уже быть	1	1
52	жизни и в нем	1	1
