N	3gram	Medvedev_V	UchenyiS
1	в конечном счете	5	4
2	не может быть	8	4
3	с другой стороны	8	3
4	в этой области	3	3
5	в то же	5	3
6	то же время	5	3
7	в художественном произведении	4	2
8	в том что	5	2
9	в противном случае	2	2
10	в самом деле	1	2
11	не могут быть	4	2
12	до сих пор	2	2
13	хотя бы и	5	2
14	тех или иных	1	2
15	а между тем	1	2
16	в конце концов	2	2
17	то же самое	1	2
18	в этом отношении	14	2
19	в художественном творчестве	5	2
20	но даже и	1	2
21	по крайней мере	2	2
22	в этом смысле	1	2
23	в процессе художественного	3	1
24	говорить не о	2	1
25	процессе художественного творчества	3	1
26	имеем в виду	1	1
27	не может обойтись	1	1
28	что для него	1	1
29	свойственна не только	1	1
30	данного произведения в	1	1
31	так или иначе	1	1
32	содержания и формы	1	1
33	сводится именно к	1	1
34	по меньшей мере	1	1
35	то о чем	1	1
36	другой стороны в	1	1
37	и в их	1	1
38	в известном письме	1	1
39	но в то	1	1
40	может быть в	1	1
41	никогда не может	1	1
42	но по существу	1	1
43	лирических стихотворений и	1	1
44	художественное творчество и	1	1
45	большей или меньшей	3	1
46	с одной стороны	2	1
47	что все они	1	1
48	но не могут	1	1
49	в ней не	1	1
50	в сфере искусства	1	1
51	можно сказать что	4	1
52	равно как и	4	1
53	не случайно и	1	1
54	в значительной мере	3	1
55	не было бы	4	1
56	приходится признать что	1	1
57	достоевского и толстого	1	1
58	произведения как целого	3	1
59	или меньшей степени	2	1
60	не в том	2	1
61	в этом плане	1	1
62	а не только	1	1
63	только в этом	1	1
64	на то что	1	1
65	по его собственному	1	1
66	не только в	2	1
67	более или менее	6	1
68	и в то	3	1
69	в данном случае	1	1
70	этом отношении очень	1	1
71	л толстого и	1	1
72	на предыдущих страницах	1	1
73	в точном смысле	2	1
74	в этом случае	1	1
75	словесного художественного творчества	1	1
76	в большей или	2	1
77	все же не	1	1
78	в течение многих	1	1
79	в словесном творчестве	1	1
80	мы полагаем что	1	1
81	наивно полагая что	1	1
