N	3gram	Voloshinov	Otkroven
1	для того чтобы	1	3
2	в нем нет	2	3
3	не могут быть	2	2
4	он прежде всего	1	2
5	не может быть	3	2
6	и в этом	2	2
7	человека и все	1	1
8	ним может быть	1	1
9	о том что	2	1
10	вовлекающее в свой	1	1
11	в том что	1	1
12	все что есть	1	1
13	друг с другом	1	1
14	а иногда и	1	1
15	в самом деле	2	1
16	во всяком случае	3	1
17	новой науки о	1	1
18	и прежде всего	1	1
19	в этом отношении	1	1
20	и есть та	1	1
21	и в этот	1	1
22	по сравнению с	3	1
23	у него из	1	1
24	нужно отметить что	1	1
