N	3gram	Nazirov_Tr	Literetu
1	в том что	2	21
2	в то же	5	21
3	то же время	5	21
4	не может быть	1	11
5	в данном случае	2	11
6	в отличие от	2	11
7	о том что	2	10
8	тем не менее	1	5
9	еще в году	1	5
10	в связи с	1	5
11	но при этом	1	4
12	и то что	1	4
13	и т п	1	3
14	в самом деле	1	3
15	в одном из	1	3
16	во всяком случае	1	3
17	и в частности	2	3
18	в xix веке	1	2
19	в разговоре с	1	2
20	и вместе с	1	2
21	не только не	1	2
22	к тому что	1	2
23	в этой связи	1	2
24	за то что	1	2
25	и в самом	2	2
26	в виду не	1	2
27	от всего что	1	2
28	в стихах и	1	2
29	в этом случае	1	2
30	уже в году	1	2
31	в жизнь и	1	1
32	и даже отчасти	1	1
33	что он не	1	1
34	между отцом и	1	1
35	это как бы	1	1
36	это должно быть	1	1
37	что в ней	1	1
38	одно из самых	1	1
39	чем он сам	1	1
40	хотя бы и	1	1
41	вместе с ними	1	1
42	может быть не	1	1
43	в конце концов	1	1
44	это уже было	1	1
45	в высшей степени	1	1
46	больше в нем	1	1
47	но все же	2	1
48	что он с	1	1
49	не в силах	2	1
50	и в этом	1	1
51	xx века в	1	1
52	в какой-то мере	1	1
53	не только по	1	1
54	после того как	1	1
55	в году и	1	1
56	же время он	1	1
57	прежде всего отметим	1	1
58	с того что	1	1
59	может быть в	1	1
60	всего отметим что	1	1
61	одном из своих	1	1
62	но в то	2	1
63	мысль о том	1	1
64	не за себя	1	1
65	с самого начала	1	1
66	том что он	1	1
67	и при этом	1	1
68	у него нет	1	1
69	не могут быть	1	1
70	стихах и прозе	1	1
71	на суде что	1	1
72	и не может	1	1
73	это и есть	1	1
74	по нашему мнению	1	1
75	все же являются	1	1
