N	4gram	Medvedev_V	Vvedenie
1	в то же время	5	6
2	и т д но	1	5
3	с одной стороны и	2	3
4	в том отношении что	2	3
5	но в то же	1	3
6	для того чтобы понять	1	3
7	с этой точки зрения	1	2
8	одно и то же	1	2
9	ответ на этот вопрос	1	2
10	в том или ином	1	2
11	не следует понимать в	1	1
12	только в том что	1	1
13	с теми или иными	1	1
14	одном и том же	2	1
15	в чем же заключается	1	1
16	следует понимать в том	1	1
17	может быть и речи	1	1
18	большей или меньшей степени	2	1
19	в одном и том	1	1
20	но с другой стороны	1	1
21	в том смысле что	1	1
22	но вместе с тем	1	1
23	говоря уже о том	1	1
24	не могут не быть	1	1
25	в большей или меньшей	2	1
26	хотя бы и не	2	1
27	в той или иной	1	1
28	них не было бы	1	1
29	в каждой из этих	1	1
30	не может быть и	1	1
31	уже о том что	1	1
32	теснейшим образом связана с	1	1
33	не говоря уже о	1	1
34	мы имеем дело с	1	1
35	понимать в том смысле	1	1
36	на то или иное	1	1
