N	2gram	Propp_Isto	Tragedij
1	и в	44	18
2	в этом	20	9
3	не только	17	8
4	и на	11	7
5	и не	19	7
6	может быть	31	7
7	и с	8	7
8	как бы	4	7
9	он сам	1	7
10	что он	29	6
11	у него	7	6
12	же время	1	6
13	в образе	16	6
14	но в	7	6
15	и его	15	6
16	это не	8	5
17	несмотря на	3	5
18	что это	8	5
19	так и	9	5
20	к жизни	1	5
21	все же	17	5
22	в дальнейшем	6	5
23	то же	9	5
24	как и	12	5
25	не может	10	5
26	в то	5	5
27	а я	1	5
28	что в	18	4
29	в себе	1	4
30	и даже	4	4
31	он всегда	2	4
32	все это	4	4
33	прежде всего	7	4
34	и все	4	4
35	я не	1	4
36	об этом	6	4
37	еще не	16	4
38	но и	16	4
39	том что	12	4
40	и что	13	4
41	так же	14	4
42	то что	16	4
43	в этой	5	4
44	в нем	10	4
45	но это	10	4
46	в целом	4	4
47	своего рода	1	3
48	и он	9	3
49	что с	2	3
50	один из	6	3
51	в основном	5	3
52	уже в	4	3
53	в его	16	3
54	для него	2	3
55	в своем	3	3
56	с ним	9	3
57	о чем	6	3
58	и сам	2	3
59	что за	2	3
60	в конце	1	3
61	и как	5	3
62	в мире	1	3
63	как в	11	3
64	никто не	4	3
65	своего отца	1	3
66	что образ	2	3
67	при этом	4	3
68	как это	5	3
69	тем самым	2	3
70	мог бы	2	3
71	как будто	2	3
72	отнюдь не	1	3
73	все эти	11	3
74	к нему	5	3
75	в самом	1	2
76	не так	1	2
77	вместе со	1	2
78	и то	5	2
79	и вас	1	2
80	и здесь	12	2
81	со мной	1	2
82	голод и	2	2
83	данном случае	2	2
84	x эта	1	2
85	в том	13	2
86	это уже	2	2
87	с тем	9	2
88	в ее	4	2
89	по мнению	1	2
90	говорит о	4	2
91	как у	2	2
92	даже если	2	2
93	ее за	2	2
94	что и	11	2
95	ни в	2	2
96	но при	2	2
97	в русском	1	2
98	что все	4	2
99	не могут	2	2
100	в виде	13	2
101	его в	17	2
102	этим объясняется	1	2
103	как же	1	2
104	не в	11	2
105	но все	8	2
106	но эта	2	2
107	еще в	2	2
108	в таком	2	2
109	этими двумя	1	2
110	как говорит	3	2
111	вопрос о	5	2
112	вряд ли	1	2
113	состоит из	4	2
114	имеет в	1	2
115	знает что	1	2
116	и это	5	2
117	нет в	2	2
118	во сне	5	2
119	теперь и	1	2
120	под влиянием	2	2
121	уже не	14	2
122	к тому	1	2
123	о том	11	2
124	перед нами	2	2
