N	4gram	Bakhtin_Fr	Sovremen
1	в течение нескольких дней	1	1
2	мы уже знаем что	1	1
3	может быть и речи	1	1
4	ведь это то же	1	1
5	это то же самое	1	1
6	то же самое что	1	1
7	дело в том что	4	1
8	но мы уже знаем	1	1
9	одной и той же	1	1
10	и в то же	3	1
11	с одной стороны и	1	1
12	совершенно так же как	2	1
13	не что иное как	1	1
14	не может быть и	1	1
15	в то же время	14	1
16	одна и та же	1	1
17	необходимо сказать несколько слов	1	1
18	один и тот же	1	1
19	мы видели что это	1	1
20	есть не что иное	1	1
