N	2gram	Medvedev_V	VrazhdaK
1	в году	7	18
2	тургенева и	2	18
3	у тургенева	3	11
4	не только	26	9
5	в этом	29	8
6	и в	26	8
7	и что	1	8
8	достоевский в	1	8
9	что в	11	7
10	достоевского в	1	7
11	достоевского и	2	7
12	и все	1	7
13	но и	10	7
14	то что	7	7
15	года в	1	7
16	о нем	1	6
17	как и	7	6
18	и даже	2	6
19	в романе	4	6
20	все же	6	6
21	в котором	3	6
22	в начале	1	6
23	в нем	7	6
24	но в	2	6
25	то же	10	5
26	у него	6	5
27	и не	20	5
28	между тем	6	5
29	об этом	9	5
30	в письме	16	5
31	не было	7	5
32	же время	5	5
33	в то	6	5
34	тургенев в	1	4
35	это не	7	4
36	несмотря на	1	4
37	с ним	1	4
38	для нас	1	4
39	все это	13	4
40	тургенев не	1	4
41	в виду	4	4
42	отцов и	1	4
43	в своих	2	4
44	что он	4	4
45	и тургенев	1	4
46	письме к	12	4
47	уже в	1	4
48	у достоевского	1	4
49	о том	10	4
50	в дневнике	3	4
51	может быть	23	4
52	в ней	2	4
53	и детей	1	4
54	целый ряд	1	4
55	в истории	1	4
56	как бы	5	4
57	так же	3	4
58	февраля года	1	4
59	что у	3	3
60	в его	15	3
61	в том	15	3
62	марта года	2	3
63	т е	18	3
64	его в	3	3
65	связи с	5	3
66	но он	1	3
67	в связи	4	3
68	и как	3	3
69	далеко не	3	3
70	тем что	1	3
71	речь идет	1	3
72	в чем	2	3
73	и у	2	3
74	в черновиках	1	3
75	человека в	2	3
76	он был	1	3
77	том что	8	3
78	апреля года	2	3
79	он не	2	3
80	в конце	3	3
81	к творчеству	1	3
82	что есть	1	3
83	одним из	5	3
84	в своем	8	3
85	на то	2	3
86	с его	4	3
87	и его	6	3
88	к этому	9	3
89	и во	1	3
90	в той	1	2
91	ноябре года	1	2
92	таким образом	32	2
93	начиная с	2	2
94	об их	1	2
95	и то	1	2
96	ответ на	1	2
97	и он	3	2
98	эти годы	1	2
99	после этого	2	2
100	в ноябре	1	2
101	время и	1	2
102	мы знаем	3	2
103	для него	9	2
104	его и	1	2
105	о чем	2	2
106	как раз	4	2
107	и достоевский	2	2
108	же не	1	2
109	в них	5	2
110	как же	1	2
111	а также	1	2
112	же в	7	2
113	ноября года	1	2
114	в в	1	2
115	их в	7	2
116	же как	2	2
117	в своей	4	2
118	вместе с	8	2
119	письме от	5	2
120	в известном	1	2
121	не менее	2	2
122	и это	1	2
123	к типу	1	2
124	еще не	2	2
125	при создании	3	2
126	он пишет	9	2
127	письмо к	1	2
128	но как	3	2
129	а с	1	2
130	деталей и	1	2
131	это в	1	2
132	в свою	1	2
133	и дети	1	2
134	на основе	5	2
135	отцы и	1	2
136	п в	3	2
137	о достоевском	1	2
138	и образы	3	2
139	личность и	1	2
140	в этой	4	2
141	в нашей	4	2
142	мая года	3	2
143	при помощи	3	2
144	а в	3	2
145	на это	2	2
146	к ним	2	2
147	отношение к	1	2
148	уже не	1	2
149	из них	11	2
150	в себе	6	2
151	с нею	2	2
152	не может	17	2
153	том же	6	2
154	точки зрения	3	2
155	тем более	1	2
156	одна из	4	2
157	году и	1	2
158	он сам	2	2
159	отнюдь не	4	2
160	о романе	1	2
161	но это	1	2
162	во время	4	2
163	в него	1	2
164	и ее	4	2
165	а н	3	2
166	никогда не	5	2
167	жизнь его	1	1
168	в особенности	2	1
169	к сожалению	2	1
170	говорит достоевский	1	1
171	в самом	4	1
172	то в	1	1
173	именно к	1	1
174	так и	6	1
175	что они	3	1
176	романа с	1	1
177	художник как	2	1
178	перед сном	1	1
179	труд и	1	1
180	о творчестве	2	1
181	до сих	2	1
182	сказал что	1	1
183	один из	6	1
184	еще раз	1	1
185	короче говоря	2	1
186	можно говорить	1	1
187	и этот	2	1
188	общественный деятель	1	1
189	этого в	1	1
190	из которых	2	1
191	у гоголя	1	1
192	они не	2	1
193	ни с	2	1
194	только что	4	1
195	не слишком	1	1
196	этот процесс	3	1
197	если в	2	1
198	также что	2	1
199	рассказ о	1	1
200	того как	2	1
201	к этой	1	1
202	и кончая	1	1
203	в основном	7	1
204	об одном	1	1
205	собой в	1	1
206	художественные произведения	1	1
207	еще до	1	1
208	он всегда	1	1
209	не будем	1	1
210	с очень	1	1
211	у чехова	1	1
212	художником и	1	1
213	или по	1	1
214	еще более	1	1
215	творческой фантазии	1	1
216	обычно не	1	1
217	хотя и	2	1
218	в анненкова	1	1
219	романа и	1	1
220	он и	2	1
221	романа в	1	1
222	и из	1	1
223	в ее	4	1
224	целого ряда	2	1
225	только не	2	1
226	того что	3	1
227	говорит о	7	1
228	пяти лет	1	1
229	тургенев писал	2	1
230	н майкову	1	1
231	в качестве	12	1
232	в наброске	3	1
233	него в	3	1
234	не являются	1	1
235	прежде всего	13	1
236	сходятся в	1	1
237	ее и	1	1
238	разобраться в	2	1
239	списан с	1	1
240	своем дневнике	1	1
241	другой стороны	8	1
242	а другие	1	1
243	нет ничего	1	1
244	в этих	1	1
245	но на	1	1
246	за это	1	1
247	так не	1	1
248	в их	5	1
249	о своем	2	1
250	что самые	1	1
251	тому же	1	1
252	ф м	1	1
253	но с	2	1
254	и самые	1	1
255	а между	1	1
256	мертвые души	2	1
257	что ни	2	1
258	в духе	1	1
259	такое понимание	2	1
260	а о	2	1
261	этого не	1	1
262	и сам	2	1
263	он просил	1	1
264	в одном	5	1
265	августа года	1	1
266	их и	4	1
267	равно как	4	1
268	в другую	3	1
269	на свою	1	1
270	его произведений	2	1
271	еще в	1	1
272	о своей	1	1
273	но не	2	1
274	но вот	2	1
275	в ту	1	1
276	но для	2	1
277	если это	1	1
278	именно в	3	1
279	жизни и	3	1
280	общественное положение	1	1
281	то время	1	1
282	в таком	1	1
283	в процессе	17	1
284	только два	1	1
285	в жизни	2	1
286	мы получаем	1	1
287	портретность персонажей	1	1
288	как говорит	5	1
289	но ведь	1	1
290	этого типа	3	1
291	как о	3	1
292	начинается с	2	1
293	я всегда	1	1
294	в соответствии	1	1
295	вряд ли	1	1
296	это время	1	1
297	между прочим	2	1
298	одном из	4	1
299	эту проблему	1	1
300	как в	1	1
301	роль в	4	1
302	от мая	3	1
303	ли не	2	1
304	по своему	1	1
305	еще к	1	1
306	но у	1	1
307	отличается от	2	1
308	да и	2	1
309	связь этого	1	1
310	по его	2	1
311	служит для	1	1
312	в свете	1	1
313	о котором	1	1
314	том как	3	1
315	это было	1	1
316	в итоге	1	1
317	писал п	1	1
318	во сне	21	1
319	не имеет	1	1
320	ничего общего	1	1
321	что пишет	3	1
322	что тот	1	1
323	работы над	5	1
324	сих пор	2	1
325	года и	2	1
326	социальный тип	1	1
327	не был	1	1
328	время сна	1	1
329	для правильного	1	1
330	этому же	1	1
331	жизнь и	1	1
332	писал я	1	1
333	с этим	3	1
334	во всех	7	1
335	во всяком	2	1
336	это и	6	1
337	некоторых его	1	1
338	пробивается к	2	1
339	все основания	1	1
340	известном письме	1	1
341	было в	2	1
342	от ноября	1	1
343	что этот	1	1
344	писал фету	1	1
345	и гончарова	1	1
346	которой он	1	1
347	ли это	2	1
348	к страхову	1	1
349	н ф	2	1
350	это как	1	1
351	писал достоевскому	1	1
352	может идти	1	1
353	десять лет	1	1
354	говорить не	3	1
355	потому что	1	1
356	это то	1	1
357	также и	2	1
358	и речи	1	1
359	сложности и	1	1
360	нельзя не	1	1
361	только об	1	1
362	ряда других	1	1
363	что прототипом	1	1
364	не всегда	2	1
365	впечатлений и	1	1
366	быть и	1	1
367	же говорил	1	1
368	и общим	1	1
369	в частности	12	1
370	июня года	1	1
371	писателя с	1	1
372	целым рядом	1	1
373	не могло	1	1
374	и их	3	1
375	говорить о	2	1
376	не с	2	1
377	что эта	1	1
378	одно и	1	1
379	не об	2	1
380	всех этих	3	1
