N	4gram	Losev_Vesc	Literetu
1	в то же время	4	21
2	с этой точки зрения	3	5
3	бы то ни было	12	4
4	какого бы то ни	2	3
5	с одной стороны и	1	3
6	только в том что	1	2
7	дело в том что	4	2
8	и в самом деле	1	2
9	одно и то же	5	2
10	не что иное как	12	1
11	и тем не менее	5	1
12	вопрос о том как	2	1
13	быть не может и	1	1
14	когда речь идет о	1	1
15	только на то что	1	1
16	и в то же	3	1
17	одного и того же	1	1
18	и вместе с тем	1	1
19	можно было бы представить	1	1
20	не может быть ни	3	1
21	все новые и новые	1	1
22	то в чем он	1	1
23	в том что он	2	1
24	но в то же	1	1
25	какой бы то ни	1	1
26	ту или иную вещь	1	1
27	в данном случае со	1	1
28	не только мне но	1	1
