N	4gram	Tiupa_Teor	slovoVRo
1	в то же время	8	18
2	в той или иной	1	13
3	но в то же	2	7
4	и в то же	2	6
5	с одной стороны и	1	4
6	одно и то же	2	3
7	с этой точки зрения	2	2
8	языка не может быть	1	2
9	и тем и другим	1	2
10	бы они ни были	1	2
11	уходит своими корнями в	1	2
12	мы имеем в виду	3	1
13	в том случае если	1	1
14	в том что она	1	1
15	дело в том что	1	1
16	в том что в	1	1
17	но в отличие от	1	1
18	в связи с этим	1	1
19	сама по себе еще	1	1
20	которые лежат в основе	1	1
21	том что он не	1	1
22	в том числе и	2	1
23	имеем в виду не	3	1
24	в том что он	2	1
25	бы то ни было	2	1
26	в отношении к нему	1	1
27	оттесняет на задний план	1	1
