N	4gram	Bakhtin_Pr	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	2	3
3	и по отношению к	1	3
4	но тем не менее	1	2
5	все зависит от того	1	1
6	деле это не так	1	1
7	не может быть понято	1	1
8	развитие этой точки зрения	1	1
9	в самом деле в	1	1
10	какой бы то ни	1	1
11	но в то же	5	1
12	ничего друг о друге	1	1
13	к нему как к	1	1
14	но все же не	1	1
15	от того кто является	1	1
16	и в этом смысле	2	1
17	от того в каком	1	1
18	в зависимости от того	1	1
19	позицию по отношению к	2	1
20	о друге не знают	1	1
21	самом деле это не	1	1
22	так же как и	3	1
23	в то время как	2	1
24	мы имеем в виду	2	1
25	на самом деле это	1	1
26	по отношению к герою	4	1
27	еще раз подчеркнуть что	1	1
28	бы оно ни было	1	1
29	те идеологические оценки которые	1	1
30	автора по отношению к	3	1
31	по отношению к ним	1	1
32	в этом смысле она	1	1
33	по отношению к автору	1	1
34	и не может быть	1	1
35	то же время не	3	1
36	в то же время	10	1
37	искусства и в частности	1	1
38	но несмотря на это	1	1
39	друг о друге не	1	1
