N	3gram	Medvedev_V	Stilisti
1	в то же	5	9
2	для того чтобы	3	7
3	в зависимости от	5	7
4	то же время	5	7
5	того или иного	1	5
6	одно и то	1	5
7	и то же	1	5
8	в свою очередь	1	4
9	той или иной	1	4
10	то или иное	1	4
11	заключает в себе	1	4
12	ту или иную	1	4
13	то же самое	1	4
14	но и в	1	3
15	в конце концов	2	3
16	тех или иных	1	3
17	не только в	2	3
18	в этом случае	1	3
19	но все же	1	3
20	мы видели что	3	2
21	в самом деле	1	2
22	все то что	1	2
23	чуть ли не	2	2
24	художественное творчество и	1	2
25	вместе с тем	4	2
26	и том же	2	2
27	мы видим что	1	2
28	не может быть	8	2
29	по отношению к	7	2
30	и ту же	1	2
31	о том что	3	2
32	в действительной жизни	1	2
33	можно сказать что	4	2
34	не было бы	4	2
35	одном и том	2	2
36	что перед нами	1	2
37	но в то	1	2
38	и в то	3	2
39	равно как и	4	2
40	в точном смысле	2	2
41	в связи с	4	2
42	к тому что	4	2
43	в этом отношении	14	2
44	одну и ту	1	2
45	тот или иной	1	2
46	в плоть и	1	1
47	так и от	2	1
48	в том что	5	1
49	деятельности человека и	2	1
50	в одном из	4	1
51	тех явлений которые	1	1
52	вот что говорит	3	1
53	которое не было	1	1
54	все эти высказывания	1	1
55	которых он может	1	1
56	но вместе с	1	1
57	наличие не только	1	1
58	в конечном счете	5	1
59	него когда он	1	1
60	или иная оценка	1	1
61	все же и	1	1
62	по крайней мере	2	1
63	плоть и кровь	1	1
64	из которых он	1	1
65	одним из главнейших	1	1
66	наконец и это	1	1
67	ни в какой	1	1
68	в другом месте	2	1
69	об одном и	1	1
70	хотя бы и	5	1
71	на то или	1	1
72	и во всех	1	1
73	о муках слова	1	1
74	только в том	2	1
75	художественного творчества и	1	1
76	и тем более	1	1
77	и наконец в-третьих	1	1
78	в одном и	1	1
79	зависит как от	1	1
80	более или менее	6	1
81	по сравнению с	1	1
82	что так называемые	2	1
83	таким образом в	2	1
84	но даже и	1	1
85	на этот вопрос	1	1
86	по своему личному	1	1
87	не говоря уже	1	1
88	говорить не о	2	1
89	наше сознание как	1	1
90	до сих пор	2	1
91	всего бросается в	1	1
92	то о чем	1	1
93	которое обычно называется	1	1
94	иметь в виду	2	1
95	то все же	1	1
96	бросается в глаза	1	1
97	оно является только	1	1
98	между этими двумя	1	1
99	что оно является	1	1
100	даже и в	1	1
101	и никогда не	2	1
102	может обойтись без	1	1
103	и по отношению	1	1
104	не только не	2	1
105	хотя бы в	3	1
106	человека таким образом	1	1
107	и слова не	1	1
108	не может обойтись	1	1
109	не может не	2	1
110	в каком направлении	1	1
111	та или иная	3	1
112	сводится в основном	1	1
113	с другой стороны	8	1
114	из которых каждая	1	1
115	в классовом сознании	1	1
116	вопрос о том	1	1
117	только тогда когда	1	1
118	в виду что	1	1
119	нет и не	1	1
120	можно было бы	2	1
121	в последнем счете	1	1
122	теми или иными	1	1
123	и не может	2	1
124	лежит в основе	1	1
