N	4gram	Losev_Prob	VLabPisa
1	и в то же	1	3
2	в том числе и	2	2
3	в точном смысле слова	1	2
4	с одной стороны и	2	2
5	уже по одному тому	1	2
6	по одному тому что	1	2
7	и не может быть	1	2
8	как один из видов	1	1
9	о том как он	1	1
10	только в этом случае	1	1
11	не чем иным как	2	1
12	если бы он был	1	1
13	ни один из них	1	1
14	один из них не	1	1
15	является не чем иным	1	1
16	может идти только о	1	1
17	в том случае если	1	1
18	не имеет ничего общего	4	1
19	ни в какой мере	1	1
20	и в результате этого	1	1
21	одно и то же	1	1
22	по крайней мере сам	1	1
23	той или иной мере	1	1
24	не может быть никакого	1	1
25	речь может идти только	1	1
26	было бы значительно увеличить	1	1
27	по этому поводу с	1	1
28	значит ли это что	1	1
29	говоря уже о том	1	1
30	же в таком случае	2	1
31	имеет ничего общего с	3	1
32	только в том случае	2	1
33	в той или иной	1	1
34	о том что и	1	1
35	но в то же	1	1
36	можно было бы значительно	1	1
37	уже о том что	1	1
38	так же как и	1	1
39	в то время как	2	1
40	можно говорить только о	1	1
41	не говоря уже о	5	1
42	в этом отношении ему	1	1
43	в какой мере не	1	1
44	то как будто бы	1	1
45	в том или ином	1	1
