N	3gram	Losev_Vlad	VLabPisa
1	и т д	3	16
2	в этом отношении	2	14
3	в письме к	12	11
4	не может быть	4	8
5	с другой стороны	3	8
6	по этому поводу	2	7
7	более или менее	5	6
8	в том что	13	5
9	в то же	7	5
10	то же время	7	5
11	вместе с тем	2	4
12	равно как и	1	4
13	можно сказать что	3	4
14	не было бы	1	4
15	в связи с	7	4
16	к тому что	1	4
17	в значительной мере	1	3
18	для того чтобы	3	3
19	о том что	9	3
20	а значит и	1	3
21	в этой области	1	3
22	и в то	3	3
23	как это делает	2	3
24	это и есть	1	3
25	в частности к	1	2
26	во всяком случае	8	2
27	в том чтобы	4	2
28	по крайней мере	1	2
29	письме к н	1	2
30	с а толстая	1	2
31	в том числе	1	2
32	нет никаких оснований	1	2
33	не в том	3	2
34	чуть ли не	1	2
35	мы знаем что	2	2
36	от июля года	3	2
37	не только не	1	2
38	в конце концов	6	2
39	по одному тому	1	2
40	не только в	3	2
41	и никогда не	1	2
42	из них не	2	2
43	не может не	1	2
44	вот что пишет	2	2
45	письме к а	1	2
46	по этому вопросу	1	2
47	в силу чего	1	2
48	только то что	1	2
49	с одной стороны	1	2
50	также и в	2	2
51	после того как	2	2
52	и не может	1	2
53	что он не	3	1
54	что пишет о	1	1
55	этому поводу с	1	1
56	в свою очередь	2	1
57	в том же	3	1
58	он пишет в	1	1
59	и психологии в	1	1
60	в конце года	2	1
61	но вместе с	1	1
62	уже в самых	1	1
63	по существу своему	1	1
64	в какой мере	1	1
65	на то что	6	1
66	в году и	2	1
67	от июня года	1	1
68	он говорит в	1	1
69	как мы знаем	3	1
70	года по поводу	2	1
71	что даже и	1	1
72	в этом же	2	1
73	в этом смысле	4	1
74	как это было	1	1
75	только в году	2	1
76	но и у	1	1
77	не в этом	1	1
78	человеческого познания и	1	1
79	в науке и	1	1
80	и без того	1	1
81	то время как	2	1
82	в которой он	2	1
83	в этом случае	1	1
84	с его точки	2	1
85	говоря уже о	3	1
86	дело не в	1	1
87	то что в	1	1
88	в самом деле	1	1
89	что в своем	1	1
90	еще из другого	1	1
91	н н страхову	3	1
92	у него в	2	1
93	в то время	6	1
94	об этом пишет	1	1
95	об этом у	1	1
96	и следовало ожидать	1	1
97	от августа года	1	1
98	но даже и	3	1
99	и то же	1	1
100	во сне и	1	1
101	но у него	1	1
102	не говоря уже	3	1
103	так или иначе	3	1
104	говорит в письме	1	1
105	хотя и не	2	1
106	кроме того что	1	1
107	как это мы	4	1
108	от декабря года	4	1
109	не только со	1	1
110	ничего общего с	1	1
111	них не может	1	1
112	три года в	1	1
113	к а а	1	1
114	его точки зрения	2	1
115	он пишет что	1	1
116	одно и то	1	1
117	толстого в его	2	1
118	но в то	2	1
119	что об этом	1	1
120	года в году	1	1
121	из этих элементов	1	1
122	том что и	1	1
123	за это время	2	1
124	и вместе с	1	1
125	и есть для	1	1
126	еще в году	2	1
127	в ноябре года	2	1
128	видел во сне	1	1
129	даже и в	1	1
130	главным образом в	2	1
131	а в том	3	1
132	что во всех	1	1
133	к тому же	3	1
134	московского университета а	2	1
135	в ней не	1	1
136	от октября года	1	1
137	уже о том	1	1
138	всех этих фактов	1	1
139	в целом и	1	1
140	с по год	1	1
141	до последних дней	1	1
142	но все же	1	1
143	лицом к лицу	1	1
144	силу чего он	1	1
145	не только у	1	1
146	нет ни одного	1	1
147	письмо к н	1	1
148	мы не будем	1	1
149	к н н	2	1
150	на основании всех	1	1
151	из другого письма	1	1
152	и невозможно и	1	1
153	оно может быть	1	1
154	нет и не	1	1
155	имеем дело с	1	1
156	но и для	1	1
157	мы имеем дело	1	1
158	у вл соловьева	20	1
159	может быть и	1	1
160	можно говорить только	1	1
