N	4gram	Bakhtin_sl	KFilosof
1	ни в чем не	1	4
2	от единого и единственного	1	2
3	бы то ни было	1	2
4	в то же время	15	2
5	к единому и единственному	1	2
6	во всех своих моментах	1	2
7	для того или иного	1	1
8	хотя бы и с	1	1
9	но во всяком случае	1	1
10	как это было показано	1	1
11	бы оно ни было	1	1
12	и связанных с ними	1	1
13	каково бы оно ни	1	1
14	не может войти в	1	1
15	в его целом с	1	1
16	на своем месте и	1	1
17	по себе а именно	1	1
18	в том что между	1	1
19	дело в том что	1	1
20	включает в себя момент	1	1
21	во всех этих случаях	1	1
22	но в то же	6	1
23	тем не менее в	1	1
24	и в то же	6	1
25	до сих пор не	2	1
