N	2gram	Vygotskiy_	Literetu
1	а не	7	50
2	и не	16	47
3	не только	16	46
4	и в	38	44
5	может быть	25	43
6	при этом	13	41
7	но и	9	41
8	в том	59	39
9	в этом	35	38
10	том что	44	32
11	такого рода	7	30
12	в частности	4	30
13	то что	27	29
14	в мире	2	28
15	в качестве	25	27
16	то же	18	26
17	состоит в	4	26
18	как и	20	23
19	в то	5	23
20	не в	10	22
21	того что	17	22
22	так и	11	22
23	не может	11	22
24	и т.п	3	20
25	в себе	9	20
26	прежде всего	6	19
27	как бы	17	18
28	с другой	11	17
29	точки зрения	27	17
30	в его	22	17
31	в жизни	3	16
32	в этой	7	16
33	не менее	8	15
34	я не	1	15
35	только в	16	15
36	со стороны	1	15
37	тем самым	6	15
38	в целом	22	15
39	и даже	4	14
40	по отношению	4	14
41	однако в	2	14
42	что он	13	14
43	уже не	3	13
44	в своем	9	13
45	с одной	8	13
46	как это	16	13
47	но не	7	13
48	и его	5	13
49	в своей	9	12
50	о том	6	12
51	в данном	1	12
52	одной стороны	8	12
53	одним из	6	12
54	еще не	6	12
55	отношению к	3	12
56	а также	6	12
57	не столько	4	11
58	в другом	3	11
59	никогда не	11	11
60	в конечном	2	11
61	и сам	4	11
62	столь же	7	11
63	еще в	2	11
64	вместе с	18	11
65	как в	14	11
66	в основе	32	11
67	в отличие	8	11
68	с его	3	11
69	данном случае	1	11
70	это не	5	11
71	отличие от	8	11
72	или иначе	2	11
73	а в	7	11
74	даже в	5	10
75	конечном счете	1	10
76	из них	5	10
77	в ее	1	10
78	не случайно	1	10
79	что в	31	10
80	и на	9	10
81	для себя	2	10
82	так или	1	10
83	потому что	14	10
84	другого в	2	10
85	этом отношении	9	10
86	отнюдь не	6	10
87	в области	9	10
88	с этой	6	9
89	к тому	8	9
90	представляет собой	6	9
91	связи с	14	9
92	один из	8	9
93	одно из	2	9
94	в начале	5	9
95	и т.д	8	9
96	же в	3	9
97	быть может	2	8
98	в своих	3	8
99	тем что	12	8
100	все же	11	8
101	одна из	2	8
102	того же	12	8
103	едва ли	6	8
104	с точки	11	8
105	как раз	1	8
106	на себя	2	8
107	что не	1	8
108	в конце	1	8
109	а именно	1	8
110	слова и	8	8
111	той же	8	8
112	но в	4	8
113	уже в	10	8
114	для него	6	8
115	по существу	4	8
116	и как	11	8
117	и я	1	8
118	вплоть до	1	8
119	в самом	8	7
120	в одном	4	7
121	другой стороны	5	7
122	для всех	1	7
123	именно в	6	7
124	ведет к	1	7
125	для этого	3	7
126	в противоположность	1	7
127	как правило	2	7
128	по преимуществу	1	7
129	не как	3	7
130	тому же	6	7
131	в случае	3	7
132	он не	6	7
133	и тем	8	7
134	и с	5	7
135	в нем	4	7
136	из того	4	7
137	по своей	12	7
138	в сфере	3	7
139	до конца	2	7
140	друг друга	7	7
141	и для	4	7
142	у нас	1	7
143	в их	12	7
144	так в	1	7
145	и других	4	7
146	это как	1	7
147	тому как	2	7
148	а затем	4	6
149	в виду	4	6
150	например в	2	6
151	как на	2	6
152	и он	1	6
153	у него	3	6
154	его в	8	6
155	во всех	3	6
156	в каждом	2	6
157	было бы	15	6
158	подобно тому	1	6
159	с ее	5	6
160	то в	3	6
161	самом деле	4	6
162	в слове	3	6
163	еще и	2	6
164	то и	5	6
165	тем же	8	6
166	одного из	3	6
167	и др	1	6
168	и то	9	6
169	том числе	3	6
170	в жизнь	1	6
171	в ней	3	6
172	далеко не	2	6
173	при всем	2	6
174	и только	4	6
175	и к	9	5
176	самого себя	2	5
177	по выражению	5	5
178	в связи	9	5
179	мы с	1	5
180	хотя бы	2	5
181	в нашем	2	5
182	от себя	1	5
183	том чтобы	2	5
184	должно быть	3	5
185	несмотря на	1	5
186	ни было	2	5
