N	4gram	Trubetskoy	RusskieA
1	состоит в том что	1	26
2	но вместе с тем	2	3
3	но тем не менее	1	2
4	но и потому что	1	2
5	во всяком случае не	3	2
6	вместе с тем и	1	2
7	и на то что	1	1
8	только некоторые из них	1	1
9	ни с одним из	1	1
10	так как эти боги	1	1
11	с тем и другим	1	1
12	в том что они	1	1
13	одного и того же	1	1
14	а вместе с тем	1	1
15	можно сказать что в	1	1
16	а так как эти	1	1
17	одном и том же	1	1
18	и связанные с ним	1	1
19	в данном случае мы	1	1
20	в одном из своих	1	1
21	более или менее точную	1	1
22	в одном и том	1	1
23	если прибавить к этому	1	1
