N	4gram	Ircho_Kome	Myshleni
1	в то время как	6	20
2	состоит в том что	1	17
3	с этой точки зрения	1	16
4	так же как и	1	16
5	в том числе и	1	10
6	в том что в	1	8
7	в том что он	4	8
8	к одному и тому	1	7
9	одному и тому же	1	7
10	не что иное как	1	6
11	вперед по сравнению с	1	5
12	то время как в	1	5
13	представление о том что	1	5
14	в тех случаях когда	1	4
15	в том что они	1	4
16	выходит далеко за пределы	1	3
17	независимо друг от друга	1	3
18	в той же мере	1	3
19	в связи с этим	1	3
20	и во всяком случае	1	3
21	бы то ни было	4	3
22	одна и та же	1	3
23	с той только разницей	1	2
24	той только разницей что	1	2
25	он имеет в виду	1	2
26	сомневаться в том что	2	2
27	в то же время	5	2
28	которую можно было бы	1	2
29	как это имело место	1	2
30	в самых общих чертах	1	2
31	в один ряд с	1	2
32	вызвано тем обстоятельством что	1	2
33	в том случае если	1	2
34	это было вызвано тем	1	2
35	было бы сравнить с	1	2
36	едва ли можно сомневаться	2	2
37	было вызвано тем обстоятельством	1	2
38	и подобно тому как	1	2
39	можно было бы сравнить	1	2
40	по поводу того что	1	2
41	это имело место в	1	2
42	мы имеем дело с	1	2
43	ни до ни после	1	1
44	к тому что и	1	1
45	ли можно сомневаться в	2	1
46	после того как в	2	1
47	среди других человеческих типов	1	1
48	с их точки зрения	2	1
49	и в силу этого	2	1
50	в то время когда	1	1
51	смысле этого слова с	1	1
52	попадают в поле зрения	1	1
53	было бы однако неверным	1	1
54	нечто подобное происходит и	1	1
55	с другой стороны в	1	1
56	между небом и землей	2	1
57	шаг вперед по сравнению	1	1
58	в основе его лежит	1	1
59	как мы уже знаем	1	1
60	той простой причине что	1	1
61	как и во всех	1	1
62	не последнюю роль играет	1	1
63	тот же что и	1	1
64	во всяком случае в	1	1
65	и в конце концов	1	1
66	можно сомневаться в том	2	1
67	с другой стороны он	1	1
68	с другой стороны при	1	1
69	то что у него	1	1
70	и на этот раз	2	1
71	ни в коем случае	1	1
72	с аналогичным явлением в	1	1
73	для того чтобы убедить	1	1
74	что и те и	1	1
75	до сих пор остается	1	1
76	ни в чем не	1	1
77	не говоря уже о	4	1
78	почти до самого конца	1	1
79	только в связи с	1	1
80	он не мог не	1	1
81	речь идет о совершенно	1	1
82	и те и другие	1	1
83	одних и тех же	1	1
84	по той простой причине	1	1
85	огромный шаг вперед по	1	1
