N	3gram	Propp_Isto	EvropaiC
1	в том что	7	16
2	до сих пор	4	15
3	по отношению к	3	11
4	друг с другом	1	9
5	с точки зрения	1	8
6	более или менее	3	8
7	на то что	1	7
8	для того чтобы	1	7
9	мы знаем что	1	7
10	в самом деле	1	5
11	так или иначе	2	5
12	к тому же	1	5
13	не может быть	5	4
14	о том что	9	4
15	тем не менее	4	4
16	совершенно так же	1	4
17	с другой стороны	17	4
18	в этом случае	4	4
19	вместе с тем	6	3
20	никогда не будет	1	3
21	не в состоянии	1	3
22	все же не	1	3
23	так же как	4	3
24	то ни было	1	3
25	в данном случае	7	3
26	и то что	1	3
27	в связи с	1	3
28	бы то ни	1	3
29	мы все же	1	2
30	ответить на вопрос	1	2
31	но вместе с	2	2
32	во всяком случае	3	2
33	и может быть	1	2
34	во всех этих	6	2
35	друг на друга	2	2
36	он не может	1	2
37	как и в	3	2
38	в то время	4	2
39	между этими двумя	1	2
40	а с другой	1	2
41	том что он	1	2
42	они должны быть	1	2
43	но все же	3	2
44	только то что	1	2
45	с одной стороны	11	2
46	о том чтобы	1	2
47	как бы то	1	2
48	но так как	4	2
49	мы видели что	4	1
50	таким образом мы	3	1
51	а потом и	1	1
52	все эти черты	1	1
53	и это обстоятельство	1	1
54	мы уже знаем	5	1
55	в этом направлении	1	1
56	мысль о том	1	1
57	что он может	1	1
58	для борьбы с	1	1
59	на своем пути	2	1
60	на русском языке	1	1
61	мы видим что	4	1
62	на задний план	1	1
63	одним из самых	1	1
64	эти примеры показывают	1	1
65	в противоречие с	1	1
66	в нем черты	1	1
67	на друга что	1	1
68	это не так	1	1
69	зависит не от	1	1
70	этой точки зрения	3	1
71	совершенно ясно что	1	1
72	еще далеко не	1	1
73	но в целом	1	1
74	нельзя не отметить	1	1
75	с этой точки	3	1
76	еще не вполне	2	1
77	никто не может	1	1
78	это может быть	1	1
79	точно так же	2	1
80	в общих чертах	1	1
81	образом оказывается что	1	1
82	не отличается от	1	1
83	на месте в	1	1
84	совершенно таким же	1	1
85	только в том	1	1
86	что в данном	1	1
87	в этом и	2	1
88	чтобы ответить на	1	1
89	за ним и	1	1
90	независимо от того	2	1
91	вместе с ними	1	1
92	более высокой ступени	1	1
93	вместе с ней	1	1
94	состоит в том	1	1
95	что у него	5	1
96	но даже в	1	1
97	не знает что	1	1
98	хотя и не	1	1
99	одна из этих	2	1
100	и некоторые другие	1	1
101	примеры показывают что	1	1
102	у него в	1	1
103	и что если	1	1
104	и в конце	1	1
105	того что в	1	1
106	смысле этого слова	1	1
107	на земле в	1	1
108	что все эти	1	1
109	как мы видели	3	1
110	в зависимости от	3	1
111	с тем и	1	1
112	таким образом оказывается	1	1
113	становится понятным что	1	1
114	можно было бы	3	1
115	к концу этого	1	1
116	а если он	1	1
117	надо сказать что	2	1
118	очень много но	1	1
119	выше мы видели	2	1
120	как бы он	1	1
121	много но все	1	1
122	же как при	1	1
123	не забудем что	1	1
124	что они не	1	1
125	а в том	2	1
126	направление в котором	1	1
127	образом мы видим	3	1
128	что во всех	1	1
129	может лежать на	1	1
130	уже знаем что	4	1
131	тех случаях когда	6	1
132	иначе обстоит дело	1	1
133	и при помощи	1	1
134	первый взгляд кажется	1	1
135	на первый взгляд	5	1
136	а не в	1	1
137	то же самое	1	1
138	это представление о	2	1
139	взгляд кажется что	1	1
140	и сам он	1	1
141	по этому вопросу	1	1
142	а так как	1	1
143	с тех пор	1	1
144	к тому что	1	1
145	по его мнению	1	1
146	мы уже говорили	1	1
147	во всем этом	1	1
148	никак не может	1	1
149	таким образом и	3	1
150	для этой цели	1	1
151	то время как	4	1
152	и все они	1	1
153	в тех случаях	7	1
154	по тем же	1	1
155	и не может	1	1
156	но с другой	1	1
157	в чистом виде	1	1
