N	3gram	Losev_Vlad	Marksizm
1	не может быть	4	25
2	в самом деле	1	19
3	то же время	7	15
4	в то же	7	15
5	в том что	13	14
6	в связи с	7	14
7	и не может	1	12
8	то ни было	1	12
9	в высшей степени	1	12
10	бы то ни	2	12
11	для того чтобы	3	11
12	но в то	2	9
13	в настоящее время	2	8
14	может быть и	1	8
15	до настоящего времени	1	7
16	смысле этого слова	1	7
17	с другой стороны	3	7
18	в свою очередь	2	7
19	как мы знаем	3	7
20	как мы уже	3	6
21	на то что	6	6
22	во всяком случае	8	6
23	с одной стороны	1	6
24	и как бы	1	5
25	к тому что	1	5
26	самом же деле	1	5
27	на самом же	1	5
28	как мы видели	1	5
29	в этом случае	1	5
30	в этом отношении	2	5
31	мы уже знаем	1	4
32	как мы сказали	2	4
33	но все же	1	4
34	о том что	9	4
35	можно сказать что	3	4
36	том что он	4	4
37	и тот же	2	3
38	не только в	3	3
39	тем не менее	8	3
40	этому нужно прибавить	3	3
41	в том числе	1	3
42	более или менее	5	3
43	и то же	1	3
44	в конце концов	6	3
45	мы не будем	1	3
46	и в этом	1	3
47	выходят за пределы	1	3
48	один и тот	2	3
49	на первый план	4	3
50	и не в	1	3
51	и той же	1	3
52	не было бы	1	3
53	одно и то	1	3
54	к этому нужно	3	3
55	одной и той	1	3
56	что он не	3	2
57	тех пор пока	2	2
58	является как бы	1	2
59	а не к	1	2
60	до известной степени	1	2
61	в этом смысле	4	2
62	именно здесь в	1	2
63	что во всех	1	2
64	так или иначе	3	2
65	так и в	1	2
66	ничего общего с	1	2
67	но помимо этого	1	2
68	само по себе	1	2
69	к тому же	3	2
70	из всего этого	1	2
71	в последнее время	2	2
72	лицом к лицу	1	2
73	не то что	2	2
74	и в том	2	2
75	чувствует себя в	1	2
76	чуть ли не	1	2
77	на почве философии	1	2
78	как к своему	1	2
79	и в особенности	1	2
80	по крайней мере	1	2
81	а следовательно и	1	2
82	во всех своих	1	2
83	до тех пор	2	2
84	кроме того в	1	2
85	с тем что	1	2
86	как мы увидим	2	2
87	только с помощью	1	2
88	это и есть	1	2
89	нет и не	1	2
90	но и здесь	1	2
91	себе не может	1	1
92	а может быть	1	1
93	а не на	1	1
94	ни в каком	1	1
95	заключать в себе	1	1
96	нужно прибавить что	2	1
97	или как мы	1	1
98	то что он	6	1
99	мы и закончим	1	1
100	ней как к	1	1
101	по вопросу о	1	1
102	в этом слове	1	1
103	в году по	1	1
104	не могло существовать	1	1
105	свою связь с	1	1
106	же деле это	1	1
107	говоря уже о	3	1
108	очень важный момент	1	1
109	в жизни и	1	1
110	он не может	1	1
111	в том же	3	1
112	указывает на то	1	1
113	что в своем	1	1
114	между ними можно	1	1
115	свидетельствует о том	1	1
116	тот же самый	1	1
117	сам по себе	1	1
118	в каком случае	1	1
119	в одной плоскости	1	1
120	и в более	1	1
121	но что такое	1	1
122	он есть но	1	1
123	приходит к выводу	1	1
124	что он сам	1	1
125	в тот же	2	1
126	он относится к	1	1
127	от того чтобы	1	1
128	в особенности же	1	1
129	далек от того	1	1
130	с тем и	1	1
131	ко всякого рода	1	1
132	не могла быть	1	1
133	последнее время в	1	1
134	это же самое	1	1
135	входить в подробности	1	1
136	из этого примера	1	1
137	есть но он	1	1
138	даже и в	1	1
139	было конечно не	1	1
140	а с другой	1	1
141	а в том	3	1
142	и как мы	2	1
143	их в настоящее	1	1
144	но даже и	3	1
145	не только не	1	1
146	может быть названа	1	1
147	для него только	1	1
148	в своей критике	1	1
149	искусства и религии	1	1
150	сказать что он	1	1
151	них мы не	1	1
152	как раз и	2	1
153	но как раз	1	1
154	прибавить еще и	2	1
155	они не могут	1	1
156	ни к какой	1	1
157	что он был	1	1
158	для нее не	1	1
159	само собой разумеется	2	1
160	было не так	1	1
161	но он не	1	1
162	мужчины и женщины	1	1
163	и для него	1	1
164	вместе с тем	2	1
165	то что его	2	1
166	друг друга не	1	1
167	но кроме того	1	1
168	равно как и	1	1
169	это было не	1	1
170	как это делает	2	1
171	и во всяком	1	1
172	к чему не	1	1
173	не столько по	1	1
174	к ней как	1	1
175	в какой мере	1	1
176	прежде всего на	1	1
177	а именно к	1	1
178	что иное как	2	1
179	он не только	2	1
180	все то же	1	1
181	потому что их	1	1
182	в этом же	2	1
183	не имеет никакого	2	1
184	собой разумеется что	1	1
185	и основан на	1	1
186	была у него	1	1
187	только не может	1	1
188	той же самой	1	1
189	каждый из этих	1	1
190	что же касается	8	1
191	в своей работе	1	1
192	то что в	1	1
193	свои мысли и	1	1
194	на протяжении всей	1	1
195	к выводу что	1	1
196	конечно не в	1	1
197	том же году	1	1
198	с двух сторон	1	1
199	во франции и	1	1
200	в то время	6	1
201	пор пока не	1	1
202	и в ней	1	1
203	ничего не могло	1	1
204	в себе не	1	1
205	здесь мы должны	1	1
206	не знаком с	1	1
207	которую он и	1	1
208	его никто не	1	1
209	не говоря уже	3	1
210	у него с	1	1
211	но и все	1	1
212	не что иное	2	1
213	дело в том	7	1
214	чем та которая	1	1
215	здесь перед нами	1	1
216	так сказать с	1	1
217	и в своем	1	1
218	поэтому не приходится	1	1
219	и не без	2	1
220	в году он	5	1
221	но отнюдь не	1	1
222	никакого отношения к	3	1
223	не может получить	1	1
224	но тем не	1	1
225	и в свою	1	1
226	но во всяком	1	1
227	и без того	1	1
228	и что в	1	1
229	в обычном смысле	1	1
230	так и из	1	1
231	и что они	1	1
232	уже о том	1	1
233	в этой же	1	1
234	на первых порах	1	1
235	ни к чему	1	1
