N	3gram	Trubetskoy	Tvorches
1	в то же	2	25
2	то же время	2	24
3	в том что	3	11
4	в соответствии с	1	8
5	о том что	4	8
6	и в то	1	7
7	не может быть	1	6
8	но в то	1	6
9	в самом деле	1	5
10	по отношению к	1	5
11	до сих пор	5	4
12	по крайней мере	5	4
13	с точки зрения	6	4
14	с самого начала	2	4
15	в таком случае	1	3
16	сами по себе	1	3
17	чуть ли не	1	3
18	точно так же	3	3
19	в отличие от	1	3
20	во всяком случае	6	3
21	с другой стороны	1	3
22	добра и зла	1	3
23	и все же	1	3
24	в данном случае	1	2
25	это не означает	1	2
26	заключает в себе	2	2
27	влечет за собой	2	2
28	для того чтобы	5	2
29	в том числе	5	2
30	тем не менее	3	2
31	у него в	1	2
32	так и в	1	2
33	но при этом	1	2
34	не потому что	1	2
35	в конце концов	3	2
36	в этой области	1	2
37	том числе и	4	2
38	а потому что	1	2
39	и превращается в	1	2
40	к тому же	4	2
41	несмотря на все	1	2
42	в связи с	3	2
43	в одном из	1	2
44	в свою очередь	1	2
45	вместе с тем	8	2
46	не только для	2	2
47	же время он	1	2
48	только то что	1	2
49	можно сказать что	2	2
50	так же как	3	2
51	в первую очередь	1	2
52	мы уже говорили	1	2
53	в момент выхода	1	1
54	в этот период	1	1
55	некоторые из них	2	1
56	о том как	1	1
57	нет ничего кроме	1	1
58	и мир его	1	1
59	после его смерти	2	1
60	то или иное	2	1
61	и те и	2	1
62	так и от	2	1
63	таким образом уже	1	1
64	друг на друга	2	1
65	а с точки	1	1
66	потому что в	1	1
67	именно потому что	1	1
68	ничего общего с	2	1
69	а между тем	1	1
70	и потому что	2	1
71	то есть о	1	1
72	потому что сама	1	1
73	в разные стороны	1	1
74	говорили о том	2	1
75	а с другой	5	1
76	то ни было	2	1
77	и того же	1	1
78	несмотря на его	1	1
79	то же самое	2	1
80	и через нее	1	1
81	не может не	1	1
82	бы то ни	2	1
83	сих пор еще	2	1
84	и в этом	2	1
85	может и не	1	1
86	жизни то есть	1	1
87	с первого взгляда	1	1
88	те и другие	2	1
89	той или иной	2	1
90	между человеком и	1	1
91	и только в	1	1
92	а вместе с	1	1
93	не похоже на	1	1
94	имеем в виду	1	1
95	это связано с	1	1
96	может быть в	1	1
97	все более и	1	1
98	но и потому	1	1
99	с одной стороны	7	1
100	можно говорить лишь	1	1
101	уже говорили о	1	1
102	в настоящее время	1	1
103	в то время	1	1
104	более и более	1	1
105	таким образом в	2	1
106	в силу этой	1	1
107	но все это	2	1
108	волю к жизни	2	1
109	любовь ко всему	1	1
110	и никогда не	1	1
111	в прямом смысле	1	1
112	мы имеем в	1	1
113	одного и того	1	1
114	к мысли о	1	1
115	можно только в	1	1
116	это и есть	1	1
