N	4gram	Losev_Prob	Tvorches
1	и в то же	1	6
2	но в то же	1	6
3	в записках из подполья	1	5
4	дело в том что	3	4
5	в том что в	1	3
6	и не может быть	1	3
7	романе преступление и наказание	1	2
8	в том числе и	2	2
9	заключается в том что	2	2
10	это не значит что	1	2
11	в романе преступление и	1	2
12	в то же самое	4	1
13	на самом же деле	1	1
14	не что иное как	5	1
15	только в этом случае	1	1
16	но для того чтобы	1	1
17	и здесь необходимо сказать	1	1
18	с с аверинцев в	1	1
19	а с другой стороны	1	1
20	и что в нем	2	1
21	одного и того же	2	1
22	и в самом деле	1	1
23	статьи ю м лотмана	2	1
24	и т д и	4	1
25	содержит в себе всегда	1	1
26	т д и т	3	1
27	не только потому что	1	1
28	но в таком случае	7	1
29	мы имеем в виду	1	1
30	то во всяком случае	3	1
31	то же самое время	4	1
32	и тем не менее	8	1
33	в том же романе	1	1
34	между прочим в том	1	1
35	говорить о том что	1	1
36	т д все это	1	1
37	и т д все	1	1
38	так же как и	1	1
39	д и т д	2	1
