N	4gram	Vygotskiy_	Marksizm
1	одного и того же	1	9
2	точном смысле этого слова	3	4
3	в точном смысле этого	2	4
4	в том что он	3	4
5	все более и более	4	3
6	одной и той же	3	3
7	один и тот же	1	3
8	одно и то же	3	3
9	с точки зрения тех	1	2
10	уже с самого начала	1	2
11	в том или ином	1	2
12	и то же слово	1	2
13	в таком случае это	1	2
14	до тех пор пока	2	2
15	одна и та же	2	2
16	так же как и	1	2
17	сводится к тому что	1	2
18	в самом деле если	2	2
19	что как мы видели	1	1
20	как это делают некоторые	1	1
21	это было так то	1	1
22	с этой точки зрения	2	1
23	друг с другом и	2	1
24	дела в самом деле	1	1
25	ни в каком случае	1	1
26	не что иное как	1	1
27	для того чтобы показать	2	1
28	имеют ничего общего с	1	1
29	того чтобы показать что	1	1
30	то с другой стороны	1	1
31	в жизни и в	1	1
32	в самом деле какой	1	1
33	то же самое что	2	1
34	так же нелепо как	1	1
35	указывает на то что	3	1
36	той степени в какой	1	1
37	мы уже говорили что	1	1
38	не то что в	2	1
39	о которых мы упоминали	1	1
40	в одной и той	1	1
41	имеют никакого отношения к	1	1
42	в какой мере не	1	1
43	к тому или иному	1	1
44	если бы это было	1	1
45	в самом деле даже	1	1
46	или во всяком случае	2	1
47	если же мы возьмем	1	1
48	самом деле если мы	1	1
49	ни в какой мере	2	1
50	в самом деле в	1	1
51	и в первом случае	1	1
52	во всем этом сказывается	1	1
53	вступить в противоречие с	2	1
54	которые с точки зрения	1	1
55	свидетельствует о том что	1	1
56	при этом она приобретает	1	1
57	смысле этого слова и	2	1
58	и с точки зрения	1	1
59	не имеют никакого отношения	1	1
60	чтобы превратить ее в	1	1
61	то одна то другая	1	1
62	но они не могут	1	1
63	в той степени в	1	1
64	до сих пор не	1	1
65	не имеют ничего общего	1	1
66	и в свою очередь	1	1
