N	3gram	Bakhtin_KF	Marksizm
1	с точки зрения	10	46
2	не может быть	11	25
3	по отношению к	22	15
4	то же время	2	15
5	в то же	2	15
6	в том что	2	14
7	то ни было	2	12
8	бы то ни	2	12
9	для того чтобы	1	11
10	до сих пор	1	11
11	в большинстве случаев	1	9
12	одного и того	1	9
13	как если бы	1	9
14	и того же	1	9
15	но в то	1	9
16	в настоящее время	1	8
17	то же самое	1	8
18	может быть и	1	8
19	смысле этого слова	1	7
20	в свою очередь	1	7
21	в смысле совокупности	1	6
22	и пр и	1	6
23	на то что	1	6
24	на самом деле	3	6
25	во всяком случае	1	6
26	и как бы	1	5
27	к тому что	1	5
28	отсюда следует что	1	5
29	той или иной	2	5
30	в первом случае	1	4
31	в зависимости от	1	4
32	в нем нет	1	4
33	оно ни было	1	4
34	нашей точки зрения	1	4
35	и тот же	3	3
36	в данном контексте	1	3
37	тем не менее	2	3
38	хотя бы и	1	3
39	в значительной степени	1	3
40	а не в	2	3
41	и в этом	3	3
42	в этом последнем	1	3
43	нет места для	1	3
44	в ее целом	3	3
45	в данный момент	3	3
46	один и тот	3	3
47	в ту или	1	3
48	и не в	1	3
49	может быть понято	1	3
50	не было бы	3	3
51	лежит в основе	1	3
52	и небо и	1	2
53	ничего общего не	2	2
54	а не к	1	2
55	для одного и	1	2
56	в этом смысле	3	2
57	и в результате	1	2
58	мы не найдем	1	2
59	она могла бы	2	2
60	будет ли это	1	2
61	мы никогда не	1	2
62	между тем как	3	2
63	само по себе	1	2
64	при этом условии	1	2
65	нет подхода к	1	2
66	и этот момент	1	2
67	в его целом	10	2
68	слова и его	1	2
69	со всех сторон	1	2
70	с нашей точки	1	2
71	того или иного	3	2
72	только по отношению	2	2
73	лишь в процессе	1	2
74	к нему в	4	2
75	место в бытии	2	2
76	какого бы то	1	2
77	ту или иную	1	2
78	если мы возьмем	1	2
79	в каком бы	1	2
80	а следовательно и	1	2
81	только в этом	1	2
82	несмотря на то	1	2
83	во всех своих	3	2
84	независимо от того	1	2
85	в противном случае	1	2
86	и та же	2	2
87	одна и та	2	2
88	или иную эпоху	1	2
89	но здесь мы	1	2
90	в нем и	3	2
91	вопрос о том	2	2
92	это и есть	1	2
93	нет и не	1	2
94	только при этом	1	2
95	но и здесь	3	2
96	в едином и	5	1
97	места в бытии	2	1
98	быть не может	1	1
99	в котором ориентируется	1	1
100	бы и не	2	1
101	это не значит	1	1
102	между ним и	1	1
103	что и для	1	1
104	бы он ни	2	1
105	ни в каком	2	1
106	заключать в себе	1	1
107	в конечном счете	1	1
108	в нем не	1	1
109	если не исключительно	1	1
110	в определенных условиях	1	1
111	на основе признания	2	1
112	на том что	1	1
113	и ни к	1	1
114	оно должно быть	1	1
115	ни в один	1	1
116	то или иное	2	1
117	отношению ко всякому	1	1
118	точки зрения той	1	1
119	пространственного и временного	2	1
120	и в каких	1	1
121	не менее в	1	1
122	момент в нем	1	1
123	он не может	1	1
124	в том же	1	1
125	может войти в	1	1
126	в ней в	1	1
127	сводится к следующему	1	1
128	это не есть	3	1
129	этого слова ведь	1	1
130	как и всякое	1	1
131	сознания и не	1	1
132	по отношению ко	4	1
133	мы только путем	1	1
134	но для того	1	1
135	может быть дано	1	1
136	может быть только	7	1
137	на один миг	1	1
138	что конечно невозможно	1	1
139	мы живем и	1	1
140	не совпадает с	1	1
141	на я и	1	1
142	вместо того чтобы	1	1
143	отношении к нему	1	1
144	все остальное в	1	1
145	в соответствии с	2	1
146	как бы он	1	1
147	в его собственном	1	1
148	данного момента и	1	1
149	и по отношению	1	1
150	в основных чертах	1	1
151	может быть понята	1	1
152	интонации в зависимости	1	1
153	хотя бы только	1	1
154	оно могло бы	1	1
155	и вопрос о	1	1
156	в нем в	1	1
157	по себе а	1	1
158	и т.п но	1	1
159	могла бы и	1	1
160	должно вступить в	1	1
161	но в этом	1	1
162	ее содержания т.е	1	1
163	но ни в	1	1
164	в одном случае	1	1
165	отнюдь не следует	1	1
166	говорить о примате	1	1
167	не может непосредственно	1	1
168	же самое что	1	1
169	и пр все	1	1
170	только в форме	1	1
171	никогда не может	1	1
172	сих пор не	1	1
173	в моем сознании	2	1
174	не имеет места	1	1
175	не проникает в	5	1
176	отнюдь не являются	1	1
177	но прежде всего	1	1
178	то все же	1	1
179	и для него	2	1
180	вместе с тем	1	1
181	равно как и	1	1
182	к чему не	2	1
183	каком бы то	1	1
184	является вовсе не	1	1
185	именно там где	1	1
186	прежде всего определяется	1	1
187	в противоречие с	1	1
188	а не как	1	1
189	не имеют с	1	1
190	и землю и	1	1
191	что в эту	1	1
192	ни на один	1	1
193	может быть в	3	1
194	целостного и единого	1	1
195	только путем скачка	1	1
196	конечно не в	1	1
197	в процессе ее	1	1
198	для себя и	1	1
199	может быть случайной	1	1
200	живы в нем	1	1
201	проникают друг друга	1	1
202	отношению к нему	4	1
203	общего не имеют	1	1
204	не может стать	1	1
205	из которых слагается	1	1
206	оно прежде всего	1	1
207	он не дает	1	1
208	иные моменты и	1	1
209	бытие отрешенное от	1	1
210	дело в том	1	1
211	он ни был	2	1
212	в лучшем случае	1	1
213	всех этих случаях	1	1
214	и в своем	1	1
215	и противоречие между	1	1
216	во всех этих	2	1
217	как бы ни	1	1
218	и все остальные	1	1
219	ведь если бы	1	1
220	но отнюдь не	1	1
221	тоже только в	1	1
222	и есть его	1	1
223	но во всяком	1	1
224	не зависит от	1	1
225	тем или иным	1	1
226	в котором не	1	1
227	тогда когда он	1	1
228	она может быть	1	1
229	друг для друга	1	1
230	будем говорить в	1	1
231	можно в лучшем	1	1
232	ни к чему	2	1
233	точки зрения теоретической	1	1
234	в котором мы	3	1
235	и в ее	1	1
236	притом не только	1	1
237	и в нем	2	1
238	в основе своей	1	1
239	между прочим и	1	1
240	в этой своей	1	1
241	бы оно ни	1	1
242	общего не имеет	1	1
243	не является только	1	1
244	бы ни была	1	1
245	до конца и	1	1
246	связанных с ними	1	1
247	мы не можем	1	1
248	равно себе самому	1	1
249	ровно ничего не	1	1
250	в другом случае	1	1
