N	3gram	Tiupa_Vved	Tragedij
1	то же время	4	5
2	в то же	5	5
3	в том что	10	2
4	но в то	1	2
5	в году в	1	2
6	в данном случае	15	2
7	о том что	6	2
8	и в самом	1	2
9	в отличие от	11	2
10	но в конце	1	1
11	об этом прямо	1	1
12	как своего рода	1	1
13	в одном из	1	1
14	поле в котором	1	1
15	бы и не	2	1
16	может быть не	3	1
17	в обоих случаях	1	1
18	мы понимаем что	1	1
19	мысль о том	1	1
20	объясняется тем что	1	1
21	вместо того чтобы	1	1
22	в той же	1	1
23	в себе ее	1	1
24	то что он	1	1
25	не может быть	6	1
26	в этом мире	1	1
27	но при этом	3	1
28	в этом случае	1	1
29	по сравнению с	1	1
30	а стало быть	1	1
31	с того что	2	1
32	с самого начала	1	1
33	как и все	1	1
34	у него нет	1	1
35	и он в	1	1
36	в литературе это	1	1
37	в высшей степени	2	1
38	как и в	2	1
39	в связи с	1	1
40	и все же	6	1
41	в самом деле	2	1
42	него нет своего	1	1
43	во всяком случае	3	1
44	к тому что	1	1
45	факт что в	1	1
46	тем не менее	3	1
47	в известной мере	1	1
48	которой не может	1	1
49	это и есть	1	1
50	по природе своей	2	1
51	все же не	1	1
52	и не может	1	1
53	и в этом	1	1
54	отнюдь не является	1	1
