N	4gram	Losev_Vlad	Formalny
1	в то же время	7	20
2	и не может быть	1	7
3	бы то ни было	1	7
4	и в то же	3	6
5	нет и не может	1	4
6	на самом же деле	1	3
7	во что бы то	1	3
8	вместе с тем и	1	3
9	и во всяком случае	1	3
10	с начала и до	2	3
11	один и тот же	2	3
12	что бы то ни	1	3
13	начала и до конца	2	3
14	бы то ни стало	1	3
15	но в то же	2	3
16	не говоря уже о	3	2
17	то же время и	1	2
18	не в том что	1	2
19	и в том что	1	1
20	но тем не менее	1	1
21	выдвинуть на первый план	1	1
22	не что иное как	2	1
23	не выходя за пределы	1	1
24	одно и то же	1	1
25	не имеет никакого отношения	1	1
26	дело в том что	7	1
27	в одной плоскости с	1	1
28	ни в чем не	1	1
29	то что он не	1	1
30	одной и той же	1	1
31	чего бы то ни	1	1
32	как мы знаем в	1	1
33	но вместе с тем	1	1
34	заключается в том чтобы	1	1
35	и в конце концов	1	1
36	и тем не менее	1	1
37	ни на минуту не	1	1
38	в этом отношении он	1	1
39	в том чтобы установить	1	1
40	что же это за	1	1
41	есть не что иное	1	1
