N	2gram	Losev_Vlad	Sovremen
1	не может	12	17
2	может быть	12	12
3	точки зрения	4	12
4	таким образом	6	11
5	мы не	2	9
6	в каждом	1	8
7	в этом	30	7
8	и в	56	7
9	мы можем	1	6
10	в результате	6	6
11	как и	7	6
12	ничего не	4	6
13	и не	33	6
14	прежде всего	5	5
15	что же	11	5
16	все эти	6	5
17	и наконец	2	5
18	в дальнейшем	10	4
19	а в	20	4
20	так как	11	4
21	вопрос о	1	4
22	это не	3	4
23	не только	35	4
24	мы должны	3	4
25	с помощью	1	4
26	как бы	5	4
27	нет и	2	4
28	их в	3	4
29	жизни и	8	4
30	вместе с	9	4
31	в целом	3	4
32	же это	1	4
33	в том	26	4
34	из них	3	4
35	мы видели	1	4
36	и к	10	3
37	и потому	8	3
38	видели что	1	3
39	и мы	6	3
40	с самого	1	3
41	когда мы	2	3
42	уже в	9	3
43	то же	10	3
44	при этом	5	3
45	не в	12	3
46	а не	5	3
47	для нас	9	3
48	все это	7	3
49	как он	4	3
50	в одном	2	3
51	у нас	11	3
52	а все	1	3
53	в конце	22	3
54	было бы	7	3
55	в этой	4	3
56	он в	4	3
57	и все	8	3
58	его развития	1	3
59	на две	1	3
60	в себе	5	3
61	ясно что	2	3
62	что она	2	3
63	одна из	1	3
64	все же	11	3
65	в области	3	3
66	может не	1	3
67	отнюдь не	3	3
68	в нем	7	3
69	но мы	3	3
70	но в	19	3
71	еще не	2	3
72	с этим	3	2
73	что в	24	2
74	этих двух	2	2
75	тем не	8	2
76	в самом	3	2
77	дает нам	1	2
78	совершенно не	2	2
79	и что	11	2
80	которой он	7	2
81	ее на	3	2
82	и пр	1	2
83	то и	3	2
84	о значении	1	2
85	с одной	1	2
86	это за	1	2
87	такого рода	4	2
88	в свою	3	2
89	из этих	5	2
90	в его	18	2
91	во всяком	8	2
92	не будем	3	2
93	мы знаем	5	2
94	в которую	2	2
95	еще более	3	2
96	можно назвать	1	2
97	то ни	2	2
98	что это	2	2
99	быть и	1	2
100	по мнению	1	2
101	только одну	1	2
102	из которых	1	2
103	что такое	3	2
104	он приводит	1	2
105	говорить о	1	2
106	на его	7	2
107	в науке	3	2
108	с общим	1	2
109	вторая половина	1	2
110	на их	1	2
111	у него	28	2
112	для его	2	2
113	не могут	2	2
114	в виде	4	2
115	со всеми	1	2
116	а на	1	2
117	свою очередь	2	2
118	и даже	23	2
119	как известно	2	2
120	самом деле	1	2
121	в которой	8	2
122	но все	3	2
123	некоторое время	3	2
124	к чему	1	2
125	необходимо отметить	1	2
126	же самое	1	2
127	который как	1	2
128	как мы	17	2
129	настоящее время	2	2
130	и во	3	2
131	той же	6	2
132	в таком	2	2
133	в нашем	5	2
134	уже не	6	2
135	и есть	2	2
136	что все	2	2
137	на этот	9	2
138	на этом	3	2
139	роль в	1	2
140	не менее	9	2
141	так сказать	2	2
142	и по	10	2
143	времени и	1	2
144	может дать	1	2
145	в и	1	2
146	на котором	2	2
147	свою собственную	1	2
148	в настоящее	2	2
149	знаем что	2	2
150	тот же	7	2
151	мы с	4	2
152	всяком случае	8	2
153	№ с	3	2
154	жизни но	1	1
155	во всех	4	1
156	только одно	4	1
157	на предметы	1	1
158	бы то	2	1
159	которые в	2	1
160	поскольку она	1	1
161	с двух	1	1
162	этого и	1	1
163	именно к	2	1
164	это и	2	1
165	несколько времени	1	1
166	его и	2	1
167	этом случае	1	1
168	в свое	6	1
169	необходимо сказать	5	1
170	только не	2	1
171	то он	7	1
172	человека в	1	1
173	но как	6	1
174	в окончательном	1	1
175	в данном	1	1
176	это конечно	4	1
177	только к	3	1
178	этот свой	2	1
179	ему принадлежит	1	1
180	он уже	7	1
181	и более	1	1
182	та же	1	1
183	считая что	1	1
184	в действительности	1	1
185	о действительном	1	1
186	через несколько	3	1
187	от его	1	1
188	что иное	2	1
189	в вопросах	3	1
190	правда весьма	1	1
191	ведь в	1	1
192	течение нескольких	1	1
193	в очень	5	1
194	не имеют	1	1
195	связи с	7	1
196	здесь нет	1	1
197	раз и	4	1
198	если в	1	1
199	философии на	1	1
200	очень часто	2	1
201	указать на	2	1
202	должно быть	1	1
203	мы уже	8	1
204	к области	1	1
205	несколько слов	2	1
206	человек и	1	1
207	почти не	2	1
208	с и	4	1
209	раз из	2	1
210	же этот	1	1
211	в о	2	1
212	заключать в	1	1
213	в первый	2	1
214	она не	3	1
215	жизнь по	1	1
216	в течение	13	1
217	чтобы он	3	1
218	она в	1	1
219	ним и	1	1
220	что уже	1	1
221	своего объяснения	1	1
222	от всяких	1	1
223	одной стороны	1	1
224	и ни	2	1
225	этот метод	1	1
226	только своей	1	1
227	на другой	1	1
228	это то	1	1
229	она всегда	2	1
230	мы имеем	2	1
231	и у	4	1
232	для наших	1	1
233	быть в	1	1
234	если у	2	1
235	и речи	3	1
236	а из	2	1
237	то нужно	1	1
238	конечно для	1	1
239	совсем не	7	1
240	несмотря на	7	1
241	том как	1	1
242	в ней	5	1
243	которых он	2	1
244	говорить только	1	1
245	мы очень	1	1
246	ни было	1	1
247	уже к	1	1
248	человека как	3	1
249	этот был	1	1
250	а может	1	1
251	хотя и	9	1
252	человек с	1	1
253	сказать еще	1	1
254	с другой	3	1
255	и тогда	1	1
256	а это	3	1
257	в этот	5	1
258	с ним	10	1
259	она уже	1	1
260	это уже	1	1
