N	3gram	Berdyaev_M	VeschiIm
1	это значит что	3	25
2	не может быть	22	24
3	не что иное	4	12
4	не есть ни	1	12
5	что иное как	4	12
6	в том что	3	9
7	есть не что	3	8
8	в самом деле	1	7
9	на то что	1	7
10	по сравнению с	2	7
11	т е в	1	7
12	сама по себе	1	7
13	с точки зрения	1	6
14	не потому что	1	5
15	подобно тому как	2	5
16	не только в	2	5
17	было бы и	1	5
18	в себе в	1	4
19	что это –	1	4
20	то время как	2	4
21	от того что	4	4
22	есть прежде всего	4	4
23	в то время	2	4
24	сам по себе	1	4
25	о том что	3	4
26	это и есть	7	4
27	есть то что	1	4
28	ни с какой	1	3
29	я и хочу	1	3
30	вместе с тем	5	3
31	мы говорим что	1	3
32	можно ли сказать	1	3
33	ли сказать что	1	3
34	она не может	1	3
35	можно было бы	1	3
36	и есть не	1	3
37	не может не	2	3
38	так же как	1	2
39	никогда не есть	1	2
40	будет то что	1	2
41	а не к	2	2
42	есть не только	4	2
43	хотя бы и	2	2
44	она должна быть	1	2
45	нельзя было бы	2	2
46	а следовательно и	1	2
47	с самим собою	2	2
48	для этого нужно	1	2
49	для того чтобы	4	2
50	это не есть	1	2
51	ни с чем	1	2
52	по природе своей	2	2
53	и есть то	1	2
54	и в конце	2	2
55	том что он	1	2
56	есть у всех	1	2
57	может быть никакого	1	2
58	он ничего не	1	2
59	хотя бы даже	1	2
60	в отношении к	3	2
61	в конце концов	3	2
62	в нем нет	1	2
63	нужно сказать что	1	2
64	а не в	4	2
65	как бы его	2	2
66	к тому что	1	2
67	во всяком случае	1	2
68	в этом отношении	1	2
69	и в этом	1	2
70	а не только	3	2
71	и в смысле	1	2
72	только тогда когда	1	2
73	не мог бы	2	2
74	это – одно	1	1
75	что он не	3	1
76	психологической точки зрения	1	1
77	и это есть	1	1
78	есть для него	1	1
79	как и во	2	1
80	никогда не поймут	1	1
81	нем нет ничего	1	1
82	это не значит	2	1
83	он должен быть	1	1
84	в ней нет	1	1
85	как будто бы	2	1
86	что она не	1	1
87	в этом они	1	1
88	сам в себе	1	1
89	том что это	1	1
90	существует не только	1	1
91	он думает что	1	1
92	на том основании	2	1
93	и должно быть	1	1
94	том смысле что	1	1
95	только и возможно	1	1
96	есть один из	2	1
97	было в этом	1	1
98	это – очень	1	1
99	не предполагаю дать	1	1
100	но и в	4	1
101	ни к какому	2	1
102	только это и	2	1
103	в том смысле	2	1
104	есть также и	1	1
105	для всего человечества	1	1
106	для него не	2	1
107	из себя в	1	1
108	между ними есть	1	1
109	решения вопроса о	1	1
110	несет с собой	1	1
111	с чем не	1	1
112	один из моментов	1	1
113	и есть последняя	1	1
114	и в самом	3	1
115	в себе и	2	1
116	с необычайной силой	1	1
117	ни у кого	2	1
118	но с тем	1	1
119	и для всякой	1	1
120	для себя и	1	1
121	потому и есть	1	1
122	и в нем	3	1
123	не может уже	3	1
124	и не было	2	1
125	по сравнению со	1	1
126	я подхожу к	1	1
127	т е от	1	1
128	от нее не	1	1
129	не значит что	1	1
130	отличает его от	1	1
131	когда мы говорим	1	1
132	что и в	3	1
133	не в том	1	1
134	потому что она	2	1
135	должно быть в	1	1
136	и мы увидим	1	1
137	только и можно	1	1
138	он сам не	2	1
139	в самом последнем	2	1
140	думать что она	1	1
141	на почве этого	1	1
142	огромное различие между	1	1
143	решить вопрос о	1	1
144	должна быть не	1	1
145	не может существовать	1	1
146	так как будто	1	1
147	во втором случае	1	1
148	что у него	1	1
149	на этом основании	1	1
150	не будет уже	1	1
151	и истории и	1	1
152	произошел от обезьяны	1	1
153	не было бы	5	1
154	не выходит из	1	1
155	– не только	1	1
156	до сих пор	5	1
157	может не быть	1	1
158	одно из самых	2	1
159	то в чем	1	1
160	но что это	1	1
161	тому как в	1	1
162	смысле этого слова	1	1
163	у нас все	1	1
164	что я подхожу	1	1
165	потому что он	3	1
166	бы и не	1	1
167	и переходит в	2	1
168	она все же	1	1
169	том что дух	1	1
170	один из самых	4	1
171	по своей природе	1	1
172	на что не	1	1
173	и ничего не	1	1
174	и вместе с	4	1
175	для него –	1	1
176	она и есть	1	1
177	быть и речи	1	1
178	– все еще	1	1
179	и кажется что	1	1
180	и вот я	1	1
181	даже и в	1	1
182	но также и	2	1
183	себя в этом	1	1
184	в этом он	4	1
185	быть может наиболее	1	1
186	это – основная	1	1
187	ни на что	1	1
188	себя в своем	2	1
189	и в той	1	1
190	что они не	1	1
191	в движении в	2	1
192	у него нет	4	1
193	в зависимости от	1	1
194	самого себя и	1	1
195	если нет ничего	1	1
196	с тем что	3	1
197	что у них	1	1
198	и есть подлинная	1	1
199	того что есть	1	1
200	в ней есть	1	1
201	не меньше чем	1	1
202	та или иная	1	1
203	как и прежде	1	1
204	в ряду других	1	1
205	всякой мысли и	1	1
206	в которой не	1	1
207	это потому что	1	1
208	лежит в самом	1	1
209	духовно и материально	1	1
210	сказать что я	1	1
211	по преимуществу есть	1	1
212	на эту тему	1	1
213	и не может	2	1
214	всегда в движении	1	1
215	может быть и	2	1
