N	2gram	Propp_Isto	Psycholo
1	то что	17	193
2	и в	40	190
3	в том	12	163
4	что в	19	123
5	потому что	12	114
6	том что	11	113
7	и что	14	108
8	может быть	37	107
9	таким образом	13	102
10	в этом	13	100
11	как бы	6	80
12	для того	1	78
13	того чтобы	3	78
14	что он	32	76
15	не только	28	75
16	на то	6	73
17	и не	19	73
18	что она	10	71
19	самом деле	2	70
20	и т	39	69
21	не может	19	68
22	если мы	4	66
23	так же	18	63
24	так как	20	63
25	было бы	11	56
26	если бы	8	55
27	то же	21	54
28	о том	12	54
29	и мы	2	54
30	совершенно ясно	3	54
31	при этом	6	52
32	как и	5	51
33	что и	9	50
34	а не	18	50
35	что это	12	49
36	сказать что	7	46
37	по себе	4	46
38	только в	16	46
39	в сущности	2	46
40	говорит что	1	45
41	к тому	6	45
42	не в	11	45
43	ясно что	2	43
44	в этой	9	43
45	показать что	2	43
46	никогда не	25	42
47	и все	1	42
48	вместе с	13	41
49	как это	6	40
50	но и	21	40
51	как раз	2	39
52	при помощи	2	39
53	того что	6	39
54	же самое	3	38
55	т п	1	38
56	и это	2	37
57	мы видим	16	37
58	и как	3	36
59	с тем	13	35
60	вовсе не	3	34
61	и если	4	34
62	и его	5	34
63	тому что	1	33
64	все же	17	33
65	когда он	9	33
66	в себе	6	32
67	все это	6	32
68	художественного произведения	1	32
69	он не	10	31
70	мы не	12	31
71	в его	10	31
72	для нас	17	31
73	в ней	10	31
74	сейчас же	1	30
75	мы увидим	17	30
76	как будто	7	30
77	никак не	1	30
78	как в	7	30
79	с одной	8	29
80	и для	5	29
81	одной стороны	7	29
82	в нем	8	29
83	увидим что	8	28
84	что они	13	28
85	и когда	4	28
86	мы можем	7	28
87	и то	3	28
88	что мы	9	28
89	в основе	4	27
90	и на	6	27
91	а в	15	27
92	с другой	8	27
93	так что	9	26
94	совершенно не	1	26
95	и здесь	15	25
96	до сих	11	24
97	до конца	1	24
98	тем что	7	24
99	указывает на	2	24
100	в целом	3	24
101	в своем	5	23
102	сих пор	12	23
103	из этого	3	23
104	один из	10	23
105	что если	2	23
106	целый ряд	1	23
107	что оно	1	23
108	для этого	3	23
109	могут быть	5	23
110	с этим	5	22
111	из них	5	22
112	что у	3	22
113	между тем	2	22
114	и даже	4	22
115	когда мы	4	22
116	всякий раз	2	22
117	т д	35	22
118	как она	3	22
119	в котором	5	21
120	том чтобы	2	21
121	в двух	1	21
122	в которых	2	21
123	той же	1	21
124	в своей	2	21
125	ни в	2	21
126	в конце	1	21
127	что эта	3	21
128	как мы	3	21
129	и вот	2	21
130	и только	4	21
131	другой стороны	7	20
132	в то	4	20
133	тот же	3	20
134	мы имеем	25	20
135	она не	6	20
136	дело с	2	20
137	несмотря на	1	20
138	на этом	3	20
139	там где	5	20
140	это не	8	20
141	все эти	6	20
142	в одном	8	19
143	что при	3	19
144	мы уже	7	19
145	в какой	4	19
146	мы должны	17	19
147	в ее	2	19
148	у него	5	19
149	он говорит	1	19
150	в которой	2	18
151	можно было	8	18
152	но в	13	18
153	зависимости от	3	18
154	в каком	2	18
155	вслед за	7	18
156	на самом	3	18
157	но не	7	18
158	и есть	5	18
159	был бы	4	18
160	перед нами	5	18
161	видим что	13	18
162	есть не	2	18
163	в виду	2	17
164	во всяком	1	17
165	полагает что	1	17
166	время как	3	17
167	что для	1	17
168	из этих	2	17
169	но это	8	17
170	одна из	4	17
171	только не	1	17
172	у нас	1	17
173	и о	1	17
174	и к	1	16
175	из которых	3	16
176	к этому	2	16
177	та же	1	16
178	сводится к	1	16
179	обратиться к	1	16
180	говорит о	2	16
181	то это	9	16
182	самого начала	4	16
183	с самого	4	16
