N	3gram	Losev_Vesc	Problema
1	тем не менее	11	56
2	о том что	4	39
3	в том что	9	37
4	и т д	36	33
5	то же самое	1	30
6	вовсе не есть	6	30
7	в связи с	1	29
8	в данном случае	2	28
9	по крайней мере	10	26
10	во всяком случае	2	25
11	с другой стороны	3	25
12	с точки зрения	6	25
13	содержит в себе	11	23
14	в конце концов	2	23
15	сам по себе	4	21
16	сама по себе	7	21
17	и то что	5	20
18	вещи есть ее	2	19
19	на то что	7	19
20	в этом смысле	2	19
21	ни в каком	6	18
22	как раз и	2	18
23	для того чтобы	2	17
24	в то же	5	17
25	же самое время	1	16
26	и тем не	5	15
27	то что мы	3	15
28	как будто бы	1	14
29	до сих пор	1	14
30	не что иное	12	14
31	что иное как	12	14
32	в этом случае	1	14
33	это значит что	25	13
34	сами по себе	3	13
35	можно было бы	3	13
36	не есть ни	12	13
37	не может быть	22	12
38	но даже и	2	12
39	так или иначе	5	12
40	в каком случае	4	12
41	также и то	1	12
42	и в частности	2	12
43	той или другой	3	12
44	и в этом	2	12
45	можно сказать что	3	12
46	в то время	4	12
47	то время как	4	12
48	дело в том	4	11
49	тех или иных	2	11
50	есть не что	8	11
51	мы должны сказать	1	11
52	или по крайней	2	11
53	бы то ни	12	11
54	с одной стороны	3	11
55	в той или	2	10
56	не только не	4	10
57	даже и не	2	10
58	вместе с тем	3	10
59	и не просто	3	10
60	более или менее	4	10
61	только то что	3	10
62	пусть хотя бы	1	10
63	не только в	5	10
64	каком случае не	2	9
65	должны сказать что	1	9
66	т д и	11	9
67	не есть только	5	9
68	то и другое	6	9
69	может быть и	1	9
70	никак не может	1	8
71	д и т	10	8
72	самом же деле	1	8
73	на самом же	1	8
74	только в том	1	8
75	что же такое	4	8
76	может быть только	6	8
77	потому что он	1	8
78	только тогда когда	2	8
79	уж тем более	1	8
80	заключается в том	3	8
81	о том как	4	7
82	когда мы говорим	1	7
83	те или иные	1	7
84	но и в	1	7
85	имеется в виду	1	7
86	то или иное	1	7
87	уж во всяком	1	7
88	в том или	2	7
89	и уж тем	1	7
90	мы находим в	2	7
91	это и есть	4	7
92	только потому что	1	7
93	тот или иной	1	7
94	и как бы	1	6
95	по себе но	1	6
96	в самом деле	7	6
97	и то же	5	6
98	то это значит	3	6
99	и только в	1	6
100	те или другие	4	6
101	не имеет никакого	2	6
102	ни в какой	1	6
103	то что в	1	6
104	можно ли сказать	3	6
105	было бы весьма	1	6
106	взятая сама по	1	6
107	крайней мере в	2	6
108	не есть просто	5	6
109	хотя бы даже	2	6
110	даже и в	1	6
111	то ни было	12	6
112	на первый план	1	6
113	тех или других	4	6
114	в том смысле	1	6
115	есть прежде всего	4	6
116	в этом отношении	2	6
117	само по себе	4	6
118	по себе а	1	5
119	в собственном смысле	3	5
120	хотя бы и	2	5
121	указывает на то	3	5
122	только о том	2	5
123	вовсе еще не	1	5
124	свидетельствует о том	3	5
125	ли сказать что	3	5
126	символ не есть	1	5
127	если мы возьмем	3	5
128	так же как	2	5
129	взятый сам по	1	5
130	та или иная	1	5
131	том смысле что	1	5
132	того или другого	1	5
133	уже по одному	1	5
134	в зависимости от	1	5
135	и прежде всего	1	5
136	потому что оно	1	5
137	сих пор мы	1	5
138	и что такое	1	5
139	тем или другим	2	5
140	по себе и	1	5
141	не просто как	1	5
142	несет с собой	1	5
143	только и можно	1	5
144	только в виде	1	5
145	одно и то	5	5
146	да и то	1	5
147	том что он	2	5
148	ни о каком	2	5
149	потому что они	4	5
150	и больше ничего	12	4
151	у нас в	2	4
152	если мы скажем	1	4
153	дело не в	1	4
154	в коем случае	1	4
155	мы еще не	2	4
156	то в чем	1	4
157	уже не есть	2	4
158	и вместе с	1	4
159	они вовсе не	1	4
160	но все же	2	4
161	в одном случае	1	4
162	мы имеем дело	2	4
163	и потому что	1	4
164	с большим трудом	1	4
165	мы скажем что	1	4
166	в том чтобы	2	4
167	том или другом	2	4
168	этой точки зрения	3	4
169	все же не	3	4
170	он не есть	1	4
171	не было бы	1	4
172	это уже не	1	4
173	в себе не	1	4
174	вопрос о том	2	4
175	еще и потому	1	4
176	это было бы	1	4
177	здесь не только	1	4
178	не значит что	1	4
179	есть также и	1	4
180	в смысловом отношении	1	4
181	именно потому что	1	4
182	ни в коем	1	4
183	и во всяком	1	4
184	а это значит	1	4
185	а не что-нибудь	1	4
186	а еще и	1	4
187	равно как и	4	4
188	мы все же	1	4
189	ту или иную	3	4
190	не потому что	5	4
191	и не в	3	4
192	и не было	1	4
193	что бы то	1	4
194	но ясно что	1	4
195	подобно тому как	5	4
196	есть то что	4	4
197	никакого отношения к	2	4
198	так что в	3	4
199	на эту тему	1	4
200	в новое время	1	4
201	то обстоятельство что	1	4
202	одной стороны и	1	3
203	это не значит	1	3
204	но еще и	3	3
205	то что он	2	3
206	в результате этого	1	3
207	то что не	2	3
208	а тем не	3	3
209	все еще не	1	3
210	потому что она	1	3
211	дело вовсе не	1	3
212	то ясно что	2	3
213	смысл вещи есть	1	3
214	никуда не годится	2	3
215	таким образом что	1	3
216	нельзя сказать что	2	3
217	в отдельности и	2	3
218	и того же	1	3
219	то что у	2	3
220	не имеют никакого	1	3
221	к тому что	2	3
222	несмотря ни на	1	3
223	ни к какому	1	3
224	сущность и явление	5	3
225	всего то что	2	3
226	и самой вещи	1	3
227	не то что	1	3
228	представим себе что	1	3
229	мы говорим что	3	3
230	в чем же	5	3
231	что не только	1	3
232	никак нельзя сказать	1	3
233	ничего общего ни	1	3
234	что он обозначает	1	3
235	и даже вообще	1	3
236	отнюдь не есть	2	3
237	ничто не мешает	2	3
238	не может обойтись	1	3
239	с тем что	1	3
240	том что и	1	3
241	что может быть	1	3
242	что и в	1	3
243	с этой точки	3	3
244	общего ни с	1	3
245	тем более не	1	3
246	как же это	1	3
247	и это вовсе	2	3
248	уже не просто	2	3
249	по сравнению с	7	3
250	вовсе не в	1	3
251	при современном состоянии	1	3
252	в подлинном смысле	2	3
253	и есть то	2	3
254	но это только	1	3
255	одного и того	1	3
256	случае не может	1	3
257	хотя бы в	2	3
258	а есть только	2	3
259	в истории философии	1	3
260	и в то	3	3
261	является не просто	1	3
262	то или другое	2	3
263	этом смысле и	1	3
264	и не есть	2	3
265	вещи и самой	1	3
266	и может быть	1	3
267	от того что	4	3
268	не есть нечто	1	3
269	того что мы	1	3
270	в одно целое	1	3
271	и того что	1	3
272	далеко не все	1	3
273	но в то	1	3
274	можно ли в	1	3
275	мы не знаем	1	3
276	и ничего не	1	3
277	но можно ли	1	3
278	ни на какие	1	3
279	в этом понятии	1	3
280	вещи и ее	1	3
281	но то что	3	2
282	в то или	1	2
283	не только то	1	2
284	том что это	1	2
285	и для всего	1	2
286	точка зрения на	1	2
287	по одному этому	1	2
288	как мы говорили	1	2
289	не говорит о	2	2
290	ничего не говорит	1	2
291	а в том	1	2
292	ни с чем	2	2
293	тоже ведь есть	1	2
294	у него и	1	2
295	не может существовать	1	2
296	ничего не обозначает	1	2
297	как бы мы	1	2
298	что оно есть	5	2
299	в отвлеченном смысле	1	2
300	по себе отнюдь	1	2
301	ни от чего	3	2
302	не больше как	1	2
303	но только в	1	2
304	это и значит	4	2
305	не может считаться	2	2
306	но также и	1	2
307	можно говорить о	2	2
308	уже это одно	1	2
309	может обойтись без	1	2
310	если это так	2	2
311	каждой из них	1	2
312	значит что мы	6	2
313	если мы действительно	1	2
314	вот это и	1	2
315	заключается не в	2	2
316	и говорить о	1	2
317	что она есть	3	2
318	есть не просто	2	2
319	но как раз	1	2
320	современном состоянии науки	1	2
321	т д все	1	2
322	на действительность и	2	2
323	такое положение дела	1	2
324	с чем мы	2	2
325	только в очень	1	2
326	вещь есть нечто	1	2
327	это так то	2	2
328	собой и не	1	2
329	и без всякого	2	2
330	именно тем что	3	2
331	один и тот	1	2
332	в ту или	1	2
333	самому своему смыслу	1	2
334	с самим собою	2	2
335	для тех или	2	2
336	то что является	4	2
337	в символе нет	1	2
338	по своей структуре	1	2
339	может быть никакого	1	2
340	каких бы то	1	2
341	себе не содержит	1	2
342	мы не можем	3	2
343	д все это	1	2
344	по самому своему	1	2
345	было бы мало	1	2
346	тоже никуда не	1	2
347	и все же	1	2
348	а так как	2	2
349	с самой вещью	3	2
350	смысл но не	1	2
351	является одним из	1	2
352	того же типа	1	2
353	что он не	1	2
354	как и во	1	2
355	не просто смысл	1	2
356	и тот же	1	2
357	только в меру	1	2
358	а не только	2	2
359	в себе в	4	2
360	но если это	3	2
361	совсем другое дело	1	2
362	однако и здесь	1	2
363	еще не вполне	1	2
364	свой собственный смысл	1	2
365	это есть именно	1	2
366	и для всякой	1	2
367	есть еще и	2	2
368	и многих других	1	2
369	еще до всякого	1	2
370	но и всякий	1	2
371	не относится к	1	2
372	между собою и	3	2
373	чего бы то	2	2
374	являются не просто	1	2
375	а потому что	1	2
376	в их фактическом	1	2
377	даже больше того	6	2
378	не может не	3	2
379	которая была бы	2	2
380	сознательно и намеренно	1	2
381	а не в	2	2
382	только на то	1	2
383	вещи и не	2	2
384	вообще не есть	3	2
385	в свою очередь	5	2
386	и для всех	1	2
387	что он есть	1	2
388	или хотя бы	1	2
389	и не может	1	2
390	случае не есть	2	2
391	но только с	1	2
392	так что мы	1	2
393	он должен быть	1	2
394	только не мешает	1	2
395	есть указание на	1	2
396	что в результате	2	2
397	не что-нибудь иное	1	2
398	здесь как и	1	2
399	один из моментов	1	2
400	хотя это и	1	2
401	а следовательно и	2	2
402	это не только	1	2
403	представление об этом	1	2
404	если мы хотим	1	2
405	она есть нечто	1	2
406	что не есть	4	2
407	на то или	1	2
408	а только в	1	2
409	и здесь мы	1	2
410	ничего не значит	2	2
411	это совершенно неверно	1	2
412	очень много и	1	2
413	как раз в	2	2
414	от всего прочего	8	2
415	и это будет	2	2
416	ни тем более	2	2
417	не указывает на	3	2
418	и то и	1	2
419	самой по себе	1	2
420	и в самом	1	2
421	и что он	1	2
422	но не просто	1	2
423	и не только	6	2
424	в себе и	1	2
425	в основе своей	2	2
426	не существует это	1	2
427	мы уже сказали	1	2
428	есть именно вещь	1	1
429	указывает на него	2	1
430	относится к сфере	1	1
431	тот момент в	2	1
432	смысл хотя и	1	1
433	ни только явление	1	1
434	до самого последнего	1	1
435	и тут не	1	1
436	в одном и	2	1
437	нет ничего иного	1	1
438	от каких других	1	1
439	все дело заключается	1	1
440	что она не	1	1
441	тоже состоит из	1	1
442	ни то ни	1	1
443	перед нами как	1	1
444	сознание что и	1	1
445	и следовательно вообще	1	1
446	такой вещи которая	1	1
447	и логики и	1	1
448	только и возможно	1	1
449	что в ней	3	1
450	различны между собою	1	1
451	к действительности и	1	1
452	вещи едва ли	1	1
453	она есть субстанция	1	1
454	но она является	1	1
455	только не есть	1	1
456	да и сама	1	1
457	на бесконечный ряд	1	1
458	сама вещь в	1	1
459	с давних времен	1	1
460	это такой смысл	1	1
461	указывает не на	1	1
462	необходимо думать что	1	1
463	они все же	1	1
464	тоже указывает на	1	1
465	ни даже просто	1	1
466	в меру ее	1	1
467	решения вопроса о	1	1
468	вещи есть сама	2	1
469	при каких условиях	1	1
470	приводить нас к	1	1
471	есть не только	2	1
472	обозначает и есть	1	1
473	и ни на	1	1
474	тем более нечто	1	1
475	смерть а не	1	1
476	которых идет речь	1	1
477	которое было бы	1	1
478	мы замечаем что	1	1
479	не случайно не	2	1
480	это не есть	2	1
481	и что она	2	1
482	если мы попробуем	1	1
483	отличаются между собою	1	1
484	то что есть	1	1
485	что к нему	1	1
486	в своем постоянном	1	1
487	если нет ничего	1	1
488	есть он сам	1	1
489	имеют в виду	1	1
490	становления и в	1	1
491	говорили о смысле	1	1
492	что также и	1	1
493	также что это	1	1
494	так как она	1	1
495	он только и	1	1
496	в самом общем	1	1
497	кроме того что	1	1
498	т д в	1	1
499	из них в	1	1
500	одной из самых	1	1
501	может не быть	1	1
502	ведь никто не	1	1
503	с тем или	1	1
504	сейчас мы можем	1	1
505	того что в	1	1
506	бы оно было	1	1
507	стоит на точке	1	1
508	с этой стороны	1	1
509	и даже больше	1	1
510	вырастает на почве	2	1
511	смысле этого слова	1	1
512	если оно есть	1	1
513	представьте себе что	1	1
514	речь идет о	1	1
515	и переходит в	1	1
516	итак если вещь	1	1
517	том о чем	1	1
518	по этому предмету	1	1
519	та или другая	1	1
520	и все эти	1	1
521	отнюдь не всегда	1	1
522	не есть и	1	1
523	что смысл вещи	1	1
524	пусть мы имеем	1	1
525	вещей в их	1	1
526	все что угодно	2	1
527	себя самого во	1	1
528	еще не знали	1	1
529	быть и речи	1	1
530	и таким образом	2	1
531	то ни другое	1	1
532	остановиться на одной	1	1
533	и кажется что	1	1
534	быть не только	2	1
535	ничем не отличаются	1	1
536	живого существа к	1	1
537	и значит быть	1	1
538	о которой ничего	1	1
539	в действительности не	1	1
540	в ней не	1	1
541	на том основании	1	1
542	только один из	2	1
543	в своем месте	1	1
544	хотя бы только	1	1
545	и вот эта	1	1
546	другого и не	1	1
547	есть нечто совершенно	2	1
548	как таковую и	1	1
549	и вообще всякую	1	1
550	понятие должно быть	1	1
551	имеем дело в	1	1
552	время как другие	1	1
553	не нуждается в	1	1
554	и с другой	2	1
555	предполагает что есть	2	1
556	ясно что смысл	1	1
557	что то же	2	1
558	вместе с развитием	1	1
559	таким образом и	1	1
560	действительность и ее	2	1
561	мы будем говорить	1	1
562	но так как	1	1
563	в той же	1	1
564	если она только	2	1
565	и заставляет нас	1	1
566	коем случае не	1	1
567	но в смысле	1	1
568	она еще не	1	1
569	не в шутку	1	1
570	только различны то	1	1
571	их жизни и	1	1
572	с тем же	1	1
573	том как эта	1	1
574	в ней нет	1	1
575	или как о	1	1
576	сказать что она	3	1
577	и том же	1	1
578	не обязательно для	1	1
579	по существу же	1	1
580	внутреннем и внешнем	1	1
581	по существу своему	1	1
582	она содержит в	1	1
583	не есть что-нибудь	1	1
584	он сам и	1	1
585	дело не с	2	1
586	во всех языках	1	1
587	действительность есть нечто	1	1
588	как это было	1	1
589	виде потому что	1	1
590	проявляется в них	1	1
591	не только это	3	1
592	вообще но в	1	1
593	и в особенности	1	1
594	самой вещи и	3	1
595	не сама субстанция	1	1
596	уже не будет	3	1
597	действительность как бы	1	1
598	ясно что это	1	1
599	того чтобы мы	1	1
600	не есть ли	3	1
601	и даже просто	1	1
602	возникают сами собой	1	1
603	было бы сказать	2	1
604	то что вы	1	1
605	чем же дело?	1	1
606	должен признать что	1	1
607	не просто символ	1	1
608	ясно также что	1	1
609	есть ни просто	2	1
610	есть ли он	1	1
611	и даже с	1	1
612	самой вещи для	1	1
613	то что смысл	1	1
614	было бы представить	1	1
615	и можно ли	1	1
616	что они состоят	1	1
617	так и ее	1	1
618	есть сразу и	1	1
619	вещь есть именно	1	1
620	и когда в	1	1
621	допустим что мы	1	1
622	так как будто	1	1
623	есть только и	1	1
624	который только и	1	1
625	мало и этого	1	1
626	или что то	2	1
627	определенным образом оформленный	1	1
628	и один из	1	1
629	из того что	3	1
630	имеем дело не	2	1
631	для того что	1	1
632	вещи как ее	1	1
633	было то что	1	1
634	ли это что	4	1
635	и возможно при	1	1
636	нет никакой нужды	1	1
637	если оно не	3	1
638	одном и том	1	1
639	тут не может	1	1
640	превратилось бы в	1	1
641	тем же самым	1	1
642	тут можно идти	1	1
643	ничего иного кроме	1	1
644	говорили выше что	1	1
645	можно только тогда	1	1
646	что человек есть	1	1
647	один и единственный	1	1
648	просто образом действительности	1	1
649	что же нужно	1	1
650	но раз уж	1	1
651	она и есть	1	1
652	что он дал	1	1
653	и в котором	1	1
654	оно всегда в	1	1
655	как бы ни	2	1
656	в настоящем же	1	1
657	образ сливаются в	1	1
658	вопросом о том	1	1
659	о чем не	1	1
660	она все же	1	1
661	отличаться от всего	1	1
662	есть ни сама	1	1
663	а без этого	1	1
664	превратился бы в	2	1
665	и в той	1	1
666	сказать что тут	1	1
667	к смысловой сфере	2	1
668	хотя бы один	1	1
669	у него нет	1	1
670	оказывается вовсе не	1	1
671	себе отнюдь не	1	1
672	тем что она	1	1
673	или указывает на	1	1
674	не менее сущность	1	1
675	то он и	1	1
676	правильно или неправильно	1	1
677	и не подозревает	1	1
678	мы без труда	1	1
679	при более подробном	1	1
680	больше ничего в	1	1
681	в свете того	1	1
682	о них мы	1	1
683	на этой точке	1	1
684	уже одно то	1	1
685	вещи есть и	1	1
686	самое большее что	1	1
687	предстают перед нами	1	1
688	как эта категория	1	1
689	но и для	1	1
690	еще ничего не	1	1
691	всерьез а не	1	1
692	что у нас	1	1
693	и что их	1	1
694	того чтобы обеспечить	1	1
695	и следовательно от	1	1
696	то что на	1	1
697	на идею и	1	1
698	в самом начале	1	1
699	и то это	1	1
700	например и в	1	1
701	то и в	1	1
702	быть только у	1	1
703	бы и не	1	1
704	вещи не есть	4	1
705	с самого же	1	1
706	не есть вещь	4	1
707	есть ни то	1	1
708	вещи всегда есть	1	1
709	без труда заметим	1	1
710	привело бы к	2	1
711	это значило бы	3	1
712	потому что сначала	1	1
713	с самими вещами	1	1
714	других все это	1	1
