N	3gram	Bakhtin_sl	Morfolog
1	и т д	7	60
2	в этих случаях	1	14
3	мы видим что	1	11
4	в этом случае	4	10
5	не может быть	11	9
6	в связи с	2	9
7	по отношению к	2	7
8	с точки зрения	11	6
9	тем не менее	2	6
10	то перед нами	1	5
11	с другой стороны	5	5
12	а также и	3	5
13	в том что	4	4
14	не могут быть	3	4
15	к тому что	2	4
16	но все же	1	4
17	на то что	1	3
18	в большинстве случаев	11	3
19	о том что	2	3
20	в собственном смысле	2	3
21	как и в	2	3
22	для того чтобы	1	3
23	в то время	2	3
24	бы то ни	1	3
25	в первом случае	2	3
26	далеко не все	1	3
27	то время как	2	3
28	это не значит	2	2
29	до наших дней	1	2
30	мы увидим что	1	2
31	ни одной из	1	2
32	тем и другим	2	2
33	более или менее	5	2
34	для наших целей	1	2
35	он может быть	1	2
36	хотя и не	1	2
37	можно было бы	2	2
38	в данном случае	3	2
39	мы имеем в	1	2
40	то ни было	1	2
41	не входит в	1	2
42	а вовсе не	4	2
43	во всяком случае	7	2
44	с одной стороны	7	2
45	в этом отношении	2	2
46	то прежде всего	1	2
47	может быть и	2	2
48	путь на котором	1	1
49	сих пор не	2	1
50	остановимся на нескольких	1	1
51	в свою очередь	3	1
52	и могут быть	1	1
53	к тому или	1	1
54	чем перейти к	1	1
55	в других случаях	2	1
56	и даже не	1	1
57	и наконец даже	1	1
58	как один из	1	1
59	тем как в	1	1
60	в применении к	1	1
61	до известной степени	3	1
62	действующих лиц и	1	1
63	всем ее объеме	1	1
64	но и здесь	3	1
65	и может быть	1	1
66	основе ее лежат	1	1
67	связи с изучением	1	1
68	в чем же	1	1
69	и заставляет его	1	1
70	и их слова	1	1
71	точном смысле слова	1	1
72	здесь перед нами	1	1
73	перед нами в	1	1
74	в первый раз	1	1
75	обстоит дело с	1	1
76	с этой точки	1	1
77	может войти в	1	1
78	можно сказать что	1	1
79	но чаще всего	1	1
80	в какой степени	1	1
81	один из важнейших	2	1
82	поэтому прежде чем	1	1
83	могут быть заменены	1	1
84	более и более	1	1
85	в то же	15	1
86	тех или иных	1	1
87	и то же	2	1
88	как мы уже	4	1
89	они ни были	1	1
90	прежде чем перейти	1	1
91	в основе ее	2	1
92	в противном случае	1	1
93	друг с другом	2	1
94	до сих пор	4	1
95	все более и	1	1
96	может быть окрашена	1	1
97	сюда прежде всего	1	1
98	же время и	2	1
99	т д можно	1	1
100	иметь в виду	1	1
101	за тридевять земель	1	1
102	одно и то	2	1
103	той или иной	13	1
104	и др эти	1	1
105	друг друга могут	1	1
106	если бы мы	1	1
107	но как мы	1	1
108	свою очередь также	1	1
109	во всех этих	2	1
110	бы они ни	1	1
111	всех этих случаях	1	1
112	далеко не исчерпывают	1	1
113	не стремится к	1	1
114	так как во	1	1
115	с самого начала	1	1
116	и не определяют	1	1
117	том что он	1	1
118	и у него	1	1
119	лишь на то	1	1
120	в точном смысле	1	1
121	одна из форм	1	1
122	это было бы	1	1
123	хотя бы только	1	1
124	но в этом	2	1
125	не может войти	1	1
126	дело идет об	1	1
127	этой точки зрения	1	1
128	его к своей	1	1
129	а в сущности	1	1
130	и там где	5	1
131	в другом случае	3	1
132	во всем ее	1	1
133	или во всяком	2	1
134	формы передачи и	2	1
135	то же время	15	1
136	все эти явления	1	1
137	и как он	1	1
138	но это не	1	1
139	уже не только	2	1
140	самая постановка вопроса	1	1
141	самого начала в	1	1
142	те или иные	4	1
143	мы не можем	1	1
