N	2gram	Medvedev_U	Literetu
1	а не	10	50
2	и не	8	47
3	не только	10	46
4	и в	14	44
5	может быть	6	43
6	но и	4	41
7	в том	2	39
8	в этом	7	38
9	том что	2	32
10	в частности	3	30
11	то что	7	29
12	в качестве	1	27
13	то же	5	26
14	как и	3	23
15	в то	3	23
16	не в	2	22
17	того что	1	22
18	так и	1	22
19	не может	7	22
20	же время	3	21
21	в себе	2	20
22	прежде всего	8	19
23	с другой	4	17
24	то есть	1	17
25	в его	2	17
26	в этой	4	16
27	только в	2	15
28	и даже	1	14
29	что он	2	14
30	эстетического объекта	6	13
31	уже не	1	13
32	в своем	1	13
33	с одной	1	13
34	но не	2	13
35	в своей	3	12
36	о том	1	12
37	в данном	1	12
38	одной стороны	1	12
39	одним из	2	12
40	всего лишь	1	12
41	не столько	2	11
42	никогда не	1	11
43	в конечном	4	11
44	с его	2	11
45	данном случае	1	11
46	это не	3	11
47	или иначе	1	11
48	конечном счете	4	10
49	в противовес	2	10
50	не случайно	2	10
51	что в	1	10
52	для себя	1	10
53	так или	1	10
54	этом отношении	2	10
55	отнюдь не	1	10
56	в области	3	10
57	искусства и	1	9
58	одно из	1	9
59	отказ от	1	9
60	и т.д	3	9
61	же в	1	9
62	тем что	2	8
63	все же	3	8
64	как раз	2	8
65	в конце	2	8
66	художественного творчества	5	8
67	той же	1	8
68	но в	3	8
69	для него	3	8
70	по существу	2	8
71	в искусстве	6	8
72	в самом	2	7
73	другой стороны	3	7
74	для всех	2	7
75	в художественном	5	7
76	для этого	3	7
77	не как	3	7
78	он не	1	7
79	и с	2	7
80	в нем	1	7
81	в сфере	1	7
82	до конца	1	7
83	и для	2	7
84	перестает быть	5	7
85	он и	1	7
86	у нас	3	7
87	в их	4	7
88	в виду	1	6
89	как на	1	6
90	у него	1	6
91	не было	1	6
92	эстетический объект	1	6
93	было бы	3	6
94	самом деле	2	6
95	поэзии и	1	6
96	то и	1	6
97	и др	1	6
98	и то	3	6
99	что ему	1	6
100	произведения искусства	3	6
101	в ней	1	6
102	далеко не	1	6
103	и только	5	6
104	тех кто	1	5
105	об искусстве	1	5
106	хотя бы	5	5
107	должно быть	1	5
