N	2gram	Nazirov_Tr	VLabPisa
1	таким образом	1	32
2	в этом	9	29
3	не только	8	26
4	и в	18	26
5	и т	1	25
6	может быть	7	23
7	во сне	2	21
8	и не	7	20
9	хотя бы	1	20
10	т е	1	18
11	не может	5	17
12	творческий процесс	1	17
13	в его	3	15
14	в том	2	15
15	все это	4	13
16	прежде всего	4	13
17	вот что	1	12
18	в частности	2	12
19	как это	3	12
20	что в	4	11
21	то же	5	10
22	не могут	2	10
23	о том	2	10
24	но и	4	10
25	и др	1	10
26	для него	3	9
27	об этом	4	9
28	т п	1	9
29	могут быть	1	8
30	только в	1	8
31	по словам	2	8
32	все эти	3	8
33	вместе с	1	8
34	том что	4	8
35	в своем	3	8
36	в основном	3	7
37	это не	5	7
38	говорит о	2	7
39	в году	9	7
40	не было	1	7
41	тому что	1	7
42	как и	5	7
43	во всех	1	7
44	а не	1	7
45	то что	4	7
46	в нем	4	7
47	один из	3	6
48	у него	6	6
49	все же	5	6
50	это и	1	6
51	бы и	2	6
52	он же	1	6
53	не в	2	6
54	между тем	1	6
55	так и	5	6
56	в себе	4	6
57	и его	6	6
58	в то	5	6
59	образы и	1	5
60	утверждать что	1	5
61	в результате	1	5
62	в них	1	5
63	связи с	1	5
64	одним из	1	5
65	как говорит	2	5
66	к тому	2	5
67	перед нами	2	5
68	не является	1	5
69	вот почему	1	5
70	и при	1	5
71	в одном	2	5
72	же время	6	5
73	как бы	7	5
74	в целом	4	5
75	и есть	1	5
76	никогда не	2	5
77	в самом	2	4
78	только что	1	4
79	вот как	1	4
80	в ее	2	4
81	в этой	4	4
82	что все	2	4
83	что он	6	4
84	в виду	1	4
85	в романе	10	4
86	с тем	2	4
87	с ними	1	4
88	в своей	1	4
89	одном из	2	4
90	роль в	1	4
91	с его	2	4
92	чем же	1	4
93	в связи	1	4
94	же говорит	1	4
95	одна из	2	4
96	рассказывает о	1	4
97	по поводу	2	4
98	отнюдь не	3	4
99	и ее	2	4
100	что оно	1	3
101	и он	3	3
102	естественно что	1	3
103	того что	1	3
104	но как	1	3
105	что и	2	3
106	его в	2	3
107	в форме	1	3
108	говорит в	1	3
109	это мы	1	3
110	именно в	1	3
111	в конце	3	3
112	например в	1	3
113	и как	3	3
114	например что	1	3
115	бы в	1	3
116	при создании	1	3
117	попал в	1	3
118	говорил что	1	3
119	что не	1	3
120	в котором	1	3
121	она не	1	3
122	того чтобы	1	3
123	идей и	1	3
124	и их	1	3
125	как он	1	3
126	так же	4	3
127	человека и	1	3
128	и от	1	3
129	что без	1	3
130	что говорит	2	3
131	и по	1	3
132	в особенности	1	2
133	к сожалению	1	2
134	отметить что	1	2
135	им как	1	2
136	только не	1	2
137	писателя и	2	2
138	достоевского и	1	2
139	на вопрос	1	2
140	также что	1	2
141	замысел и	1	2
142	должно быть	3	2
143	того как	1	2
144	с одной	1	2
145	должна быть	1	2
146	подчеркнуть что	1	2
147	о чем	3	2
148	что при	1	2
149	по слову	1	2
150	а затем	1	2
151	как у	2	2
152	и достоевский	1	2
153	из своих	2	2
154	не столько	1	2
155	по себе	1	2
156	ума и	1	2
157	и даже	4	2
158	и наконец	1	2
159	в которой	1	2
160	мысль о	1	2
161	что она	2	2
162	но не	1	2
163	в ней	1	2
164	на этом	1	2
165	не вполне	1	2
166	не менее	1	2
167	так сказать	1	2
168	бы не	1	2
169	после того	1	2
170	в стихах	1	2
171	в чем	1	2
172	могло бы	1	2
173	года и	1	2
174	начнем с	1	2
175	еще не	4	2
176	даже самый	1	2
177	братьях карамазовых	1	2
178	во всяком	1	2
179	и потому	1	2
180	понятно что	1	2
181	а к	1	2
182	было в	2	2
183	а как	2	2
184	ли это	1	2
185	всяком случае	1	2
186	ту же	1	2
187	в другом	1	2
188	не быть	1	2
189	из себя	1	2
190	в образах	1	2
191	лишь в	1	2
192	можно было	1	2
193	даже не	1	2
194	и сам	3	2
195	носит в	1	2
196	он и	2	2
197	к ним	1	2
198	в книге	1	2
199	он в	1	2
200	в сфере	1	2
201	заключается в	1	2
202	о его	2	2
203	в известной	2	2
204	в образе	6	2
205	он не	2	2
206	в общем	1	2
207	и непосредственного	1	2
208	который в	2	2
209	он сам	7	2
210	пародия на	1	2
211	в области	1	2
212	что даже	1	2
213	э по	1	2
214	конце концов	1	2
215	чтобы не	1	2
216	три года	1	2
217	только о	2	2
218	июля года	1	2
219	таков второй	1	2
220	но в	6	2
221	вплоть до	1	2
222	в той	1	1
223	ответа на	1	1
224	для самого	1	1
225	ситуации и	1	1
226	н толстой	1	1
227	то в	1	1
228	в кругу	1	1
229	от него	1	1
230	этом случае	1	1
231	романа с	1	1
232	и то	2	1
233	не нашел	1	1
234	человеческой личности	2	1
235	взгляд на	1	1
236	перед сном	1	1
237	ни в	2	1
238	мы видим	1	1
239	достоевского в	3	1
240	эдгара по	1	1
241	опирается на	1	1
242	смотреть на	1	1
243	что наконец	1	1
244	перед собою	1	1
245	данном случае	2	1
246	то есть	3	1
247	его самого	1	1
248	непосредственного чувства	1	1
249	по замыслу	2	1
250	свидетельствует о	1	1
251	к этой	1	1
252	главное для	1	1
253	почти не	1	1
254	случайное и	1	1
255	замысел его	1	1
256	он всегда	4	1
257	с этой	1	1
258	только нет	1	1
259	дело с	1	1
260	в применении	1	1
261	несмотря на	5	1
262	быть отнесены	1	1
263	для характеристики	1	1
264	что делать?	2	1
265	не для	1	1
266	с ним	3	1
267	романа в	1	1
268	приступил к	1	1
269	сам по	1	1
270	не способен	1	1
271	о нем	1	1
272	не как	1	1
273	и опирается	1	1
274	для нас	1	1
275	и всегда	1	1
276	каким же	1	1
277	нет это	1	1
278	чем он	2	1
279	сознает свою	1	1
280	как нечто	1	1
281	не знать	1	1
282	в русском	2	1
283	в виде	2	1
284	говорит он	1	1
285	тем дело	1	1
286	как же	2	1
287	так выразиться	1	1
288	в духе	1	1
289	но он	1	1
290	самом деле	1	1
291	но все	2	1
292	еще раз	2	1
293	этого не	1	1
294	а также	1	1
295	сказал что	1	1
296	не получил	1	1
297	приходит в	1	1
298	даже на	2	1
299	и судьбы	1	1
300	и все	4	1
301	же по	1	1
302	во взглядах	1	1
303	является чисто	1	1
304	эти образы	1	1
305	на себя	1	1
306	развития в	1	1
307	тем что	2	1
308	от всего	2	1
309	далее следует	1	1
310	при которой	1	1
311	в таком	2	1
312	если он	1	1
313	между этими	2	1
314	все герои	1	1
315	из тех	1	1
316	с жизнью	1	1
317	вряд ли	2	1
318	состоит из	2	1
319	по определению	1	1
320	и вместе	1	1
321	карамазовых даже	1	1
322	при таком	1	1
323	как в	3	1
324	этом свидетельствует	1	1
325	что ее	1	1
326	неожиданное появление	1	1
327	еще к	1	1
328	не имеет	2	1
329	но у	1	1
330	между собой	1	1
331	если можно	1	1
332	сравнению с	1	1
333	первоначальный замысел	1	1
334	это было	1	1
335	он вполне	1	1
336	знает что	2	1
337	и это	2	1
338	к числу	1	1
339	это происходит	1	1
340	процесс у	1	1
341	затем начинает	1	1
342	это самое	1	1
343	героя и	1	1
344	эти же	1	1
345	в дальнейшем	5	1
346	жизнь и	3	1
347	что эти	2	1
348	которых можно	1	1
349	бросается в	2	1
350	отцов и	1	1
351	необходимое условие	1	1
352	вызова и	1	1
353	совершенно не	1	1
354	как много	1	1
355	более чем	1	1
356	всего необходимо	1	1
357	в данном	2	1
358	для достижения	1	1
359	силы и	1	1
360	виду не	1	1
361	и мира	1	1
362	говорит по	1	1
363	что этот	2	1
364	вопрос о	2	1
365	это понятие	1	1
366	материал своих	1	1
367	в братьях	1	1
368	применении к	1	1
369	которой он	1	1
370	за этими	1	1
371	творца и	1	1
372	он был	2	1
373	от природы	1	1
374	это как	1	1
375	есть в	1	1
376	всего этого	1	1
377	стихах и	1	1
378	уже в	3	1
379	и дети	2	1
380	по сравнению	1	1
381	необходимо подчеркнуть	1	1
382	цитата из	1	1
383	в понятие	1	1
384	отцы и	2	1
385	характерны для	1	1
386	друг друга	2	1
387	потому что	2	1
388	о совершенно	1	1
389	идет в	1	1
390	если так	1	1
391	если б	2	1
392	только один	1	1
393	а по	1	1
394	значение для	1	1
395	только на	1	1
396	и детей	2	1
397	что эта	1	1
398	старика и	1	1
399	и если	1	1
400	есть и	1	1
401	и что	4	1
402	один раз	1	1
403	к области	2	1
404	за пределы	1	1
405	а между	1	1
406	но только	1	1
407	говорит что	2	1
408	у достоевского	5	1
409	еще в	2	1
410	толстой и	1	1
411	доходит до	1	1
412	этого образа	1	1
413	в истории	1	1
414	романа и	3	1
415	или как	1	1
416	самого начала	1	1
417	это его	1	1
418	этой схемы	1	1
419	в глаза	2	1
420	крест и	1	1
421	не случайно	2	1
422	достоевский говорил	1	1
423	личности и	2	1
424	значение и	1	1
425	был прав	1	1
426	знает и	1	1
427	достоевский в	7	1
428	или вообще	1	1
429	и еще	1	1
430	признается что	1	1
431	отношение к	2	1
432	как мы	1	1
433	со своими	1	1
434	же не	1	1
435	к ней	1	1
436	не случайное	1	1
437	можно так	1	1
438	и служит	1	1
439	к ее	1	1
440	в ходе	2	1
441	мы бы	1	1
442	литературы на	1	1
443	и чисто	1	1
444	обратимся к	1	1
445	действия не	1	1
446	быть в	1	1
447	в ход	1	1
448	уже не	2	1
449	не значит	1	1
450	грубость и	1	1
451	слова в	1	1
452	роль играет	1	1
453	свободен только	1	1
454	своих романов	1	1
455	причем в	1	1
456	и художественной	1	1
457	на этот	1	1
458	жизнью и	2	1
459	быть свободен	1	1
460	согласиться с	1	1
461	как будто	3	1
462	году и	1	1
463	о своих	1	1
464	романа или	1	1
465	этими двумя	2	1
466	это в	1	1
467	он пытался	1	1
468	но это	4	1
469	самого автора	1	1
470	с ее	3	1
471	в самой	1	1
472	не был	2	1
473	в какой-то	1	1
474	и особенно	1	1
475	его воображение	1	1
476	общеизвестно что	1	1
477	характерно что	1	1
478	в черновиках	1	1
479	исключительное значение	1	1
480	некоторые черты	1	1
481	что на	1	1
482	судя по	1	1
483	с того	1	1
484	не к	1	1
485	воображение всегда	1	1
486	у которого	1	1
