N	2gram	Voloshinov	Myshleni
1	в том	3	195
2	внутренней речи	18	191
3	в этом	10	167
4	то что	9	166
5	и в	42	162
6	том что	3	161
7	в развитии	1	151
8	таким образом	8	147
9	точки зрения	11	143
10	с помощью	6	131
11	что в	1	119
12	не только	28	116
13	того что	4	109
14	в процессе	6	101
15	так же	4	100
16	речи и	6	99
17	потому что	7	95
18	того чтобы	7	91
19	может быть	13	89
20	с точки	5	89
21	что он	2	86
22	не может	13	81
23	как и	12	79
24	для того	9	78
25	так как	8	78
26	и не	14	78
27	только в	7	75
28	в целом	4	74
29	как мы	10	72
30	речи в	1	70
31	но и	16	70
32	в его	6	67
33	сказать что	3	65
34	как бы	30	64
35	вместе с	5	62
36	представляет собой	2	60
37	и что	1	60
38	было бы	7	60
39	в качестве	4	60
40	то же	16	58
41	в основе	3	58
42	в отношении	2	55
43	между собой	2	53
44	в силу	1	53
45	что мы	11	53
46	в самом	5	52
47	по сравнению	1	51
48	в сущности	1	51
49	мы должны	10	50
50	к тому	4	49
51	тем что	2	48
52	мы можем	7	48
53	тогда когда	1	47
54	мы не	9	47
55	внутренняя речь	5	47
56	сравнению с	1	46
57	если бы	4	46
58	по отношению	2	45
59	но не	2	45
60	с другой	1	45
61	с тем	8	43
62	внешней речи	4	43
63	же как	1	43
64	тем самым	8	43
65	тому что	5	42
66	как это	5	42
67	отношению к	2	42
68	не является	5	41
69	о том	4	40
70	по своей	2	40
71	никогда не	7	39
72	говорит он	1	39
73	так и	7	39
74	мы видели	5	38
75	в области	6	38
76	и к	4	37
77	вопрос о	2	37
78	если мы	4	37
79	мы видим	4	37
80	не в	6	37
81	в этой	6	37
82	с самого	4	36
83	в своем	1	36
84	все эти	3	36
85	самого начала	4	36
86	как в	3	36
87	а не	7	36
88	и его	7	36
89	того же	1	35
90	можно было	4	35
91	в себе	10	35
92	в которой	7	35
93	и т.д	21	35
94	он не	2	35
95	связи с	3	34
96	во внутренней	4	34
97	и как	10	34
98	прежде всего	22	33
99	при этом	9	33
100	по себе	1	33
101	именно в	1	32
102	и на	7	32
103	той же	7	32
104	что оно	3	32
105	по своему	3	32
106	же самое	5	32
107	что и	3	32
108	и тем	7	32
109	но в	5	32
110	слова и	5	32
111	развития в	2	31
112	все же	9	31
113	и то	5	31
114	мысли и	1	30
115	на то	1	30
116	этом отношении	2	30
117	этого слова	3	29
118	между тем	3	29
119	и развития	3	29
120	от того	3	29
121	с этим	2	28
122	речи мы	1	28
123	самом деле	5	28
124	переход от	1	28
125	с этой	1	27
126	процесс образования	1	27
127	в результате	1	27
128	другой стороны	1	27
129	этом случае	3	27
130	в то	9	27
131	и с	5	27
132	в своей	2	27
133	связь между	3	27
134	речи но	2	27
135	перед нами	3	27
136	в их	2	26
137	показали что	1	26
138	нашего исследования	2	26
139	в собственном	1	26
140	собственном смысле	1	26
141	что это	4	26
142	для него	3	26
143	в частности	3	26
144	значения слова	1	25
145	в чем	1	25
146	еще не	3	25
147	уже в	5	25
148	все это	4	25
149	можно сказать	4	25
150	по мере	1	25
151	только не	1	25
152	мы уже	11	25
153	это не	3	25
154	тот же	2	24
155	зависимости от	7	24
156	целый ряд	3	24
157	на этот	2	24
158	того как	1	24
159	в какой	2	24
160	так что	1	24
161	что эта	1	24
162	в нем	6	24
163	в слове	4	24
164	оба эти	1	24
165	как уже	2	24
166	в высшей	1	24
167	друг друга	2	23
168	этот вопрос	2	23
169	речи с	1	23
170	бы в	6	23
171	ни в	1	23
172	как он	1	23
173	слова в	6	23
174	не могут	1	22
175	смысле этого	2	22
176	столь же	1	22
177	в зависимости	7	22
178	и развитие	1	22
179	высшей степени	1	22
180	между ними	3	21
181	человеческой речи	3	21
182	к этому	2	21
183	как говорит	1	21
184	же точно	1	21
185	и следовательно	5	21
186	в нашем	5	21
187	его в	4	21
188	все время	5	21
189	там где	1	21
190	и все	4	21
191	в истории	1	21
192	в сознании	5	21
193	ее в	1	21
194	отношение к	2	21
195	в виду	3	20
196	не менее	1	20
197	в котором	3	20
198	в другом	1	20
199	к которому	2	20
200	из них	3	20
201	речь и	4	20
202	из этих	2	20
203	на вопрос	1	20
204	а в	5	20
205	как раз	1	20
206	на этом	1	20
207	в наших	2	20
208	должно быть	2	20
209	речи не	2	20
210	по существу	1	20
211	и их	5	20
212	в речи	1	19
213	но мы	2	19
214	речь не	1	19
215	в связи	2	19
216	во всех	6	19
217	а с	5	19
218	и по	1	19
219	один из	4	19
220	но если	1	19
