N	4gram	Berdyaev_M	Myshleni
1	в то время как	2	20
2	так же как и	1	16
3	одной и той же	2	15
4	все более и более	1	8
5	в том что он	1	8
6	в зависимости от этого	1	7
7	не что иное как	4	6
8	в той мере в	1	5
9	и вместе с тем	4	5
10	в том смысле что	1	5
11	той мере в какой	1	4
12	одни и те же	1	4
13	для того чтобы сделать	1	4
14	одну и ту же	1	4
15	подобно тому как в	1	4
16	есть не что иное	3	4
17	еще в высшей степени	1	3
18	мы имеем в виду	1	3
19	с психологической точки зрения	1	3
20	одна и та же	2	3
21	друг к другу и	2	2
22	сомневаться в том что	1	2
23	друг к другу как	1	2
24	в том что это	1	2
25	на одной и той	1	2
26	она не может быть	1	2
27	в том случае если	1	2
28	когда мы говорим что	1	2
29	о том что в	1	2
30	и не может быть	1	2
31	и по отношению к	1	2
32	никогда не может быть	2	1
33	после того как в	1	1
34	не сама по себе	1	1
35	это значит что они	1	1
36	идет дальше и глубже	1	1
37	но подобно тому как	1	1
38	оно не может быть	1	1
39	не может быть выражена	1	1
40	идея о том что	1	1
41	и в самом деле	1	1
42	это не значит что	1	1
43	и там и здесь	6	1
44	или потому что он	1	1
45	это и есть то	1	1
46	не имеют своей собственной	1	1
47	и в конце концов	2	1
48	по своему значению и	1	1
49	может быть выражена и	1	1
50	по образу и подобию	1	1
51	он не может быть	1	1
52	говорят о том что	1	1
53	ни в чем не	2	1
54	и во многих других	1	1
55	две стороны одной и	1	1
56	от одного к другому	1	1
57	стороны одной и той	1	1
58	привести к тому что	1	1
59	по отношению к этим	1	1
60	по своей природе она	1	1
61	на том основании что	2	1
