N	2gram	Bakhtin_Fr	VerxiiNi
1	и в	105	26
2	таким образом	5	22
3	с тем	1	18
4	в этом	22	15
5	вместе с	1	15
6	точки зрения	10	13
7	как бы	33	12
8	в том	17	11
9	не только	24	10
10	и с	8	10
11	может быть	11	10
12	из этих	7	10
13	после смерти	1	10
14	что в	4	9
15	так как	11	9
16	связи с	5	9
17	но и	20	9
18	в области	10	9
19	в общем	4	8
20	и у	7	8
21	и не	34	8
22	как на	4	8
23	главным образом	6	8
24	с другой	3	8
25	но не	7	8
26	с одной	2	7
27	но все	5	7
28	в эпоху	17	7
29	связанные с	2	7
30	том что	9	7
31	потому что	6	7
32	одной стороны	2	7
33	то что	7	7
34	но в	16	7
35	из них	7	7
36	к нему	5	7
37	так и	16	6
38	в конце	3	6
39	народной стихии	1	6
40	несмотря на	5	6
41	все это	16	6
42	что и	2	6
43	в отношении	7	6
44	представление о	2	6
45	все эти	15	6
46	все же	10	6
47	с богами	1	6
48	к тому	3	6
49	о том	5	6
50	во всяком	2	6
51	и потому	14	6
52	всяком случае	2	6
53	мы должны	2	6
54	и т.д	2	6
55	с точки	6	6
56	в себе	7	6
57	того же	1	6
58	и к	7	5
59	до сих	7	5
60	том числе	10	5
61	в его	24	5
62	к жизни	2	5
63	тому же	1	5
64	в мире	1	5
65	с другом	2	5
66	сих пор	7	5
67	того чтобы	3	5
68	для того	2	5
69	так же	2	5
70	лишь в	4	5
71	отношение к	9	5
72	одной из	3	5
73	образом в	3	5
74	в силу	1	5
75	друг с	2	5
76	а не	1	5
77	и для	3	5
78	никогда не	11	5
79	в самом	7	4
80	то есть	71	4
81	и по	3	4
82	то же	6	4
83	из которых	2	4
84	только в	16	4
85	в этих	6	4
86	должен был	2	4
87	целый ряд	2	4
88	учение о	2	4
89	что он	5	4
90	в которых	1	4
91	в смысле	2	4
92	в котором	1	4
93	в течение	3	4
94	он не	3	4
95	далеко не	6	4
96	а в	4	4
97	богами и	1	4
98	в этой	11	4
99	числе и	7	4
100	и от	3	4
101	не может	9	4
102	что все	1	4
103	на этот	3	4
104	в виде	1	4
105	в то	5	4
106	и только	1	4
107	в нем	16	4
108	во время	14	4
109	в так	1	4
110	и другие	10	3
111	с этой	1	3
112	и при	1	3
113	при этом	10	3
114	для него	12	3
115	из всех	3	3
116	и если	1	3
117	в качестве	1	3
118	европейской культуры	3	3
119	в результате	1	3
120	и даже	10	3
121	если бы	1	3
122	в которой	1	3
123	с ней	2	3
124	с самого	1	3
125	в таком	2	3
126	случае не	1	3
127	в связи	2	3
128	ясно что	1	3
129	и как	2	3
130	как о	1	3
131	не менее	2	3
132	к концу	1	3
133	из которого	1	3
134	в других	3	3
135	что эти	1	3
136	можно сказать	4	3
137	но с	2	3
138	хотя бы	2	3
139	в значительной	9	3
140	культура в	2	3
141	так что	1	3
142	так называемые	2	3
143	в одном	8	3
144	не вполне	3	3
145	всегда и	2	3
146	к ним	1	3
147	и о	4	3
148	культуры и	11	3
149	отношению к	2	3
150	в своем	11	3
151	уже не	3	3
152	подойти к	2	3
153	в народном	2	3
154	к этому	2	3
155	конце концов	1	3
156	того что	3	3
157	связан с	5	2
158	все что	2	2
159	для всех	1	2
160	один из	5	2
161	и здесь	4	2
162	и на	25	2
163	связанных с	4	2
164	смотреть на	1	2
165	иной характер	1	2
166	благодаря этому	4	2
167	эпоху когда	1	2
168	и заставляет	1	2
169	и люди	2	2
170	уже в	5	2
171	мы имеем	1	2
172	человека над	1	2
173	этом отношении	5	2
174	только не	1	2
175	культуры на	2	2
176	те же	1	2
177	прежде всего	26	2
178	одно из	7	2
179	они в	2	2
180	его от	2	2
181	исторического развития	2	2
182	не могут	4	2
183	различия между	2	2
184	со всеми	2	2
185	в них	13	2
186	связь с	8	2
187	из него	1	2
188	не было	3	2
189	не потому	1	2
190	не в	4	2
191	в виду	5	2
192	одним из	4	2
193	по существу	2	2
194	именно в	6	2
195	и действительно	2	2
196	он один	1	2
197	и связанные	1	2
198	в процессе	2	2
199	очень много	1	2
200	народных массах	1	2
201	пор еще	4	2
202	народная культура	3	2
203	и перед	3	2
204	живых существ	1	2
205	одновременно и	3	2
206	при таком	2	2
207	по своему	9	2
208	в тело	1	2
209	приводит к	2	2
210	на все	5	2
211	только для	1	2
212	было конечно	2	2
213	отличается от	1	2
214	по своим	1	2
215	должно было	2	2
216	и молитвы	1	2
