N	2gram	Medvedev_V	formyVre
1	и в	26	148
2	в этом	29	73
3	то есть	1	70
4	в романе	4	58
5	в нем	7	51
6	прежде всего	13	46
7	и т	25	40
8	и не	20	37
9	в его	15	36
10	и его	6	36
11	вовсе не	3	35
12	но и	10	33
13	то же	10	32
14	т п	9	32
15	не только	26	32
16	но в	2	31
17	жизни и	3	31
18	так и	6	29
19	может быть	23	27
20	не в	6	26
21	как мы	1	26
22	как и	7	25
23	как бы	5	25
24	точки зрения	3	24
25	только в	8	23
26	в то	6	23
27	человека в	2	23
28	в том	15	22
29	то что	7	22
30	связи с	5	21
31	во всех	7	21
32	же время	5	21
33	все эти	8	21
34	в своем	8	19
35	и др	10	19
36	в основном	7	19
37	и для	2	19
38	таким образом	32	18
39	у него	6	18
40	и все	1	18
41	еще не	2	18
42	по существу	4	18
43	с этим	3	17
44	в особенности	2	17
45	в пределах	5	17
46	человека и	3	17
47	все же	6	16
48	в связи	4	16
49	в основе	1	16
50	и во	1	16
51	и их	3	16
52	не может	17	16
53	в одном	5	15
54	в них	5	15
55	в дальнейшем	1	15
56	никогда не	5	15
57	так сказать	2	15
58	с его	4	15
59	вместе с	8	15
60	лишь в	2	15
61	и как	3	14
62	так же	3	14
63	в конце	3	14
64	всех этих	3	14
65	а не	7	14
66	как раз	4	14
67	все это	13	14
68	в самом	4	13
69	в котором	3	13
70	для того	3	13
71	во время	4	13
72	с ним	1	13
73	как в	1	13
74	роль в	4	13
75	в их	5	13
76	в частности	12	13
77	того чтобы	3	13
78	а в	3	13
79	же в	7	13
80	конечно не	1	12
81	не было	7	12
82	он не	2	12
83	значение и	1	12
84	отнюдь не	4	12
85	что в	11	12
86	это время	1	12
87	потому что	1	12
88	в истории	1	12
89	но не	2	12
90	и наконец	2	12
91	из них	11	11
92	хотя и	2	11
93	его в	3	11
94	между ними	3	11
95	и у	2	11
96	романа в	1	11
97	ни в	1	11
98	в образе	2	11
99	смерть и	1	11
100	уже в	1	11
101	мира и	3	11
102	в ней	2	11
103	и другие	1	10
104	кроме того	1	10
105	уже не	1	10
106	входит в	1	10
107	в ее	4	10
108	сих пор	2	10
109	также и	2	10
110	до сих	2	10
111	на основе	5	10
112	здесь не	1	10
113	и даже	2	9
114	но все	1	9
115	их в	7	9
116	на этой	1	9
117	с другой	11	9
118	на протяжении	1	9
119	должно быть	2	9
120	и это	1	9
121	могут быть	8	9
122	том что	8	9
123	и явлений	1	9
124	в самой	1	9
125	для него	9	9
126	есть в	1	9
127	жизнь и	1	9
128	и других	1	9
129	мира в	1	9
130	и к	3	8
131	в результате	5	8
132	в виду	4	8
133	в этих	1	8
134	время как	1	8
135	к тому	5	8
136	все его	2	8
137	с одной	2	8
138	что и	3	8
139	героя и	1	8
140	и по	3	8
141	один из	6	8
142	в жизни	2	8
143	если бы	3	8
144	и то	1	8
145	том числе	2	8
146	во всяком	2	8
147	это не	7	8
148	а также	1	8
149	и потому	2	8
150	отношение к	1	8
151	отношению к	7	8
152	или иной	2	8
153	в целом	5	8
154	в той	1	7
155	еще более	1	7
156	не как	1	7
157	этого типа	3	7
158	между собой	1	7
159	связанных с	1	7
160	этого мира	1	7
161	к ним	2	7
162	к этому	9	7
163	из этих	7	7
164	в себе	6	7
165	но он	1	7
166	в которой	2	7
167	в форме	3	7
168	с ее	1	7
169	в процессе	17	7
170	например в	3	7
171	и он	3	7
172	то время	1	7
173	себя и	1	7
174	нет ничего	1	7
175	было бы	8	7
176	не могло	1	7
177	том же	6	7
178	т д	16	7
179	у них	2	7
180	того что	3	7
181	этот процесс	3	7
182	этом отношении	14	7
183	ее в	4	7
184	во времени	1	7
185	раскрывается в	1	6
186	именно в	3	6
187	с тем	4	6
188	только для	2	6
189	о том	10	6
190	в различных	2	6
191	ни одного	2	6
192	сказать что	5	6
193	во всей	2	6
194	характерно что	1	6
195	время и	1	6
196	громадное значение	1	6
197	в качестве	12	6
198	в таком	1	6
199	до нас	2	6
200	ту же	2	6
201	и речи	1	6
202	за пределы	1	6
203	одной стороны	2	6
204	а как	2	6
205	и ее	4	6
206	смысле слова	2	6
207	мы видим	1	6
208	не могут	10	6
209	в которых	3	6
210	не является	5	6
211	тех же	1	6
212	лежат в	1	6
213	слова и	1	6
214	имеем в	1	6
215	нет и	3	6
216	одной из	2	6
217	все они	2	6
218	мы не	1	6
219	есть и	1	6
220	в начале	1	6
221	мы и	1	5
222	с этой	1	5
223	о чем	2	5
224	исторического романа	1	5
225	тем что	1	5
226	в порядке	6	5
227	в своей	4	5
228	почти все	1	5
229	понятно что	2	5
230	хотя бы	20	5
231	только на	1	5
232	всего этого	1	5
233	искусстве и	2	5
234	что все	4	5
235	и через	2	5
236	с другими	2	5
237	эти образы	1	5
238	той или	1	5
239	одно и	1	5
240	в этой	4	5
241	и от	3	5
242	чаще всего	1	5
243	в него	1	5
244	в какой-то	1	5
245	что они	3	5
246	романа и	1	5
247	с ними	4	5
248	далеко не	3	5
249	они не	2	5
250	не имеет	1	5
251	да и	2	5
252	произведения и	7	5
253	он может	2	5
254	в едином	1	5
255	он должен	1	5
256	мы имеем	3	5
257	но на	1	5
258	в движение	1	5
259	или в	3	5
260	об этом	9	5
261	например у	2	5
262	и ни	1	5
263	стороны и	2	5
264	или как	1	5
265	числе и	2	5
266	бы он	1	5
267	мы наблюдаем	2	4
268	от него	1	4
269	же и	3	4
270	только что	4	4
271	даже в	5	4
272	а затем	2	4
273	не являются	1	4
274	его от	2	4
275	другой стороны	8	4
276	как если	1	4
277	по себе	2	4
278	в своих	2	4
279	равно как	4	4
280	у достоевского	1	4
281	при всей	2	4
282	в данном	1	4
283	он был	1	4
284	в другом	2	4
285	по отношению	7	4
286	в глаза	1	4
287	затем в	1	4
288	момент в	3	4
289	не был	1	4
290	труда и	2	4
291	несмотря на	1	4
292	проявляется в	1	4
293	и сознания	1	4
294	что не	3	4
295	между этими	1	4
296	с жизнью	1	4
297	себе и	2	4
298	в чем	2	4
299	явления в	2	4
300	в новое	1	4
301	друг другу	1	4
302	их к	1	4
303	в последнем	2	4
304	и при	5	4
305	из того	1	4
306	для них	2	4
307	их и	4	4
308	что он	4	4
309	авантюрного романа	1	4
310	перед нами	5	4
311	это и	6	4
312	наконец и	1	4
313	же самое	2	4
314	всяком случае	2	4
315	друг друга	1	4
316	формы и	2	4
317	этом случае	1	4
