N	2gram	Bakhtin_Fr	VrazhdaK
1	в году	11	18
2	не только	21	9
3	в этом	28	8
4	и в	68	8
5	и что	2	8
6	что в	14	7
7	и все	16	7
8	но и	17	7
9	то что	11	7
10	о нем	3	6
11	как и	17	6
12	и даже	7	6
13	и с	15	6
14	в романе	24	6
15	все же	6	6
16	в котором	3	6
17	в начале	5	6
18	в нем	12	6
19	но в	20	6
20	то же	14	5
21	у него	14	5
22	и не	25	5
23	между тем	3	5
24	об этом	3	5
25	не было	7	5
26	же время	13	5
27	в то	14	5
28	это не	5	4
29	при этом	5	4
30	несмотря на	1	4
31	с ним	3	4
32	для нас	1	4
33	все это	6	4
34	в виду	8	4
35	в своих	7	4
36	что он	7	4
37	уже в	4	4
38	о том	5	4
39	может быть	10	4
40	в ней	6	4
41	и детей	2	4
42	в истории	5	4
43	как бы	7	4
44	так же	3	4
45	во многом	1	4
46	что у	2	3
47	в его	21	3
48	в том	12	3
49	марта года	1	3
50	его в	7	3
51	раз в	4	3
52	связи с	8	3
53	но он	9	3
54	в связи	7	3
55	и как	5	3
56	далеко не	3	3
57	тем что	6	3
58	в чем	3	3
59	и у	2	3
60	в париже	5	3
61	он был	5	3
62	эти слова	1	3
63	чтобы он	1	3
64	том что	6	3
65	в этот	2	3
66	он не	11	3
67	и уже	1	3
68	в конце	8	3
69	и о	5	3
70	одним из	2	3
71	в своем	11	3
72	на то	1	3
73	с его	6	3
74	и его	26	3
75	к этому	6	3
76	который был	1	3
77	и во	6	3
78	в той	7	2
79	таким образом	22	2
80	начиная с	3	2
81	об их	2	2
82	и то	2	2
83	о влиянии	1	2
84	великих писателей	1	2
85	и он	2	2
86	после этого	2	2
87	время и	1	2
88	мы знаем	3	2
89	и далее	3	2
90	с точки	4	2
91	для него	7	2
92	его и	1	2
93	этот момент	2	2
94	о чем	3	2
95	как раз	8	2
96	о которой	1	2
97	же не	1	2
98	в них	19	2
99	как же	1	2
100	а также	6	2
101	права на	1	2
102	же в	2	2
103	отношения к	2	2
104	его на	2	2
105	в мире	6	2
106	в в	1	2
107	там же	2	2
108	их в	7	2
109	же как	1	2
110	в своей	11	2
111	рядом с	5	2
112	вместе с	4	2
113	что ж	1	2
114	так в	4	2
115	в это	2	2
116	в известном	1	2
117	не менее	2	2
118	и это	5	2
119	в эту	7	2
120	и стал	1	2
121	на первый	1	2
122	еще не	3	2
123	он пишет	1	2
124	но как	5	2
125	это в	4	2
126	в свою	3	2
127	на основе	3	2
128	после смерти	1	2
129	и т.п	17	2
130	и образы	3	2
131	в этой	15	2
132	в нашей	2	2
133	при помощи	1	2
134	а в	3	2
135	начале года	1	2
136	к ним	1	2
137	историю о	2	2
138	отношение к	11	2
139	в одну	1	2
140	уже не	2	2
141	году в	1	2
142	из них	8	2
143	в себе	5	2
144	что я	2	2
145	с нею	2	2
146	не может	5	2
147	с которым	1	2
148	том же	4	2
149	точки зрения	8	2
150	этот рассказ	1	2
151	одна из	3	2
152	году и	1	2
153	об этой	1	2
154	время он	1	2
155	он сам	1	2
156	довольно много	1	2
157	в эти	2	2
158	отнюдь не	1	2
159	но это	5	2
160	во время	17	2
161	не мог	1	2
162	в него	1	2
163	и ее	3	2
164	никогда не	2	2
165	в особенности	6	1
166	все в	2	1
167	к сожалению	1	1
168	своего рода	5	1
169	в самом	6	1
170	во всем	4	1
171	гениев в	1	1
172	то в	2	1
173	как к	1	1
174	связан с	6	1
175	можно проследить	1	1
176	так и	8	1
177	близок к	1	1
178	что они	3	1
179	этот материал	1	1
180	которую они	1	1
181	в свое	1	1
182	в литературе	10	1
183	все что	4	1
184	эпизоду в	1	1
185	для всех	1	1
186	и пошел	1	1
187	до сих	6	1
188	один из	9	1
189	еще раз	2	1
190	и этот	2	1
191	ему в	1	1
192	этим можно	1	1
193	из которых	1	1
194	в военной	1	1
195	войне и	1	1
196	даже некоторые	1	1
197	они не	4	1
198	в марте	1	1
199	ни с	1	1
200	только что	1	1
201	этот процесс	4	1
202	если в	1	1
203	был врагом	1	1
204	рассказ о	1	1
205	на три	1	1
206	того как	1	1
207	к этой	3	1
208	в основном	7	1
209	был еще	3	1
210	второй половине	1	1
211	усматривал в	1	1
212	в литературной	1	1
213	что уже	2	1
214	он как	1	1
215	с очень	1	1
216	дает нам	4	1
217	еще более	5	1
218	и борьбы	1	1
219	всем чертям	2	1
220	к брату	1	1
221	из всех	4	1
222	хорошо известен	1	1
223	что это	4	1
224	хотя и	2	1
225	от нас	1	1
226	одному из	2	1
227	с тех	1	1
228	и был	3	1
229	он и	10	1
230	романа в	3	1
231	и из	1	1
232	в ее	5	1
233	только не	1	1
234	того что	3	1
235	в комментариях	2	1
236	книгу в	1	1
237	в другой	2	1
238	говорит о	2	1
239	ж он	1	1
240	наши исследователи	1	1
241	в качестве	2	1
242	нас в	2	1
243	не являются	1	1
244	не хочет	1	1
245	прежде всего	23	1
246	в оценке	1	1
247	вошел в	1	1
248	ее и	1	1
249	роман в	1	1
250	с исторической	1	1
251	другой стороны	5	1
252	быть может	2	1
253	перед ними	1	1
254	нет ничего	1	1
255	себе не	1	1
256	этого издания	1	1
257	в этих	8	1
258	но на	1	1
259	за это	2	1
260	в их	6	1
261	о своем	2	1
262	все равно	1	1
263	мы находим	3	1
264	на пиру	1	1
265	предстоит еще	1	1
266	мнение о	1	1
267	обращается в	1	1
268	за что	1	1
269	но с	1	1
270	и самые	1	1
271	ко всем	3	1
272	отразилась в	1	1
273	что ни	1	1
274	в духе	11	1
275	такое понимание	1	1
276	этого не	1	1
277	и глубокой	1	1
278	и сам	5	1
279	как по	2	1
280	в одном	7	1
281	равно как	2	1
282	на нее	1	1
283	на свою	1	1
284	не хотят	1	1
285	и начинается	1	1
286	еще в	4	1
287	о своей	1	1
288	но не	4	1
289	но вот	1	1
290	в ту	8	1
291	но для	1	1
292	легенда о	1	1
293	именно в	5	1
294	он ставит	1	1
295	о смерти	1	1
296	жизни и	6	1
297	такое же	1	1
298	то время	1	1
299	представление о	2	1
300	он у	1	1
301	можно объяснить	1	1
302	в таком	2	1
303	героев и	1	1
304	сходство с	1	1
305	в жизни	1	1
306	уже давно	2	1
307	в числе	3	1
308	но ведь	3	1
309	этого романа	2	1
310	правда в	1	1
311	особенно резко	1	1
312	как о	2	1
313	также в	2	1
314	похож на	1	1
315	своей эпохи	1	1
316	этот раз	1	1
317	человек в	1	1
318	вряд ли	3	1
319	этого старого	1	1
320	происходит действие	2	1
321	себя как	1	1
322	такие же	1	1
323	а их	1	1
324	это время	1	1
325	эта была	1	1
326	нам уже	1	1
327	между прочим	1	1
328	не дают	1	1
329	одном из	2	1
330	и перед	2	1
331	как в	4	1
332	сорока пяти	1	1
333	о знаменитом	1	1
334	была на	1	1
335	них он	2	1
336	влияния на	2	1
337	с эпохой	1	1
338	следовательно и	2	1
339	роль в	7	1
340	от мая	1	1
341	правда не	4	1
342	в девяти	2	1
343	по своему	3	1
344	еще к	1	1
345	и я	1	1
346	по преимуществу	3	1
347	никто не	1	1
348	отличается от	1	1
349	да и	2	1
350	широкое распространение	1	1
351	прочим и	1	1
352	который не	1	1
353	в свете	3	1
354	этому моменту	1	1
355	ему и	2	1
356	о котором	2	1
357	том как	1	1
358	они как	1	1
359	в условиях	3	1
360	это было	2	1
361	и дон-кихот	1	1
362	людьми и	2	1
363	мы считаем	1	1
364	что образ	1	1
365	не имеет	1	1
366	но мы	1	1
367	что пишет	1	1
368	что тот	2	1
369	раз и	2	1
370	работы над	1	1
371	под влиянием	2	1
372	сих пор	6	1
373	при виде	1	1
374	и вообще	3	1
375	гораздо больше	3	1
376	года и	2	1
377	встрече с	1	1
378	не был	4	1
379	для правильного	2	1
380	ему не	2	1
381	на них	3	1
382	и образ	2	1
383	жизнь и	2	1
384	с этим	2	1
385	во всех	8	1
386	до того	2	1
387	эту историю	1	1
388	во всяком	2	1
389	в стиле	1	1
390	это и	4	1
391	года с	1	1
392	бедного человека	1	1
393	было не	1	1
394	тут его	1	1
395	искать в	1	1
396	то он	1	1
397	выражение в	2	1
398	и отчасти	1	1
399	во все	3	1
400	это конечно	1	1
401	в полной	1	1
402	первый план	1	1
403	начало в	2	1
404	развиваться в	1	1
405	было в	2	1
406	эпохи он	2	1
407	возвращается к	1	1
408	не могли	1	1
409	что этот	1	1
410	ему нужно	1	1
