N	3gram	Tiupa_Vved	Analitik
1	в том что	10	25
2	не может быть	6	19
3	по отношению к	11	18
4	в то же	5	16
5	о том что	6	15
6	в данном случае	15	14
7	в отличие от	11	14
8	то же время	4	14
9	той или иной	4	14
10	к тому же	6	13
11	в конечном счете	2	11
12	мы имеем дело	5	11
13	в повестях белкина	1	10
14	так и не	4	10
15	того или иного	1	9
16	с другой стороны	2	9
17	в свою очередь	5	9
18	в том чтобы	2	9
19	по крайней мере	1	9
20	подобно тому как	3	9
21	с одной стороны	9	9
22	присутствия в мире	2	8
23	состоит в том	2	8
24	как и в	2	8
25	не только в	3	8
26	в этом отношении	7	8
27	в таком случае	1	7
28	во всяком случае	3	7
29	что иное как	1	7
30	кадров внутреннего зрения	1	7
31	тем не менее	3	6
32	по природе своей	2	6
33	одного и того	1	6
34	в полной мере	1	6
35	и того же	1	6
36	не что иное	1	6
37	в той или	1	5
38	а всего лишь	1	5
39	в этом ряду	2	5
40	но и в	3	5
41	том или ином	1	5
42	но и не	1	5
43	данного коммуникативного события	1	5
44	во времени и	1	5
45	в этом случае	1	5
46	времени и пространстве	1	5
47	как уже говорилось	1	5
48	имеем дело с	4	5
49	в самом начале	1	4
50	в нашем случае	3	4
51	до известной степени	1	4
52	в том или	1	4
53	в самом деле	2	4
54	для того чтобы	1	4
55	и представляет собой	4	4
56	не в том	3	4
57	собственно говоря и	1	4
58	не сводится к	6	4
59	и тем самым	2	4
60	в соответствии с	8	4
61	в своем составе	1	4
62	в равной степени	1	4
63	и не может	1	4
64	и в этом	1	4
65	в ответ на	1	4
66	большей или меньшей	1	4
67	участников коммуникативного события	1	4
68	в этом смысле	1	4
69	в известном смысле	1	4
70	из того что	1	4
71	с той или	1	4
72	в значительной степени	2	4
73	у него на	1	4
74	едва ли не	2	4
75	в основе своей	2	4
76	и тот же	1	3
77	субъекта объекта и	1	3
78	в том числе	1	3
79	как бы не	1	3
80	сами по себе	1	3
81	повествователя рассказчика хроникера	1	3
82	всех без исключения	1	3
83	в первом случае	1	3
84	речь идет о	3	3
85	в зависимости от	1	3
86	а в том	3	3
87	вы счастливы в	1	3
88	а не в	1	3
89	в связи с	1	3
90	то же самое	2	3
91	а не с	1	3
92	как раз и	1	3
93	в принципе не	1	3
94	в тарасе бульбе	1	3
95	по этой причине	2	3
96	то есть в	1	3
97	если говорить о	1	3
98	дело не с	1	3
99	тогда как в	2	3
100	текста а не	1	3
101	нашего времени в	1	3
102	и в самом	1	3
103	с максимом максимычем	1	3
104	герой нашего времени	1	3
105	можно сказать что	1	3
106	и той же	1	3
107	счастливы в игре	1	3
108	в противном случае	2	3
109	со стороны адресата	1	3
110	представляет собой систему	1	3
111	и все же	6	3
112	объекта и адресата	1	3
113	дело в том	1	3
114	содержит в себе	1	3
115	одной и той	1	3
116	при встрече с	1	3
117	в результате чего	1	3
118	человек в его	1	2
119	встрече с другим	1	2
120	мере в какой	2	2
121	по удачному выражению	1	2
122	при условии что	1	2
123	с легкой руки	2	2
124	в той мере	2	2
125	как раз не	1	2
126	отнюдь не является	1	2
127	в данном контексте	1	2
128	в рамках одного	1	2
129	ничего не говорит	1	2
130	по своему происхождению	1	2
131	более или менее	2	2
132	в частности в	2	2
133	следует смешивать с	1	2
134	можно было бы	2	2
135	во втором случае	1	2
136	одних и тех	1	2
137	еще не гарантирует	1	2
138	как правило не	2	2
139	и тех же	1	2
140	в обоих случаях	1	2
141	событие самого рассказывания	2	2
142	и прежде всего	1	2
143	исходя из того	1	2
144	тому или иному	2	2
145	тому же в	1	2
146	а с другой	3	2
147	той мере в	2	2
148	и то же	1	2
149	принимает на себя	1	2
150	и в пределах	1	2
151	как если бы	1	2
152	к тому что	1	2
153	это своего рода	3	2
154	в художественном тексте	1	2
155	же время они	1	2
156	в качестве своего	1	2
157	а не только	1	2
158	в начале х	1	2
159	который в свою	1	2
160	в этих случаях	2	2
161	они могут быть	1	2
162	мысль о том	1	2
163	на то что	2	2
164	не столько в	2	2
165	обратим внимание на	2	2
166	поле зрения читателя	1	2
167	один и тот	1	2
168	здесь как и	1	2
169	случае мы имеем	1	2
170	именно такого рода	1	2
171	однако не следует	1	2
172	как это нередко	1	2
173	не все что	2	2
174	того и другого	1	2
175	здесь мы имеем	1	2
176	не должен быть	1	2
177	и того и	1	2
178	в войне и	2	2
179	тейяр де шарден	1	2
180	в сущности говоря	1	2
181	да к тому	1	2
182	одно и то	1	2
183	но в то	1	2
184	при этом он	1	2
185	по своей природе	2	2
186	но отнюдь не	1	2
187	в поле зрения	1	2
188	в этой системе	1	2
189	в себе не	1	2
190	в стране мертвых	1	2
191	с самим собой	1	2
192	войне и мире	2	2
193	уже говорилось выше	1	2
194	предполагает не только	1	2
195	имеет в своем	1	2
196	всего лишь одной	1	2
197	на первый взгляд	3	2
198	не следует смешивать	1	2
199	что же касается	2	2
200	прежде всего в	1	2
201	внутренней и внешней	1	2
202	если бы он	1	2
203	то она определяется	1	1
204	в контексте художественного	1	1
205	деталей в пределах	1	1
206	и рождается в	1	1
207	впрочем максим максимыч	1	1
208	картина мира которая	1	1
209	не с императивной	1	1
210	потому что я	1	1
211	по воле автора	1	1
212	кадрового единства фразы	1	1
213	в коммуникативном событии	1	1
214	найти удобного случая	1	1
215	своего рода ключ	1	1
216	в осмысленном и	1	1
217	малый отрезок времени	1	1
218	лишь в заключительной	1	1
219	самое следует сказать	1	1
220	о котором рассказано	1	1
221	принадлежат к числу	1	1
222	и вся его	2	1
223	как будто бы	3	1
224	в целом как	1	1
225	в искусстве слова	1	1
226	человека в мире	1	1
227	видения в частности	1	1
228	местоположением семантических единиц	1	1
229	и оцененном мире	1	1
230	геннепа и в	1	1
231	если перед нами	1	1
232	окказиональная картина мира	1	1
233	и даже не	1	1
234	может или пожелает	1	1
235	следует забывать что	1	1
236	а не к	1	1
237	о том как	1	1
238	опыта присутствия в	1	1
239	в той же	1	1
240	может быть использовано	1	1
241	судьба выражает внеличную	1	1
242	дело не только	1	1
243	мастера и маргариты	2	1
244	науках о природе	1	1
245	как и вообще	1	1
246	если к первому	1	1
247	как одна из	1	1
248	времени в поле	1	1
249	невместима в пределы	1	1
250	входит лишь поименованное	1	1
251	дамы с собачкой	8	1
252	движется один отдельный	1	1
253	бы мы ни	1	1
254	единства фразы устанавливает	1	1
255	и временных примет	1	1
256	насыщенный деталями кадр	1	1
257	тривиальная в общеязыковом	1	1
258	то или иное	1	1
259	он без меня	1	1
260	я уже не	1	1
261	но если бы	1	1
262	читателю ракурс видения	1	1
263	в ходе чтения	1	1
264	в кадры читательского	1	1
265	неизбежно принадлежит к	1	1
266	возвращает его к	1	1
267	соприкосновения разных сознаний	1	1
268	текста так и	1	1
269	его уединенного сознания	1	1
270	дифференцированном и оцененном	1	1
271	же мере как	1	1
272	огнестрельного и холодного	1	1
273	текста в начале	1	1
274	устанавливает задаваемый читателю	1	1
275	в е годы	1	1
276	лично для себя	1	1
277	в том же	1	1
278	произведение в его	1	1
279	позволил бы себе	1	1
280	максима максимыча с	1	1
281	собой своего рода	2	1
282	было и не	1	1
283	в кадры повествования	1	1
284	внутреннего зрения или	1	1
285	самая тривиальная в	1	1
286	зрения читателя находится	1	1
287	сказать и о	1	1
288	конечном счете к	1	1
289	самого рассказывания в	1	1
290	в его событийной	1	1
291	и в тэрнера	1	1
292	такого рода смех	1	1
293	и вследствие этого	4	1
294	друг от друга	2	1
295	как более или	1	1
296	свидетельствует о том	1	1
297	отрезок времени в	1	1
298	последовательно вводятся автором	1	1
299	высказывания как целого	1	1
300	поименованное в тексте	2	1
301	или менее насыщенный	1	1
302	с оглядкой на	1	1
303	и т.п однако	1	1
304	звучит один голос	1	1
305	один отдельный кадр	1	1
306	событие о котором	2	1
307	однако в силу	1	1
308	повествования а читателем	1	1
309	о себе знать	1	1
310	особенно в конце	1	1
311	таком взгляде на	1	1
312	начало и конец	2	1
313	как образ автора	1	1
314	мог найти удобного	1	1
315	раскрывают содержание судьбы	1	1
316	те же самые	1	1
