N	3gram	Voloshinov	TeoriaLi
1	в том что	9	10
2	по отношению к	9	10
3	не сводится к	1	9
4	в то же	7	8
5	то же время	7	8
6	в отличие от	7	7
7	того или иного	2	6
8	в конечном счете	1	6
9	с другой стороны	6	6
10	более или менее	3	6
11	не может быть	23	5
12	для того чтобы	7	5
13	так или иначе	2	5
14	одного и того	9	4
15	и того же	9	4
16	в свою очередь	5	3
17	той или иной	5	3
18	с точки зрения	31	3
19	в этом смысле	2	3
20	всех без исключения	5	3
21	в том числе	3	3
22	тем не менее	3	3
23	можно сказать что	4	3
24	отношение знака к	2	3
25	подобно тому как	1	3
26	в равной степени	1	3
27	в связи с	12	3
28	в знаковом материале	2	3
29	с одной стороны	2	3
30	тот или иной	2	3
31	в нашем случае	1	2
32	но он не	1	2
33	в противном случае	2	2
34	до известной степени	2	2
35	в данном контексте	3	2
36	в данный момент	2	2
37	в русской литературе	1	2
38	этой точки зрения	1	2
39	и в самом	1	2
40	с этой точки	1	2
41	как и в	1	2
42	в самом деле	13	2
43	в коем случае	2	2
44	и то же	3	2
45	в таком случае	5	2
46	ни в коем	2	2
47	внутренней и внешней	1	2
48	в отношении к	7	2
49	одно и то	3	2
50	но в то	6	2
51	том числе и	3	2
52	в соответствии с	1	2
53	том что он	3	2
54	не только не	1	2
55	тем или иным	1	2
56	и его внешней	1	2
57	то ни было	11	2
58	не могут быть	3	2
59	сама по себе	2	2
60	к тому что	4	2
61	он тем не	1	2
62	то что они	1	2
63	бы то ни	11	2
64	ту или иную	1	2
65	коем случае не	1	2
66	приводит к тому	1	2
67	в значительной степени	3	2
68	в основе своей	1	2
69	может быть и	8	2
70	не могли бы	1	1
71	в той или	3	1
72	совпадая со своей	1	1
73	не что иное	1	1
74	– все это	2	1
75	в статье о	1	1
76	между ним и	1	1
77	в более или	1	1
78	точки зрения не	2	1
79	и для него	1	1
80	именно к пониманию	1	1
81	языка но и	1	1
82	и тем же	2	1
83	и прежде всего	4	1
84	является как бы	2	1
85	ни к чему	1	1
86	к чему не	1	1
87	этого слова как	1	1
88	– это еще	1	1
89	они ни были	1	1
90	в большинстве случаев	7	1
91	значение дело здесь	1	1
92	лежат в основе	1	1
93	в противоречие с	1	1
94	себе отчет в	2	1
95	по крайней мере	1	1
96	внутренней речи а	1	1
97	слова как и	2	1
98	о том что	2	1
99	то или иное	1	1
100	форм высказывания в	1	1
101	добро и зло	1	1
102	бы они ни	1	1
103	наиболее глубокий и	1	1
104	во внутренней речи	2	1
105	в себе и	1	1
106	она могла бы	1	1
107	отчет в том	1	1
108	же время они	1	1
109	в целом ряде	1	1
110	точки зрения в	1	1
111	в литературе в	1	1
112	какой бы то	3	1
113	не менее чем	1	1
114	ни к каким	1	1
115	таком случае это	2	1
116	это и есть	2	1
117	место лишь в	1	1
118	и т.п –	1	1
119	в основе всех	1	1
120	и тем более	1	1
121	– не может	2	1
122	к субъекту и	1	1
123	связи с этим	3	1
124	друг от друга	1	1
125	в настоящее время	6	1
126	не совпадает с	1	1
127	высказывания как целого	2	1
128	и как бы	1	1
129	одной стороны и	1	1
130	только при условии	1	1
131	в одной из	1	1
132	отношению к нему	1	1
133	во времени и	1	1
134	как бы не	1	1
135	со всех сторон	2	1
136	начало и конец	1	1
137	дело в том	1	1
138	для него не	1	1
139	не рассчитан на	1	1
140	а между тем	1	1
141	и здесь мы	3	1
142	одним и тем	2	1
143	в первом случае	3	1
144	языка в частности	1	1
145	в своей индивидуальности	1	1
146	в первую очередь	1	1
147	текста но и	1	1
148	он ни был	1	1
149	которого только и	1	1
150	– это и	2	1
151	между собой и	1	1
152	речи как бы	1	1
153	в зависимости от	2	1
154	может быть осуществлено	1	1
155	так же как	2	1
156	лишь в контексте	1	1
157	или даже вовсе	1	1
158	по ту сторону	1	1
159	в этом случае	3	1
160	их отношении к	1	1
161	а в том	1	1
162	к тому же	2	1
163	своей индивидуальности и	1	1
164	в данном отношении	1	1
165	искусства и религии	1	1
166	в русском языке	1	1
167	совершенно особое отношение	1	1
168	в новое время	1	1
169	в данном высказывании	1	1
170	же время эти	1	1
171	может служить знаком	1	1
172	ни к какой	1	1
173	языка не может	1	1
174	то же самое	8	1
175	при этом как	1	1
176	и в сущности	1	1
177	которая не поддается	1	1
178	внутренней речи как	2	1
179	что иное как	1	1
180	к вопросу о	1	1
181	в их отношении	1	1
182	как это делает	1	1
183	и не дает	1	1
184	может быть признано	1	1
185	точки зрения и	1	1
186	в следующей главе	3	1
187	а не только	1	1
188	таким образом и	1	1
189	является одним из	2	1
190	все без исключения	3	1
191	могли бы быть	1	1
192	принципиальное различие между	1	1
193	или менее широком	1	1
