1	обращает на себя внимание	2	3
2	в то же время	6	3
3	бы то ни было	1	3
4	по отношению к которому	1	2
5	не что иное как	2	2
6	состоит в том что	4	2
7	в той или иной	2	2
8	точно так же как	3	2
9	в том или ином	1	2
10	и в то же	2	1
11	друг от друга в	1	1
12	какой бы то ни	1	1
13	из уст в уста	1	1
14	однако с другой стороны	1	1
15	в том что он	3	1
16	как это часто бывает	1	1
17	поскольку речь идет о	2	1
18	одного и того же	4	1
19	в том что оно	2	1
20	сами по себе они	1	1
21	то только потому что	2	1
22	не с точки зрения	1	1
23	той мере в какой	7	1
24	в самом деле не	2	1
25	не то что он	1	1
26	в той мере в	7	1
27	дело в том что	1	1
28	вовсе не то что	1	1
29	с этой точки зрения	5	1
30	а не с точки	1	1
31	один и тот же	2	1
32	есть не что иное	1	1
33	и с точки зрения	1	1
34	поскольку с одной стороны	1	1
35	той или иной форме	1	1
36	той или иной степени	1	1
37	в качестве одного из	1	1
